stage,mode,caseName,payloadLength,encodedLength,organization,correctionCapabilityT,burstLength,relativeStartInSubblock,interleaverMode,payloadCount,legalStartCountPerPayload,totalPatterns,processedFrames,processedBits,bitErrors,frameErrors,BER,FER,trueSuccessRate,reportedSuccessRate,decoderFailureRate,miscorrectionRate,explicitFailureWithWrongPayloadPatterns,averageTouchedSubblocks,averageMaximumSubblockErrorWeight,fractionAllSubblocksWithinGuaranteedRegion,averageSubblocksWithOneError,averageSubblocksWithMoreThanOneError,minimumFailingStart,maximumSuccessfulStart,allStartsGuaranteedCorrect,theoreticalGuaranteedRegion,ferWilson95Low,ferWilson95High,masterSeed,caseSeed,lengthSeed,randomStartSeed,stopReason,runtimeSeconds,configHash,permutationHash,inversePermutationHash,errorWeightConserved,pairedFrameCount,plotStatus
s2-07d,formal,BCH-S300,300,420,SEGMENTED,1,0,,NONE,100000,1,100000,100000,30000000,0,0,0,0,1,1,0,0,0,0,0,1,0,0,,0,true,true,0,3.8413112583039631e-05,2026072607,10005808911069659570,12945100786885778195,12945100786885778195,MAXIMUM_FRAMES,1.4210995500000001,2604a9d36a2c2882,dfcbe7a21278659f,dfcbe7a21278659f,true,100000,PLOTTED
s2-07d,formal,BCH-S300,300,420,SEGMENTED,1,1,,NONE,100000,420,100000,100000,30000000,0,0,0,0,1,1,0,0,0,1,1,1,1,0,,419,true,true,0,3.8413112583039631e-05,2026072607,10005808911069659570,10848967929944152390,10848967929944152390,MAXIMUM_FRAMES,1.44350175,8adbc6310abec1b2,dfcbe7a21278659f,dfcbe7a21278659f,true,100000,PLOTTED
s2-07d,formal,BCH-S300,300,420,SEGMENTED,1,2,,NONE,8418,419,8418,8418,2525400,17601,7730,0.0069695889760038017,0.91827037301021619,0.081729626989783796,1,0,0.91827037301021619,0,1.0624851508671893,1.9375148491328107,0.062485150867189358,0.12497030173437872,0.93751484913281069,0,418,false,false,0.91222561873575503,0.92393355552945222,2026072607,10005808911069659570,13533003870586228306,13533003870586228306,PAIRED_TARGET_FRAME_ERRORS,0.12229245,fecf58e86d92d453,dfcbe7a21278659f,dfcbe7a21278659f,true,8418,PLOTTED
s2-07d,formal,BCH-S300,300,420,SEGMENTED,1,3,,NONE,5000,418,5000,5000,1500000,13642,4897,0.0090946666666666658,0.97940000000000005,0.0206,1,0,0.97940000000000005,0,1.1274,2.8725999999999998,0,0.12740000000000001,1,0,417,false,false,0.97507920151431682,0.98298472586076269,2026072607,10005808911069659570,18142870433938997793,18142870433938997793,PAIRED_TARGET_FRAME_ERRORS,0.070045750000000004,39df3825000beae4,dfcbe7a21278659f,dfcbe7a21278659f,true,5000,PLOTTED
s2-07d,formal,BCH-S300,300,420,SEGMENTED,1,4,,NONE,5000,417,5000,5000,1500000,17580,4916,0.01172,0.98319999999999996,0.016799999999999999,1,0,0.98319999999999996,0,1.1908000000000001,3.7458,0,0.12740000000000001,1.0633999999999999,0,413,false,false,0.97924877784944153,0.98640931499085538,2026072607,10005808911069659570,17786800579348279966,17786800579348279966,PAIRED_TARGET_FRAME_ERRORS,0.073557999999999998,29ec59531d14acbb,dfcbe7a21278659f,dfcbe7a21278659f,true,5000,PLOTTED
s2-07d,formal,BCH-S300,300,420,SEGMENTED,1,5,,NONE,5000,416,5000,5000,1500000,22105,4910,0.014736666666666667,0.98199999999999998,0.017999999999999999,1,0,0.98199999999999998,0,1.2645999999999999,4.6079999999999997,0,0.13719999999999999,1.1274,0,415,false,false,0.97792769491298948,0.98533224041197542,2026072607,10005808911069659570,3922052907045332478,3922052907045332478,PAIRED_TARGET_FRAME_ERRORS,0.072453900000000002,6bfd801ffdf059bb,dfcbe7a21278659f,dfcbe7a21278659f,true,5000,PLOTTED
s2-07d,formal,BCH-S300,300,420,SEGMENTED,1,6,,NONE,5000,415,5000,5000,1500000,24978,4950,0.016652,0.98999999999999999,0.01,1,0,0.98999999999999999,0,1.3222,5.4173999999999998,0,0.1268,1.1954,0,414,false,false,0.98684142490779059,0.99240622718605342,2026072607,10005808911069659570,11550230368595441278,11550230368595441278,PAIRED_TARGET_FRAME_ERRORS,0.073814350000000001,8c347f36e997ca8f,dfcbe7a21278659f,dfcbe7a21278659f,true,5000,PLOTTED
s2-07d,formal,BCH-S300,300,420,SEGMENTED,1,7,,NONE,5000,414,5000,5000,1500000,24066,4920,0.016043999999999999,0.98399999999999999,0.016,1,0,0.98399999999999999,0,1.3848,6.2413999999999996,0,0.13059999999999999,1.2542,0,413,false,false,0.98013203954474659,0.98712482497243825,2026072607,10005808911069659570,4958808046588775833,4958808046588775833,PAIRED_TARGET_FRAME_ERRORS,0.07336165,fd28e2e0c102bdfc,dfcbe7a21278659f,dfcbe7a21278659f,true,5000,PLOTTED
s2-07d,formal,BCH-S300,300,420,SEGMENTED,1,8,,NONE,5000,413,5000,5000,1500000,31233,4958,0.020822,0.99160000000000004,0.0083999999999999995,1,0,0.99160000000000004,0,1.4576,6.9572000000000003,0,0.13139999999999999,1.3262,0,410,false,false,0.98866584983492656,0.99377934561269354,2026072607,10005808911069659570,13693728842573621080,13693728842573621080,PAIRED_TARGET_FRAME_ERRORS,0.072168599999999999,cabea65e803be3a5,dfcbe7a21278659f,dfcbe7a21278659f,true,5000,PLOTTED
s2-07d,formal,BCH-S300,300,420,SEGMENTED,1,9,,NONE,5000,412,5000,5000,1500000,32384,4941,0.021589333333333332,0.98819999999999997,0.0118,1,0,0.98819999999999997,0,1.5229999999999999,7.6933999999999996,0,0.13,1.393,0,411,false,false,0.98480983774355246,0.99084057807729387,2026072607,10005808911069659570,1077535610364462312,1077535610364462312,PAIRED_TARGET_FRAME_ERRORS,0.074709800000000007,6f887ef0e6262a8d,dfcbe7a21278659f,dfcbe7a21278659f,true,5000,PLOTTED
