caseName,legend,sourceEbN0Db,frameRate,snrDb,FER
BCH-S300,"分段 BCH(15,11)",5,0.7142857142857143,3.53871964321762,0.51500000000000001
BCH-S300,"分段 BCH(15,11)",5.2000000000000002,0.7142857142857143,3.7387196432176202,0.42280000000000001
BCH-S300,"分段 BCH(15,11)",5.4000000000000004,0.7142857142857143,3.9387196432176204,0.35680000000000001
BCH-S300,"分段 BCH(15,11)",5.5999999999999996,0.7142857142857143,4.1387196432176196,0.2994
BCH-S300,"分段 BCH(15,11)",5.7999999999999998,0.7142857142857143,4.3387196432176198,0.22320000000000001
BCH-S300,"分段 BCH(15,11)",6,0.7142857142857143,4.53871964321762,0.17760000000000001
BCH-S300,"分段 BCH(15,11)",6.2000000000000002,0.7142857142857143,4.7387196432176202,0.13739999999999999
BCH-S300,"分段 BCH(15,11)",6.4000000000000004,0.7142857142857143,4.9387196432176204,0.1022
BCH-S300,"分段 BCH(15,11)",6.5999999999999996,0.7142857142857143,5.1387196432176196,0.074800000000000005
BCH-S300,"分段 BCH(15,11)",6.7999999999999998,0.7142857142857143,5.3387196432176198,0.057599999999999998
BCH-S300,"分段 BCH(15,11)",7,0.7142857142857143,5.53871964321762,0.0402
BCH-S300,"分段 BCH(15,11)",7.2000000000000002,0.7142857142857143,5.7387196432176202,0.024962556165751371
BCH-S300,"分段 BCH(15,11)",7.4000000000000004,0.7142857142857143,5.9387196432176204,0.016627868307283005
BCH-S300,"分段 BCH(15,11)",7.5999999999999996,0.7142857142857143,6.1387196432176196,0.012337301832089321
BCH-S300,"分段 BCH(15,11)",7.7999999999999998,0.7142857142857143,6.3387196432176198,0.0084012433840208352
BCH-S300,"分段 BCH(15,11)",8,0.7142857142857143,6.53871964321762,0.0055680837439795097
BCH-S300,"分段 BCH(15,11)",8.1999999999999993,0.7142857142857143,6.7387196432176193,0.00314
BCH-S300,"分段 BCH(15,11)",8.4000000000000004,0.7142857142857143,6.9387196432176204,0.0020400000000000001
BCH-S300,"分段 BCH(15,11)",8.5999999999999996,0.7142857142857143,7.1387196432176196,0.00116
BCH-S300,"分段 BCH(15,11)",8.8000000000000007,0.7142857142857143,7.3387196432176207,0.00072000000000000005
BCH-S300,"分段 BCH(15,11)",9,0.7142857142857143,7.53871964321762,0.00046000000000000001
BCH-B300,"缩短 BCH(511,421)",4,0.76923076923076927,2.8605664769316324,0.35980000000000001
BCH-B300,"缩短 BCH(511,421)",4.2000000000000002,0.76923076923076927,3.0605664769316325,0.2424
BCH-B300,"缩短 BCH(511,421)",4.4000000000000004,0.76923076923076927,3.2605664769316327,0.14799999999999999
BCH-B300,"缩短 BCH(511,421)",4.5999999999999996,0.76923076923076927,3.460566476931632,0.086199999999999999
BCH-B300,"缩短 BCH(511,421)",4.7999999999999998,0.76923076923076927,3.6605664769316322,0.047600000000000003
BCH-B300,"缩短 BCH(511,421)",5,0.76923076923076927,3.8605664769316324,0.020876826722338204
BCH-B300,"缩短 BCH(511,421)",5.2000000000000002,0.76923076923076927,4.0605664769316325,0.0081903435849133878
BCH-B300,"缩短 BCH(511,421)",5.4000000000000004,0.76923076923076927,4.2605664769316327,0.0031800000000000001
BCH-B300,"缩短 BCH(511,421)",5.5,0.76923076923076927,4.3605664769316324,0.0017600000000000001
BCH-B300-426,"缩短 BCH(511,385)",4,0.70422535211267601,2.4771165561694346,0.29720000000000002
BCH-B300-426,"缩短 BCH(511,385)",4.2000000000000002,0.70422535211267601,2.6771165561694348,0.18759999999999999
BCH-B300-426,"缩短 BCH(511,385)",4.4000000000000004,0.70422535211267601,2.877116556169435,0.113
BCH-B300-426,"缩短 BCH(511,385)",4.5999999999999996,0.70422535211267601,3.0771165561694342,0.050200000000000002
BCH-B300-426,"缩短 BCH(511,385)",4.7999999999999998,0.70422535211267601,3.2771165561694344,0.022660321776569226
BCH-B300-426,"缩短 BCH(511,385)",5,0.70422535211267601,3.4771165561694346,0.0087554174145252368
BCH-B300-426,"缩短 BCH(511,385)",5.2000000000000002,0.70422535211267601,3.6771165561694348,0.0025400000000000002
BCH-B300-426,"缩短 BCH(511,385)",5.4000000000000004,0.70422535211267601,3.877116556169435,0.00080000000000000004
BCH-B300-426,"缩短 BCH(511,385)",5.5,0.70422535211267601,3.9771165561694346,0.00066
