caseName,legend,sourceEbN0Db,frameRate,snrDb,avgDecodeTimeUs
BCH-S200,"分段 BCH(15,11)",4.5,0.70175438596491224,2.9618513565547095,14.969199999999988
BCH-S200,"分段 BCH(15,11)",4.7000000000000002,0.70175438596491224,3.1618513565547097,18.917720000000003
BCH-S200,"分段 BCH(15,11)",4.9000000000000004,0.70175438596491224,3.3618513565547099,18.533879999999936
BCH-S200,"分段 BCH(15,11)",5.0999999999999996,0.70175438596491224,3.5618513565547092,15.422580000000014
BCH-S200,"分段 BCH(15,11)",5.2999999999999998,0.70175438596491224,3.7618513565547094,14.903239999999979
BCH-S200,"分段 BCH(15,11)",5.5,0.70175438596491224,3.9618513565547095,15.770419999999984
BCH-S200,"分段 BCH(15,11)",5.7000000000000002,0.70175438596491224,4.1618513565547097,14.42911999999995
BCH-S200,"分段 BCH(15,11)",5.9000000000000004,0.70175438596491224,4.3618513565547099,13.700799999999974
BCH-S200,"分段 BCH(15,11)",6.0999999999999996,0.70175438596491224,4.5618513565547092,14.279099999999968
BCH-S200,"分段 BCH(15,11)",6.2999999999999998,0.70175438596491224,4.7618513565547094,15.092099999999995
BCH-S200,"分段 BCH(15,11)",6.5,0.70175438596491224,4.9618513565547095,13.828999999999985
BCH-S200,"分段 BCH(15,11)",6.7000000000000002,0.70175438596491224,5.1618513565547097,13.931900000000017
BCH-S200,"分段 BCH(15,11)",6.9000000000000004,0.70175438596491224,5.3618513565547099,14.374759999999998
BCH-S200,"分段 BCH(15,11)",7.0999999999999996,0.70175438596491224,5.5618513565547092,13.946660000000024
BCH-S200,"分段 BCH(15,11)",7.2999999999999998,0.70175438596491224,5.7618513565547094,12.750540000000029
BCH-S200,"分段 BCH(15,11)",7.5,0.70175438596491224,5.9618513565547095,11.952699999999973
BCH-S200,"分段 BCH(15,11)",7.7000000000000002,0.70175438596491224,6.1618513565547097,13.446259999999997
BCH-S200,"分段 BCH(15,11)",7.9000000000000004,0.70175438596491224,6.3618513565547099,12.758359999999991
BCH-S200,"分段 BCH(15,11)",8.0999999999999996,0.70175438596491224,6.5618513565547092,12.803019999999995
BCH-S200,"分段 BCH(15,11)",8.3000000000000007,0.70175438596491224,6.7618513565547103,12.40706000000001
BCH-S200,"分段 BCH(15,11)",8.5,0.70175438596491224,6.9618513565547095,12.664039999999995
BCH-B200,"缩短 BCH(255,207)",3.5,0.80645161290322576,2.565783148377649,33.562840000000001
BCH-B200,"缩短 BCH(255,207)",3.7000000000000002,0.80645161290322576,2.7657831483776492,34.538119999999964
BCH-B200,"缩短 BCH(255,207)",3.8999999999999999,0.80645161290322576,2.9657831483776489,33.487580000000079
BCH-B200,"缩短 BCH(255,207)",4.0999999999999996,0.80645161290322576,3.1657831483776486,33.251019999999961
BCH-B200,"缩短 BCH(255,207)",4.2999999999999998,0.80645161290322576,3.3657831483776488,31.841499999999964
BCH-B200,"缩短 BCH(255,207)",4.5,0.80645161290322576,3.565783148377649,29.607860000000016
BCH-B200,"缩短 BCH(255,207)",4.7000000000000002,0.80645161290322576,3.7657831483776492,29.448260000000008
BCH-B200,"缩短 BCH(255,207)",4.9000000000000004,0.80645161290322576,3.9657831483776493,30.575639999999961
BCH-B200,"缩短 BCH(255,207)",5.0999999999999996,0.80645161290322576,4.1657831483776491,28.57594000000006
BCH-B200,"缩短 BCH(255,207)",5.2999999999999998,0.80645161290322576,4.3657831483776492,29.867219999999918
BCH-B200,"缩短 BCH(255,207)",5.5,0.80645161290322576,4.5657831483776494,28.226359999999946
BCH-B200,"缩短 BCH(255,207)",5.7000000000000002,0.80645161290322576,4.7657831483776496,24.648620000000015
BCH-B200,"缩短 BCH(255,207)",5.9000000000000004,0.80645161290322576,4.9657831483776498,25.993560000000016
BCH-B200,"缩短 BCH(255,207)",6,0.80645161290322576,5.0657831483776494,24.080480000000005
