scheme,configurationId,workpointRole,EsN0Db,burstRatioRequested,meanFerAcrossStarts,worstFer,bestFer,worstStart,bestStart,failureStartRatio,boundaryStartFer,tailRemainderFer,startCount
BCH,BCH_CODEBLOCK_D19,HIGH,10,0.050000000000000003,0.0,0.0,0.0,0,0,0.0,0.0,0.0,272
BCH,BCH_CODEBLOCK_D19,HIGH,10,0.10000000000000001,1.0,1.0,1.0,0,0,1.0,1.0,1.0,257
BCH,BCH_CODEBLOCK_D19,LOW,-5,0.050000000000000003,1.0,1.0,1.0,0,0,1.0,1.0,1.0,272
BCH,BCH_CODEBLOCK_D19,LOW,-5,0.10000000000000001,1.0,1.0,1.0,0,0,1.0,1.0,1.0,257
BCH,BCH_CODEBLOCK_D19,WATERFALL,5.5,0.050000000000000003,0.5420772058823529,0.595,0.46,172,141,1.0,0.565,0.57,272
BCH,BCH_CODEBLOCK_D19,WATERFALL,5.5,0.10000000000000001,1.0,1.0,1.0,0,0,1.0,1.0,1.0,257
BCH,BCH_GLOBAL_PSEUDO_285,HIGH,10,0.050000000000000003,0.9926470588235294,1.0,0.0,0,142,0.9926470588235294,1.0,1.0,272
BCH,BCH_GLOBAL_PSEUDO_285,HIGH,10,0.10000000000000001,1.0,1.0,1.0,0,0,1.0,1.0,1.0,257
BCH,BCH_GLOBAL_PSEUDO_285,LOW,-5,0.050000000000000003,1.0,1.0,1.0,0,0,1.0,1.0,1.0,272
BCH,BCH_GLOBAL_PSEUDO_285,LOW,-5,0.10000000000000001,1.0,1.0,1.0,0,0,1.0,1.0,1.0,257
BCH,BCH_GLOBAL_PSEUDO_285,WATERFALL,5.5,0.050000000000000003,0.9968382352941179,1.0,0.59,0,142,1.0,1.0,1.0,272
BCH,BCH_GLOBAL_PSEUDO_285,WATERFALL,5.5,0.10000000000000001,1.0,1.0,1.0,0,0,1.0,1.0,1.0,257
BCH,BCH_NONE,HIGH,10,0.050000000000000003,1.0,1.0,1.0,0,0,1.0,1.0,1.0,272
BCH,BCH_NONE,HIGH,10,0.10000000000000001,1.0,1.0,1.0,0,0,1.0,1.0,1.0,257
BCH,BCH_NONE,LOW,-5,0.050000000000000003,1.0,1.0,1.0,0,0,1.0,1.0,1.0,272
BCH,BCH_NONE,LOW,-5,0.10000000000000001,1.0,1.0,1.0,0,0,1.0,1.0,1.0,257
BCH,BCH_NONE,WATERFALL,5.5,0.050000000000000003,0.9999816176470588,1.0,0.995,0,271,1.0,1.0,0.995,272
BCH,BCH_NONE,WATERFALL,5.5,0.10000000000000001,1.0,1.0,1.0,0,0,1.0,1.0,1.0,257
