schemeId,organizationMode,slotOrganization,decisionInformation,inputPrecision,payloadBits,transmittedBits,actualRate,esN0Db,ebN0Db,frames,bitErrors,frameErrors,BER,FER,tracebackDepthD,windowLengthW,slideStepS,ACSCount,tracebackOperations,windowTriggerCount,decoderMemoryBytes,avgCpuDecodeTimeUs,medianCpuDecodeTimeUs,p95CpuDecodeTimeUs,maxCpuDecodeTimeUs,firstOutputDelaySymbols,avgDecisionDelaySymbols,medianDecisionDelaySymbols,p95DecisionDelaySymbols,maxDecisionDelaySymbols,timingSeparation,stopPolicyLimitation,sourceFile,sourceSha256,sourceCaseId,sourceNoiseId
BLOCK_FLOAT_SOFT,BLOCK,NOT_APPLICABLE,Float Soft,Float,300,612,0.4901960784313725,-5.0,-1.9036983257410125,1000,117052,1000,0.3901733333333333,1.0,306,306,300,39168000,306000,0,59776,436.7818,431.1,617.9,1791.1,610,311.0,310,580,610,CPU译码时间（微秒）与实时决策时延（符号）分列,历史结果非严格pair-stop,Task/CC/simulation/stages/S3/stage14_block_continuous_comparison/results/stage14_online_slot_formal_results_all_decisions.csv,427c0c0efd20135457f0a9d5ddab3b9e43ee539809178ef47852286094f508e8,CC-O-R12-A_BLOCK_300,STAGE14-1200
BLOCK_FLOAT_SOFT,BLOCK,NOT_APPLICABLE,Float Soft,Float,300,612,0.4901960784313725,-4.5,-1.4036983257410125,1000,104079,1000,0.34693,1.0,306,306,300,39168000,306000,0,59776,443.90790000000015,436.7,605.4,2718.6,610,311.0,310,580,610,CPU译码时间（微秒）与实时决策时延（符号）分列,历史结果非严格pair-stop,Task/CC/simulation/stages/S3/stage14_block_continuous_comparison/results/stage14_online_slot_formal_results_all_decisions.csv,427c0c0efd20135457f0a9d5ddab3b9e43ee539809178ef47852286094f508e8,CC-O-R12-A_BLOCK_300,STAGE14-1200
BLOCK_FLOAT_SOFT,BLOCK,NOT_APPLICABLE,Float Soft,Float,300,612,0.4901960784313725,-4.0,-0.9036983257410122,1000,86580,1000,0.2886,1.0,306,306,300,39168000,306000,0,59776,446.9946000000002,434.7,659.5,3312.1,610,311.0,310,580,610,CPU译码时间（微秒）与实时决策时延（符号）分列,历史结果非严格pair-stop,Task/CC/simulation/stages/S3/stage14_block_continuous_comparison/results/stage14_online_slot_formal_results_all_decisions.csv,427c0c0efd20135457f0a9d5ddab3b9e43ee539809178ef47852286094f508e8,CC-O-R12-A_BLOCK_300,STAGE14-1200
BLOCK_FLOAT_SOFT,BLOCK,NOT_APPLICABLE,Float Soft,Float,300,612,0.4901960784313725,-3.5,-0.4036983257410122,1000,64512,997,0.21504,0.997,306,306,300,39168000,306000,0,59776,442.6954000000002,435.2,630.1,2389.3,610,311.0,310,580,610,CPU译码时间（微秒）与实时决策时延（符号）分列,历史结果非严格pair-stop,Task/CC/simulation/stages/S3/stage14_block_continuous_comparison/results/stage14_online_slot_formal_results_all_decisions.csv,427c0c0efd20135457f0a9d5ddab3b9e43ee539809178ef47852286094f508e8,CC-O-R12-A_BLOCK_300,STAGE14-1200
BLOCK_FLOAT_SOFT,BLOCK,NOT_APPLICABLE,Float Soft,Float,300,612,0.4901960784313725,-3.0,0.0963016742589877,1000,41501,971,0.1383366666666666,0.971,306,306,300,39168000,306000,0,59776,453.1860999999998,443.5,609.2,1758.4,610,311.0,310,580,610,CPU译码时间（微秒）与实时决策时延（符号）分列,历史结果非严格pair-stop,Task/CC/simulation/stages/S3/stage14_block_continuous_comparison/results/stage14_online_slot_formal_results_all_decisions.csv,427c0c0efd20135457f0a9d5ddab3b9e43ee539809178ef47852286094f508e8,CC-O-R12-A_BLOCK_300,STAGE14-1200
BLOCK_FLOAT_SOFT,BLOCK,NOT_APPLICABLE,Float Soft,Float,300,612,0.4901960784313725,-2.5,0.5963016742589877,1000,23415,865,0.0780499999999999,0.8649999999999999,306,306,300,39168000,306000,0,59776,465.6588999999996,450.9,652.5,1780.6,610,311.0,310,580,610,CPU译码时间（微秒）与实时决策时延（符号）分列,历史结果非严格pair-stop,Task/CC/simulation/stages/S3/stage14_block_continuous_comparison/results/stage14_online_slot_formal_results_all_decisions.csv,427c0c0efd20135457f0a9d5ddab3b9e43ee539809178ef47852286094f508e8,CC-O-R12-A_BLOCK_300,STAGE14-1200
BLOCK_FLOAT_SOFT,BLOCK,NOT_APPLICABLE,Float Soft,Float,300,612,0.4901960784313725,-2.0,1.0963016742589875,1000,10725,633,0.0357499999999999,0.633,306,306,300,39168000,306000,0,59776,457.5328999999999,446.5,630.6,1348.9,610,311.0,310,580,610,CPU译码时间（微秒）与实时决策时延（符号）分列,历史结果非严格pair-stop,Task/CC/simulation/stages/S3/stage14_block_continuous_comparison/results/stage14_online_slot_formal_results_all_decisions.csv,427c0c0efd20135457f0a9d5ddab3b9e43ee539809178ef47852286094f508e8,CC-O-R12-A_BLOCK_300,STAGE14-1200
BLOCK_FLOAT_SOFT,BLOCK,NOT_APPLICABLE,Float Soft,Float,300,612,0.4901960784313725,-1.5,1.5963016742589875,1000,4257,391,0.0141899999999999,0.391,306,306,300,39168000,306000,0,59776,468.45499999999953,450.9,655.0,2771.7,610,311.0,310,580,610,CPU译码时间（微秒）与实时决策时延（符号）分列,历史结果非严格pair-stop,Task/CC/simulation/stages/S3/stage14_block_continuous_comparison/results/stage14_online_slot_formal_results_all_decisions.csv,427c0c0efd20135457f0a9d5ddab3b9e43ee539809178ef47852286094f508e8,CC-O-R12-A_BLOCK_300,STAGE14-1200
BLOCK_FLOAT_SOFT,BLOCK,NOT_APPLICABLE,Float Soft,Float,300,612,0.4901960784313725,-1.0,2.096301674258988,1092,1672,200,0.0051037851037851,0.1831501831501831,306,306,300,42771456,334152,0,59776,425.826007326007,425.9,559.9,1013.8,610,311.0,310,580,610,CPU译码时间（微秒）与实时决策时延（符号）分列,历史结果非严格pair-stop,Task/CC/simulation/stages/S3/stage14_block_continuous_comparison/results/stage14_online_slot_formal_results_all_decisions.csv,427c0c0efd20135457f0a9d5ddab3b9e43ee539809178ef47852286094f508e8,CC-O-R12-A_BLOCK_300,STAGE14-1200
BLOCK_FLOAT_SOFT,BLOCK,NOT_APPLICABLE,Float Soft,Float,300,612,0.4901960784313725,-0.5,2.596301674258988,3368,1356,200,0.0013420427553444,0.0593824228028503,306,306,300,131917824,1030608,0,59776,416.8630344418051,420.9,542.7,3640.2,610,311.0,310,580,610,CPU译码时间（微秒）与实时决策时延（符号）分列,历史结果非严格pair-stop,Task/CC/simulation/stages/S3/stage14_block_continuous_comparison/results/stage14_online_slot_formal_results_all_decisions.csv,427c0c0efd20135457f0a9d5ddab3b9e43ee539809178ef47852286094f508e8,CC-O-R12-A_BLOCK_300,STAGE14-1200
