organization,rateCase,snrDb,normalizedGoodput,FER
A_BLOCK_300,R34,-5.0,0.0,1.0
B_CONT_50x6,R34,-5.0,0.0,1.0
C_CONT_100x3,R34,-5.0,0.0,1.0
D_CONT_150x2,R34,-5.0,0.0,1.0
A_BLOCK_300,R34,-4.5,0.0,1.0
B_CONT_50x6,R34,-4.5,0.0,1.0
C_CONT_100x3,R34,-4.5,0.0,1.0
D_CONT_150x2,R34,-4.5,0.0,1.0
A_BLOCK_300,R34,-4.0,0.0,1.0
B_CONT_50x6,R34,-4.0,0.0,1.0
C_CONT_100x3,R34,-4.0,0.0,1.0
D_CONT_150x2,R34,-4.0,0.0,1.0
A_BLOCK_300,R34,-3.5,0.0,1.0
B_CONT_50x6,R34,-3.5,0.0,1.0
C_CONT_100x3,R34,-3.5,0.0,1.0
D_CONT_150x2,R34,-3.5,0.0,1.0
A_BLOCK_300,R34,-3.0,0.0,1.0
B_CONT_50x6,R34,-3.0,0.0,1.0
C_CONT_100x3,R34,-3.0,0.0,1.0
D_CONT_150x2,R34,-3.0,0.0,1.0
A_BLOCK_300,R34,-2.5,0.0,1.0
B_CONT_50x6,R34,-2.5,0.0,1.0
C_CONT_100x3,R34,-2.5,0.0,1.0
D_CONT_150x2,R34,-2.5,0.0,1.0
A_BLOCK_300,R34,-2.0,0.0,1.0
B_CONT_50x6,R34,-2.0,0.0,1.0
C_CONT_100x3,R34,-2.0,0.0,1.0
D_CONT_150x2,R34,-2.0,0.0,1.0
A_BLOCK_300,R34,-1.5,0.0,1.0
B_CONT_50x6,R34,-1.5,0.0,1.0
C_CONT_100x3,R34,-1.5,0.0,1.0
D_CONT_150x2,R34,-1.5,0.0,1.0
A_BLOCK_300,R34,-1.0,0.0,1.0
B_CONT_50x6,R34,-1.0,0.0,1.0
C_CONT_100x3,R34,-1.0,0.0,1.0
D_CONT_150x2,R34,-1.0,0.0,1.0
A_BLOCK_300,R34,-0.5,0.0095588235294117,0.987
B_CONT_50x6,R34,-0.5,0.0095588235294117,0.987
C_CONT_100x3,R34,-0.5,0.0095588235294117,0.987
D_CONT_150x2,R34,-0.5,0.0095588235294117,0.987
A_BLOCK_300,R34,0.0,0.0602941176470587,0.918
B_CONT_50x6,R34,0.0,0.0551470588235293,0.925
C_CONT_100x3,R34,0.0,0.0551470588235293,0.925
D_CONT_150x2,R34,0.0,0.0551470588235293,0.925
A_BLOCK_300,R34,0.5,0.2066176470588235,0.7189999999999999
B_CONT_50x6,R34,0.5,0.2058823529411765,0.7199999999999999
C_CONT_100x3,R34,0.5,0.2058823529411765,0.7199999999999999
D_CONT_150x2,R34,0.5,0.2058823529411765,0.7199999999999999
A_BLOCK_300,R34,1.0,0.4014705882352941,0.454
B_CONT_50x6,R34,1.0,0.3985294117647059,0.458
C_CONT_100x3,R34,1.0,0.3985294117647059,0.458
D_CONT_150x2,R34,1.0,0.3985294117647059,0.458
