organization,rateCase,snrDb,BER,berCiHigh,frames
A_BLOCK_300,R34,-5.0,0.4851366666666666,0.4869252489834668,1000
B_CONT_50x6,R34,-5.0,0.4846966666666666,0.4864852070996755,1000
C_CONT_100x3,R34,-5.0,0.4846966666666666,0.4864852070996755,1000
D_CONT_150x2,R34,-5.0,0.4846966666666666,0.4864852070996755,1000
A_BLOCK_300,R34,-4.5,0.4814833333333333,0.4832715258138713,1000
B_CONT_50x6,R34,-4.5,0.4813033333333333,0.4830915041330874,1000
C_CONT_100x3,R34,-4.5,0.4813033333333333,0.4830915041330874,1000
D_CONT_150x2,R34,-4.5,0.4813033333333333,0.4830915041330874,1000
A_BLOCK_300,R34,-4.0,0.47631,0.4780974766931094,1000
B_CONT_50x6,R34,-4.0,0.47652,0.4783075094893825,1000
C_CONT_100x3,R34,-4.0,0.47652,0.4783075094893825,1000
D_CONT_150x2,R34,-4.0,0.47652,0.4783075094893825,1000
A_BLOCK_300,R34,-3.5,0.4679533333333333,0.4697392476938151,1000
B_CONT_50x6,R34,-3.5,0.4682433333333333,0.4700293103251589,1000
C_CONT_100x3,R34,-3.5,0.4682433333333333,0.4700293103251589,1000
D_CONT_150x2,R34,-3.5,0.4682433333333333,0.4700293103251589,1000
A_BLOCK_300,R34,-3.0,0.4558233333333333,0.4576060846397209,1000
B_CONT_50x6,R34,-3.0,0.4547333333333333,0.4565157483308095,1000
C_CONT_100x3,R34,-3.0,0.4547333333333333,0.4565157483308095,1000
D_CONT_150x2,R34,-3.0,0.4547333333333333,0.4565157483308095,1000
A_BLOCK_300,R34,-2.5,0.4400933333333333,0.4418703947840567,1000
B_CONT_50x6,R34,-2.5,0.44072,0.4424973226110604,1000
C_CONT_100x3,R34,-2.5,0.44072,0.4424973226110604,1000
D_CONT_150x2,R34,-2.5,0.44072,0.4424973226110604,1000
A_BLOCK_300,R34,-2.0,0.4153999999999999,0.4171644693920491,1000
B_CONT_50x6,R34,-2.0,0.4144833333333333,0.4162472482049167,1000
C_CONT_100x3,R34,-2.0,0.4144833333333333,0.4162472482049167,1000
D_CONT_150x2,R34,-2.0,0.4144833333333333,0.4162472482049167,1000
A_BLOCK_300,R34,-1.5,0.3716433333333333,0.3733742005503235,1000
B_CONT_50x6,R34,-1.5,0.37208,0.3738112759015641,1000
C_CONT_100x3,R34,-1.5,0.37208,0.3738112759015641,1000
D_CONT_150x2,R34,-1.5,0.37208,0.3738112759015641,1000
A_BLOCK_300,R34,-1.0,0.3185933333333333,0.3202629288779503,1000
B_CONT_50x6,R34,-1.0,0.31773,0.3193984005134653,1000
C_CONT_100x3,R34,-1.0,0.31773,0.3193984005134653,1000
D_CONT_150x2,R34,-1.0,0.31773,0.3193984005134653,1000
A_BLOCK_300,R34,-0.5,0.2436366666666666,0.2451760590265176,1000
B_CONT_50x6,R34,-0.5,0.2419966666666666,0.2435325601604606,1000
C_CONT_100x3,R34,-0.5,0.2419966666666666,0.2435325601604606,1000
D_CONT_150x2,R34,-0.5,0.2419966666666666,0.2435325601604606,1000
A_BLOCK_300,R34,0.0,0.1511433333333333,0.1524295375716708,1000
B_CONT_50x6,R34,0.0,0.1519266666666666,0.1532155848886151,1000
C_CONT_100x3,R34,0.0,0.1519266666666666,0.1532155848886151,1000
D_CONT_150x2,R34,0.0,0.1519266666666666,0.1532155848886151,1000
A_BLOCK_300,R34,0.5,0.07731,0.078271147198569,1000
B_CONT_50x6,R34,0.5,0.0775366666666666,0.0784990933770212,1000
C_CONT_100x3,R34,0.5,0.0775366666666666,0.0784990933770212,1000
D_CONT_150x2,R34,0.5,0.0775366666666666,0.0784990933770212,1000
A_BLOCK_300,R34,1.0,0.0319533333333333,0.0325887031504474,1000
B_CONT_50x6,R34,1.0,0.0321333333333333,0.0327704122052647,1000
C_CONT_100x3,R34,1.0,0.0321333333333333,0.0327704122052647,1000
D_CONT_150x2,R34,1.0,0.0321333333333333,0.0327704122052647,1000
A_BLOCK_300,R34,1.5,0.0108866666666666,0.0112643082703129,1000
B_CONT_50x6,R34,1.5,0.0109333333333333,0.0113117604489023,1000
C_CONT_100x3,R34,1.5,0.0109333333333333,0.0113117604489023,1000
D_CONT_150x2,R34,1.5,0.0109333333333333,0.0113117604489023,1000
A_BLOCK_300,R34,2.0,0.0029199903311578,0.0030385850100174,2758
B_CONT_50x6,R34,2.0,0.0029405366207396,0.0030595382444621,2758
C_CONT_100x3,R34,2.0,0.0029405366207396,0.0030595382444621,2758
D_CONT_150x2,R34,2.0,0.0029405366207396,0.0030595382444621,2758
A_BLOCK_300,R34,2.5,0.0007175899376839,0.000750783072453,8719
B_CONT_50x6,R34,2.5,0.0007198837787208,0.0007531286853948,8719
C_CONT_100x3,R34,2.5,0.0007198837787208,0.0007531286853948,8719
D_CONT_150x2,R34,2.5,0.0007198837787208,0.0007531286853948,8719
A_BLOCK_300,R34,3.0,0.00015511085776,0.0001630240875602,33331
B_CONT_50x6,R34,3.0,0.00015511085776,0.0001630240875602,33331
C_CONT_100x3,R34,3.0,0.00015511085776,0.0001630240875602,33331
D_CONT_150x2,R34,3.0,0.00015511085776,0.0001630240875602,33331
A_BLOCK_300,R34,3.5,3.16e-05,3.4575637702715185e-05,50000
B_CONT_50x6,R34,3.5,3.16e-05,3.4575637702715185e-05,50000
C_CONT_100x3,R34,3.5,3.16e-05,3.4575637702715185e-05,50000
D_CONT_150x2,R34,3.5,3.16e-05,3.4575637702715185e-05,50000
A_BLOCK_300,R34,4.0,2.9333333333333333e-06,3.937516136630985e-06,50000
B_CONT_50x6,R34,4.0,2.9333333333333333e-06,3.937516136630985e-06,50000
C_CONT_100x3,R34,4.0,2.9333333333333333e-06,3.937516136630985e-06,50000
D_CONT_150x2,R34,4.0,2.9333333333333333e-06,3.937516136630985e-06,50000
A_BLOCK_300,R34,4.5,1.1333333333333334e-06,1.8151320510234024e-06,50000
B_CONT_50x6,R34,4.5,1.1333333333333334e-06,1.8151320510234024e-06,50000
C_CONT_100x3,R34,4.5,1.1333333333333334e-06,1.8151320510234024e-06,50000
D_CONT_150x2,R34,4.5,1.1333333333333334e-06,1.8151320510234024e-06,50000
A_BLOCK_300,R34,5.0,0.0,2.5609718912715457e-07,50000
B_CONT_50x6,R34,5.0,0.0,2.5609718912715457e-07,50000
C_CONT_100x3,R34,5.0,0.0,2.5609718912715457e-07,50000
D_CONT_150x2,R34,5.0,0.0,2.5609718912715457e-07,50000
A_BLOCK_300,R34,5.5,0.0,2.5609718912715457e-07,50000
B_CONT_50x6,R34,5.5,0.0,2.5609718912715457e-07,50000
C_CONT_100x3,R34,5.5,0.0,2.5609718912715457e-07,50000
D_CONT_150x2,R34,5.5,0.0,2.5609718912715457e-07,50000
A_BLOCK_300,R34,6.0,0.0,2.5609718912715457e-07,50000
B_CONT_50x6,R34,6.0,0.0,2.5609718912715457e-07,50000
C_CONT_100x3,R34,6.0,0.0,2.5609718912715457e-07,50000
D_CONT_150x2,R34,6.0,0.0,2.5609718912715457e-07,50000
A_BLOCK_300,R34,6.5,0.0,2.5609718912715457e-07,50000
B_CONT_50x6,R34,6.5,0.0,2.5609718912715457e-07,50000
C_CONT_100x3,R34,6.5,0.0,2.5609718912715457e-07,50000
D_CONT_150x2,R34,6.5,0.0,2.5609718912715457e-07,50000
A_BLOCK_300,R34,7.0,0.0,2.5609718912715457e-07,50000
B_CONT_50x6,R34,7.0,0.0,2.5609718912715457e-07,50000
C_CONT_100x3,R34,7.0,0.0,2.5609718912715457e-07,50000
D_CONT_150x2,R34,7.0,0.0,2.5609718912715457e-07,50000
A_BLOCK_300,R34,7.5,0.0,2.5609718912715457e-07,50000
B_CONT_50x6,R34,7.5,0.0,2.5609718912715457e-07,50000
C_CONT_100x3,R34,7.5,0.0,2.5609718912715457e-07,50000
D_CONT_150x2,R34,7.5,0.0,2.5609718912715457e-07,50000
A_BLOCK_300,R34,8.0,0.0,2.5609718912715457e-07,50000
B_CONT_50x6,R34,8.0,0.0,2.5609718912715457e-07,50000
C_CONT_100x3,R34,8.0,0.0,2.5609718912715457e-07,50000
D_CONT_150x2,R34,8.0,0.0,2.5609718912715457e-07,50000
A_BLOCK_300,R34,8.5,0.0,2.5609718912715457e-07,50000
B_CONT_50x6,R34,8.5,0.0,2.5609718912715457e-07,50000
C_CONT_100x3,R34,8.5,0.0,2.5609718912715457e-07,50000
D_CONT_150x2,R34,8.5,0.0,2.5609718912715457e-07,50000
A_BLOCK_300,R34,9.0,0.0,2.5609718912715457e-07,50000
B_CONT_50x6,R34,9.0,0.0,2.5609718912715457e-07,50000
C_CONT_100x3,R34,9.0,0.0,2.5609718912715457e-07,50000
D_CONT_150x2,R34,9.0,0.0,2.5609718912715457e-07,50000
A_BLOCK_300,R34,9.5,0.0,2.5609718912715457e-07,50000
B_CONT_50x6,R34,9.5,0.0,2.5609718912715457e-07,50000
C_CONT_100x3,R34,9.5,0.0,2.5609718912715457e-07,50000
D_CONT_150x2,R34,9.5,0.0,2.5609718912715457e-07,50000
A_BLOCK_300,R34,10.0,0.0,2.5609718912715457e-07,50000
B_CONT_50x6,R34,10.0,0.0,2.5609718912715457e-07,50000
C_CONT_100x3,R34,10.0,0.0,2.5609718912715457e-07,50000
D_CONT_150x2,R34,10.0,0.0,2.5609718912715457e-07,50000
