organization,rateCase,snrDb,BER,berCiHigh,frames
A_BLOCK_300,R23,-5.0,0.4726733333333333,0.4744601918350014,1000
B_CONT_50x6,R23,-5.0,0.4732666666666666,0.4750536325157302,1000
C_CONT_100x3,R23,-5.0,0.4732666666666666,0.4750536325157302,1000
D_CONT_150x2,R23,-5.0,0.4732666666666666,0.4750536325157302,1000
A_BLOCK_300,R23,-4.5,0.4648966666666666,0.4666818840332929,1000
B_CONT_50x6,R23,-4.5,0.4645633333333333,0.4663484706198541,1000
C_CONT_100x3,R23,-4.5,0.4645633333333333,0.4663484706198541,1000
D_CONT_150x2,R23,-4.5,0.4645633333333333,0.4663484706198541,1000
A_BLOCK_300,R23,-4.0,0.4527866666666666,0.4545684596200931,1000
B_CONT_50x6,R23,-4.0,0.4525766666666666,0.4543583908740237,1000
C_CONT_100x3,R23,-4.0,0.4525766666666666,0.4543583908740237,1000
D_CONT_150x2,R23,-4.0,0.4525766666666666,0.4543583908740237,1000
A_BLOCK_300,R23,-3.5,0.4339199999999999,0.4356943350241774,1000
B_CONT_50x6,R23,-3.5,0.4346866666666666,0.4364613554880206,1000
C_CONT_100x3,R23,-3.5,0.4346866666666666,0.4364613554880206,1000
D_CONT_150x2,R23,-3.5,0.4346866666666666,0.4364613554880206,1000
A_BLOCK_300,R23,-3.0,0.40587,0.4076283964354772,1000
B_CONT_50x6,R23,-3.0,0.40533,0.4070880318520248,1000
C_CONT_100x3,R23,-3.0,0.40533,0.4070880318520248,1000
D_CONT_150x2,R23,-3.0,0.40533,0.4070880318520248,1000
A_BLOCK_300,R23,-2.5,0.3649466666666666,0.3666710763444671,1000
B_CONT_50x6,R23,-2.5,0.3652699999999999,0.36699472969345,1000
C_CONT_100x3,R23,-2.5,0.3652699999999999,0.36699472969345,1000
D_CONT_150x2,R23,-2.5,0.3652699999999999,0.36699472969345,1000
A_BLOCK_300,R23,-2.0,0.3052066666666666,0.3068569818479048,1000
B_CONT_50x6,R23,-2.0,0.3044733333333333,0.306122545423545,1000
C_CONT_100x3,R23,-2.0,0.3044733333333333,0.306122545423545,1000
D_CONT_150x2,R23,-2.0,0.3044733333333333,0.306122545423545,1000
A_BLOCK_300,R23,-1.5,0.2282566666666666,0.2297620220855141,1000
B_CONT_50x6,R23,-1.5,0.2273666666666666,0.2288699667304273,1000
C_CONT_100x3,R23,-1.5,0.2273666666666666,0.2288699667304273,1000
D_CONT_150x2,R23,-1.5,0.2273666666666666,0.2288699667304273,1000
A_BLOCK_300,R23,-1.0,0.14924,0.1505195599116745,1000
B_CONT_50x6,R23,-1.0,0.1489433333333333,0.1502218511902258,1000
C_CONT_100x3,R23,-1.0,0.1489433333333333,0.1502218511902258,1000
D_CONT_150x2,R23,-1.0,0.1489433333333333,0.1502218511902258,1000
A_BLOCK_300,R23,-0.5,0.0770933333333333,0.0780532552142583,1000
B_CONT_50x6,R23,-0.5,0.0777933333333333,0.078757206002445,1000
C_CONT_100x3,R23,-0.5,0.0777933333333333,0.078757206002445,1000
D_CONT_150x2,R23,-0.5,0.0777933333333333,0.078757206002445,1000
A_BLOCK_300,R23,0.0,0.0327133333333333,0.0333558834301479,1000
B_CONT_50x6,R23,0.0,0.0327799999999999,0.0334231755216636,1000
C_CONT_100x3,R23,0.0,0.0327799999999999,0.0334231755216636,1000
D_CONT_150x2,R23,0.0,0.0327799999999999,0.0334231755216636,1000
A_BLOCK_300,R23,0.5,0.01078,0.0111558395856295,1000
