organization,rateCase,snrDb,FER,ferCiHigh,frames
A_BLOCK_300,R12,-5.0,1.0,1.0,1000
B_CONT_50x6,R12,-5.0,1.0,1.0,1000
C_CONT_100x3,R12,-5.0,1.0,1.0,1000
D_CONT_150x2,R12,-5.0,1.0,1.0,1000
A_BLOCK_300,R12,-4.5,1.0,1.0,1000
B_CONT_50x6,R12,-4.5,1.0,1.0,1000
C_CONT_100x3,R12,-4.5,1.0,1.0,1000
D_CONT_150x2,R12,-4.5,1.0,1.0,1000
A_BLOCK_300,R12,-4.0,1.0,1.0,1000
B_CONT_50x6,R12,-4.0,1.0,1.0,1000
C_CONT_100x3,R12,-4.0,1.0,1.0,1000
D_CONT_150x2,R12,-4.0,1.0,1.0,1000
A_BLOCK_300,R12,-3.5,0.997,0.9989792161188614,1000
B_CONT_50x6,R12,-3.5,0.997,0.9989792161188614,1000
C_CONT_100x3,R12,-3.5,0.997,0.9989792161188614,1000
D_CONT_150x2,R12,-3.5,0.997,0.9989792161188614,1000
A_BLOCK_300,R12,-3.0,0.971,0.9797335518433012,1000
B_CONT_50x6,R12,-3.0,0.973,0.981378617225705,1000
C_CONT_100x3,R12,-3.0,0.973,0.981378617225705,1000
D_CONT_150x2,R12,-3.0,0.973,0.981378617225705,1000
A_BLOCK_300,R12,-2.5,0.8649999999999999,0.8847886215083399,1000
B_CONT_50x6,R12,-2.5,0.871,0.890364554705495,1000
C_CONT_100x3,R12,-2.5,0.871,0.890364554705495,1000
D_CONT_150x2,R12,-2.5,0.871,0.890364554705495,1000
A_BLOCK_300,R12,-2.0,0.633,0.6623114557677315,1000
B_CONT_50x6,R12,-2.0,0.636,0.6652483490872249,1000
C_CONT_100x3,R12,-2.0,0.636,0.6652483490872249,1000
D_CONT_150x2,R12,-2.0,0.636,0.6652483490872249,1000
A_BLOCK_300,R12,-1.5,0.391,0.4216064838452124,1000
B_CONT_50x6,R12,-1.5,0.392,0.4226163546445151,1000
C_CONT_100x3,R12,-1.5,0.392,0.4226163546445151,1000
D_CONT_150x2,R12,-1.5,0.392,0.4226163546445151,1000
A_BLOCK_300,R12,-1.0,0.1831501831501831,0.2071885295026307,1092
B_CONT_50x6,R12,-1.0,0.1831501831501831,0.2071885295026307,1092
C_CONT_100x3,R12,-1.0,0.1831501831501831,0.2071885295026307,1092
D_CONT_150x2,R12,-1.0,0.1831501831501831,0.2071885295026307,1092
A_BLOCK_300,R12,-0.5,0.0593824228028503,0.0678773782050709,3368
B_CONT_50x6,R12,-0.5,0.0593824228028503,0.0678773782050709,3368
C_CONT_100x3,R12,-0.5,0.0593824228028503,0.0678773782050709,3368
