organization,rateCase,snrDb,FER,ferCiHigh,frames
A_BLOCK_300,R34,-5.0,1.0,1.0,1000
B_CONT_50x6,R34,-5.0,1.0,1.0,1000
C_CONT_100x3,R34,-5.0,1.0,1.0,1000
D_CONT_150x2,R34,-5.0,1.0,1.0,1000
A_BLOCK_300,R34,-4.5,1.0,1.0,1000
B_CONT_50x6,R34,-4.5,1.0,1.0,1000
C_CONT_100x3,R34,-4.5,1.0,1.0,1000
D_CONT_150x2,R34,-4.5,1.0,1.0,1000
A_BLOCK_300,R34,-4.0,1.0,1.0,1000
B_CONT_50x6,R34,-4.0,1.0,1.0,1000
C_CONT_100x3,R34,-4.0,1.0,1.0,1000
D_CONT_150x2,R34,-4.0,1.0,1.0,1000
A_BLOCK_300,R34,-3.5,1.0,1.0,1000
B_CONT_50x6,R34,-3.5,1.0,1.0,1000
C_CONT_100x3,R34,-3.5,1.0,1.0,1000
D_CONT_150x2,R34,-3.5,1.0,1.0,1000
A_BLOCK_300,R34,-3.0,1.0,1.0,1000
B_CONT_50x6,R34,-3.0,1.0,1.0,1000
C_CONT_100x3,R34,-3.0,1.0,1.0,1000
D_CONT_150x2,R34,-3.0,1.0,1.0,1000
A_BLOCK_300,R34,-2.5,1.0,1.0,1000
B_CONT_50x6,R34,-2.5,1.0,1.0,1000
C_CONT_100x3,R34,-2.5,1.0,1.0,1000
D_CONT_150x2,R34,-2.5,1.0,1.0,1000
A_BLOCK_300,R34,-2.0,1.0,1.0,1000
B_CONT_50x6,R34,-2.0,1.0,1.0,1000
C_CONT_100x3,R34,-2.0,1.0,1.0,1000
D_CONT_150x2,R34,-2.0,1.0,1.0,1000
A_BLOCK_300,R34,-1.5,1.0,1.0,1000
B_CONT_50x6,R34,-1.5,1.0,1.0,1000
C_CONT_100x3,R34,-1.5,1.0,1.0,1000
D_CONT_150x2,R34,-1.5,1.0,1.0,1000
A_BLOCK_300,R34,-1.0,1.0,1.0,1000
B_CONT_50x6,R34,-1.0,1.0,1.0,1000
C_CONT_100x3,R34,-1.0,1.0,1.0,1000
D_CONT_150x2,R34,-1.0,1.0,1.0,1000
A_BLOCK_300,R34,-0.5,0.987,0.9923871796106488,1000
B_CONT_50x6,R34,-0.5,0.987,0.9923871796106488,1000
C_CONT_100x3,R34,-0.5,0.987,0.9923871796106488,1000
D_CONT_150x2,R34,-0.5,0.987,0.9923871796106488,1000
A_BLOCK_300,R34,0.0,0.918,0.9334480465797804,1000
B_CONT_50x6,R34,0.0,0.925,0.9397481950265328,1000
C_CONT_100x3,R34,0.0,0.925,0.9397481950265328,1000
D_CONT_150x2,R34,0.0,0.925,0.9397481950265328,1000
A_BLOCK_300,R34,0.5,0.7189999999999999,0.7459802216935335,1000
B_CONT_50x6,R34,0.5,0.7199999999999999,0.7469462991874067,1000
C_CONT_100x3,R34,0.5,0.7199999999999999,0.7469462991874067,1000
D_CONT_150x2,R34,0.5,0.7199999999999999,0.7469462991874067,1000
A_BLOCK_300,R34,1.0,0.454,0.4849757579558096,1000
B_CONT_50x6,R34,1.0,0.458,0.4889822269277601,1000
C_CONT_100x3,R34,1.0,0.458,0.4889822269277601,1000
D_CONT_150x2,R34,1.0,0.458,0.4889822269277601,1000
A_BLOCK_300,R34,1.5,0.214,0.2404888206392857,1000
B_CONT_50x6,R34,1.5,0.215,0.2415278160453867,1000
C_CONT_100x3,R34,1.5,0.215,0.2415278160453867,1000
D_CONT_150x2,R34,1.5,0.215,0.2415278160453867,1000
A_BLOCK_300,R34,2.0,0.0725163161711385,0.0828012407598934,2758
B_CONT_50x6,R34,2.0,0.0732414793328498,0.0835696897535656,2758
C_CONT_100x3,R34,2.0,0.0732414793328498,0.0835696897535656,2758
D_CONT_150x2,R34,2.0,0.0732414793328498,0.0835696897535656,2758
A_BLOCK_300,R34,2.5,0.0229384103681614,0.0262971992776148,8719
B_CONT_50x6,R34,2.5,0.0231677944718431,0.0265417403979044,8719
C_CONT_100x3,R34,2.5,0.0231677944718431,0.0265417403979044,8719
D_CONT_150x2,R34,2.5,0.0231677944718431,0.0265417403979044,8719
A_BLOCK_300,R34,3.0,0.006000420029402,0.0068883540305911,33331
B_CONT_50x6,R34,3.0,0.006000420029402,0.0068883540305911,33331
C_CONT_100x3,R34,3.0,0.006000420029402,0.0068883540305911,33331
D_CONT_150x2,R34,3.0,0.006000420029402,0.0068883540305911,33331
A_BLOCK_300,R34,3.5,0.0014599999999999,0.0018351452462589,50000
B_CONT_50x6,R34,3.5,0.0014599999999999,0.0018351452462589,50000
C_CONT_100x3,R34,3.5,0.0014599999999999,0.0018351452462589,50000
D_CONT_150x2,R34,3.5,0.0014599999999999,0.0018351452462589,50000
A_BLOCK_300,R34,4.0,0.00018,0.0003420913495352,50000
B_CONT_50x6,R34,4.0,0.00018,0.0003420913495352,50000
C_CONT_100x3,R34,4.0,0.00018,0.0003420913495352,50000
D_CONT_150x2,R34,4.0,0.00018,0.0003420913495352,50000
A_BLOCK_300,R34,4.5,4e-05,0.0001458476169816,50000
B_CONT_50x6,R34,4.5,4e-05,0.0001458476169816,50000
C_CONT_100x3,R34,4.5,4e-05,0.0001458476169816,50000
D_CONT_150x2,R34,4.5,4e-05,0.0001458476169816,50000
A_BLOCK_300,R34,5.0,0.0,7.682327414500052e-05,50000
B_CONT_50x6,R34,5.0,0.0,7.682327414500052e-05,50000
C_CONT_100x3,R34,5.0,0.0,7.682327414500052e-05,50000
D_CONT_150x2,R34,5.0,0.0,7.682327414500052e-05,50000
A_BLOCK_300,R34,5.5,0.0,7.682327414500052e-05,50000
B_CONT_50x6,R34,5.5,0.0,7.682327414500052e-05,50000
C_CONT_100x3,R34,5.5,0.0,7.682327414500052e-05,50000
D_CONT_150x2,R34,5.5,0.0,7.682327414500052e-05,50000
A_BLOCK_300,R34,6.0,0.0,7.682327414500052e-05,50000
B_CONT_50x6,R34,6.0,0.0,7.682327414500052e-05,50000
C_CONT_100x3,R34,6.0,0.0,7.682327414500052e-05,50000
D_CONT_150x2,R34,6.0,0.0,7.682327414500052e-05,50000
A_BLOCK_300,R34,6.5,0.0,7.682327414500052e-05,50000
B_CONT_50x6,R34,6.5,0.0,7.682327414500052e-05,50000
C_CONT_100x3,R34,6.5,0.0,7.682327414500052e-05,50000
D_CONT_150x2,R34,6.5,0.0,7.682327414500052e-05,50000
A_BLOCK_300,R34,7.0,0.0,7.682327414500052e-05,50000
B_CONT_50x6,R34,7.0,0.0,7.682327414500052e-05,50000
C_CONT_100x3,R34,7.0,0.0,7.682327414500052e-05,50000
D_CONT_150x2,R34,7.0,0.0,7.682327414500052e-05,50000
A_BLOCK_300,R34,7.5,0.0,7.682327414500052e-05,50000
B_CONT_50x6,R34,7.5,0.0,7.682327414500052e-05,50000
C_CONT_100x3,R34,7.5,0.0,7.682327414500052e-05,50000
D_CONT_150x2,R34,7.5,0.0,7.682327414500052e-05,50000
A_BLOCK_300,R34,8.0,0.0,7.682327414500052e-05,50000
B_CONT_50x6,R34,8.0,0.0,7.682327414500052e-05,50000
C_CONT_100x3,R34,8.0,0.0,7.682327414500052e-05,50000
D_CONT_150x2,R34,8.0,0.0,7.682327414500052e-05,50000
A_BLOCK_300,R34,8.5,0.0,7.682327414500052e-05,50000
B_CONT_50x6,R34,8.5,0.0,7.682327414500052e-05,50000
C_CONT_100x3,R34,8.5,0.0,7.682327414500052e-05,50000
D_CONT_150x2,R34,8.5,0.0,7.682327414500052e-05,50000
A_BLOCK_300,R34,9.0,0.0,7.682327414500052e-05,50000
B_CONT_50x6,R34,9.0,0.0,7.682327414500052e-05,50000
C_CONT_100x3,R34,9.0,0.0,7.682327414500052e-05,50000
D_CONT_150x2,R34,9.0,0.0,7.682327414500052e-05,50000
A_BLOCK_300,R34,9.5,0.0,7.682327414500052e-05,50000
B_CONT_50x6,R34,9.5,0.0,7.682327414500052e-05,50000
C_CONT_100x3,R34,9.5,0.0,7.682327414500052e-05,50000
D_CONT_150x2,R34,9.5,0.0,7.682327414500052e-05,50000
A_BLOCK_300,R34,10.0,0.0,7.682327414500052e-05,50000
B_CONT_50x6,R34,10.0,0.0,7.682327414500052e-05,50000
C_CONT_100x3,R34,10.0,0.0,7.682327414500052e-05,50000
D_CONT_150x2,R34,10.0,0.0,7.682327414500052e-05,50000
