organization,rateCase,snrDb,normalizedGoodput,FER
A_BLOCK_300,R23,-5.0,0.0,1.0
B_CONT_50x6,R23,-5.0,0.0,1.0
C_CONT_100x3,R23,-5.0,0.0,1.0
D_CONT_150x2,R23,-5.0,0.0,1.0
A_BLOCK_300,R23,-4.5,0.0,1.0
B_CONT_50x6,R23,-4.5,0.0,1.0
C_CONT_100x3,R23,-4.5,0.0,1.0
D_CONT_150x2,R23,-4.5,0.0,1.0
A_BLOCK_300,R23,-4.0,0.0,1.0
B_CONT_50x6,R23,-4.0,0.0,1.0
C_CONT_100x3,R23,-4.0,0.0,1.0
D_CONT_150x2,R23,-4.0,0.0,1.0
A_BLOCK_300,R23,-3.5,0.0,1.0
B_CONT_50x6,R23,-3.5,0.0,1.0
C_CONT_100x3,R23,-3.5,0.0,1.0
D_CONT_150x2,R23,-3.5,0.0,1.0
A_BLOCK_300,R23,-3.0,0.0,1.0
B_CONT_50x6,R23,-3.0,0.0,1.0
C_CONT_100x3,R23,-3.0,0.0,1.0
D_CONT_150x2,R23,-3.0,0.0,1.0
A_BLOCK_300,R23,-2.5,0.0,1.0
B_CONT_50x6,R23,-2.5,0.0,1.0
C_CONT_100x3,R23,-2.5,0.0,1.0
D_CONT_150x2,R23,-2.5,0.0,1.0
A_BLOCK_300,R23,-2.0,0.0,1.0
B_CONT_50x6,R23,-2.0,0.0,1.0
C_CONT_100x3,R23,-2.0,0.0,1.0
D_CONT_150x2,R23,-2.0,0.0,1.0
A_BLOCK_300,R23,-1.5,0.0045751633986928,0.993
B_CONT_50x6,R23,-1.5,0.0039215686274509,0.994
C_CONT_100x3,R23,-1.5,0.0039215686274509,0.994
D_CONT_150x2,R23,-1.5,0.0039215686274509,0.994
A_BLOCK_300,R23,-1.0,0.041830065359477,0.936
B_CONT_50x6,R23,-1.0,0.0392156862745098,0.94
C_CONT_100x3,R23,-1.0,0.0392156862745098,0.94
D_CONT_150x2,R23,-1.0,0.0392156862745098,0.94
A_BLOCK_300,R23,-0.5,0.1633986928104575,0.75
B_CONT_50x6,R23,-0.5,0.1555555555555555,0.762
C_CONT_100x3,R23,-0.5,0.1555555555555555,0.762
D_CONT_150x2,R23,-0.5,0.1555555555555555,0.762
A_BLOCK_300,R23,0.0,0.3424836601307189,0.4759999999999999
B_CONT_50x6,R23,0.0,0.3405228758169934,0.4789999999999999
C_CONT_100x3,R23,0.0,0.3405228758169934,0.4789999999999999
D_CONT_150x2,R23,0.0,0.3405228758169934,0.4789999999999999
A_BLOCK_300,R23,0.5,0.5039215686274509,0.229
B_CONT_50x6,R23,0.5,0.5032679738562091,0.23
C_CONT_100x3,R23,0.5,0.5032679738562091,0.23
D_CONT_150x2,R23,0.5,0.5032679738562091,0.23
A_BLOCK_300,R23,1.0,0.5959585480282648,0.0881834215167548
B_CONT_50x6,R23,1.0,0.5953821857961292,0.0890652557319223
C_CONT_100x3,R23,1.0,0.5953821857961292,0.0890652557319223
D_CONT_150x2,R23,1.0,0.5953821857961292,0.0890652557319223
A_BLOCK_300,R23,1.5,0.6352379457610877,0.0280859429855357
B_CONT_50x6,R23,1.5,0.6352379457610877,0.0280859429855357
C_CONT_100x3,R23,1.5,0.6352379457610877,0.0280859429855357
D_CONT_150x2,R23,1.5,0.6352379457610877,0.0280859429855357
A_BLOCK_300,R23,2.0,0.6492132282288796,0.0067037608098143
B_CONT_50x6,R23,2.0,0.6492132282288796,0.0067037608098143
C_CONT_100x3,R23,2.0,0.6492132282288796,0.0067037608098143
D_CONT_150x2,R23,2.0,0.6492132282288796,0.0067037608098143
A_BLOCK_300,R23,2.5,0.6525620915032679,0.00158
B_CONT_50x6,R23,2.5,0.6525620915032679,0.00158
C_CONT_100x3,R23,2.5,0.6525620915032679,0.00158
D_CONT_150x2,R23,2.5,0.6525620915032679,0.00158
A_BLOCK_300,R23,3.0,0.653437908496732,0.00024
B_CONT_50x6,R23,3.0,0.653437908496732,0.00024
C_CONT_100x3,R23,3.0,0.653437908496732,0.00024
D_CONT_150x2,R23,3.0,0.653437908496732,0.00024
A_BLOCK_300,R23,3.5,0.6535686274509803,4e-05
B_CONT_50x6,R23,3.5,0.6535686274509803,4e-05
C_CONT_100x3,R23,3.5,0.6535686274509803,4e-05
D_CONT_150x2,R23,3.5,0.6535686274509803,4e-05
A_BLOCK_300,R23,4.0,0.65359477124183,0.0
B_CONT_50x6,R23,4.0,0.65359477124183,0.0
C_CONT_100x3,R23,4.0,0.65359477124183,0.0
D_CONT_150x2,R23,4.0,0.65359477124183,0.0
A_BLOCK_300,R23,4.5,0.65359477124183,0.0
B_CONT_50x6,R23,4.5,0.65359477124183,0.0
C_CONT_100x3,R23,4.5,0.65359477124183,0.0
D_CONT_150x2,R23,4.5,0.65359477124183,0.0
A_BLOCK_300,R23,5.0,0.65359477124183,0.0
B_CONT_50x6,R23,5.0,0.65359477124183,0.0
C_CONT_100x3,R23,5.0,0.65359477124183,0.0
D_CONT_150x2,R23,5.0,0.65359477124183,0.0
A_BLOCK_300,R23,5.5,0.65359477124183,0.0
B_CONT_50x6,R23,5.5,0.65359477124183,0.0
C_CONT_100x3,R23,5.5,0.65359477124183,0.0
D_CONT_150x2,R23,5.5,0.65359477124183,0.0
A_BLOCK_300,R23,6.0,0.65359477124183,0.0
B_CONT_50x6,R23,6.0,0.65359477124183,0.0
C_CONT_100x3,R23,6.0,0.65359477124183,0.0
D_CONT_150x2,R23,6.0,0.65359477124183,0.0
A_BLOCK_300,R23,6.5,0.65359477124183,0.0
B_CONT_50x6,R23,6.5,0.65359477124183,0.0
C_CONT_100x3,R23,6.5,0.65359477124183,0.0
D_CONT_150x2,R23,6.5,0.65359477124183,0.0
A_BLOCK_300,R23,7.0,0.65359477124183,0.0
B_CONT_50x6,R23,7.0,0.65359477124183,0.0
C_CONT_100x3,R23,7.0,0.65359477124183,0.0
D_CONT_150x2,R23,7.0,0.65359477124183,0.0
A_BLOCK_300,R23,7.5,0.65359477124183,0.0
B_CONT_50x6,R23,7.5,0.65359477124183,0.0
C_CONT_100x3,R23,7.5,0.65359477124183,0.0
D_CONT_150x2,R23,7.5,0.65359477124183,0.0
A_BLOCK_300,R23,8.0,0.65359477124183,0.0
B_CONT_50x6,R23,8.0,0.65359477124183,0.0
C_CONT_100x3,R23,8.0,0.65359477124183,0.0
D_CONT_150x2,R23,8.0,0.65359477124183,0.0
A_BLOCK_300,R23,8.5,0.65359477124183,0.0
B_CONT_50x6,R23,8.5,0.65359477124183,0.0
C_CONT_100x3,R23,8.5,0.65359477124183,0.0
D_CONT_150x2,R23,8.5,0.65359477124183,0.0
A_BLOCK_300,R23,9.0,0.65359477124183,0.0
B_CONT_50x6,R23,9.0,0.65359477124183,0.0
C_CONT_100x3,R23,9.0,0.65359477124183,0.0
D_CONT_150x2,R23,9.0,0.65359477124183,0.0
A_BLOCK_300,R23,9.5,0.65359477124183,0.0
B_CONT_50x6,R23,9.5,0.65359477124183,0.0
C_CONT_100x3,R23,9.5,0.65359477124183,0.0
D_CONT_150x2,R23,9.5,0.65359477124183,0.0
A_BLOCK_300,R23,10.0,0.65359477124183,0.0
B_CONT_50x6,R23,10.0,0.65359477124183,0.0
C_CONT_100x3,R23,10.0,0.65359477124183,0.0
D_CONT_150x2,R23,10.0,0.65359477124183,0.0
