organization,rateCase,snrDb,BER,berCiHigh,frames
A_BLOCK_300,R12,-5.0,0.3901733333333333,0.3919202274470488,1000
B_CONT_50x6,R12,-5.0,0.3913266666666666,0.3930744700896531,1000
C_CONT_100x3,R12,-5.0,0.3913266666666666,0.3930744700896531,1000
D_CONT_150x2,R12,-5.0,0.3913266666666666,0.3930744700896531,1000
A_BLOCK_300,R12,-4.5,0.34693,0.3486352389125436,1000
B_CONT_50x6,R12,-4.5,0.34686,0.3485651592384344,1000
C_CONT_100x3,R12,-4.5,0.34686,0.3485651592384344,1000
D_CONT_150x2,R12,-4.5,0.34686,0.3485651592384344,1000
A_BLOCK_300,R12,-4.0,0.2886,0.2902241077103788,1000
B_CONT_50x6,R12,-4.0,0.2883133333333333,0.2899369657379931,1000
C_CONT_100x3,R12,-4.0,0.2883133333333333,0.2899369657379931,1000
D_CONT_150x2,R12,-4.0,0.2883133333333333,0.2899369657379931,1000
A_BLOCK_300,R12,-3.5,0.21504,0.2165138251007594,1000
B_CONT_50x6,R12,-3.5,0.2154466666666666,0.2169214947863867,1000
C_CONT_100x3,R12,-3.5,0.2154466666666666,0.2169214947863867,1000
D_CONT_150x2,R12,-3.5,0.2154466666666666,0.2169214947863867,1000
A_BLOCK_300,R12,-3.0,0.1383366666666666,0.1395767477142329,1000
B_CONT_50x6,R12,-3.0,0.1393133333333333,0.1405570524518077,1000
C_CONT_100x3,R12,-3.0,0.1393133333333333,0.1405570524518077,1000
D_CONT_150x2,R12,-3.0,0.1393133333333333,0.1405570524518077,1000
A_BLOCK_300,R12,-2.5,0.0780499999999999,0.0790153155610881,1000
B_CONT_50x6,R12,-2.5,0.0781466666666666,0.0791125248624343,1000
C_CONT_100x3,R12,-2.5,0.0781466666666666,0.0791125248624343,1000
D_CONT_150x2,R12,-2.5,0.0781466666666666,0.0791125248624343,1000
A_BLOCK_300,R12,-2.0,0.0357499999999999,0.0364203526742711,1000
