organization,rateCase,snrDb,normalizedGoodput,FER
A_BLOCK_300,R12,-5.0,0.0,1.0
B_CONT_50x6,R12,-5.0,0.0,1.0
C_CONT_100x3,R12,-5.0,0.0,1.0
D_CONT_150x2,R12,-5.0,0.0,1.0
A_BLOCK_300,R12,-4.5,0.0,1.0
B_CONT_50x6,R12,-4.5,0.0,1.0
C_CONT_100x3,R12,-4.5,0.0,1.0
D_CONT_150x2,R12,-4.5,0.0,1.0
A_BLOCK_300,R12,-4.0,0.0,1.0
B_CONT_50x6,R12,-4.0,0.0,1.0
C_CONT_100x3,R12,-4.0,0.0,1.0
D_CONT_150x2,R12,-4.0,0.0,1.0
A_BLOCK_300,R12,-3.5,0.0014705882352941,0.997
B_CONT_50x6,R12,-3.5,0.0014705882352941,0.997
C_CONT_100x3,R12,-3.5,0.0014705882352941,0.997
D_CONT_150x2,R12,-3.5,0.0014705882352941,0.997
A_BLOCK_300,R12,-3.0,0.0142156862745098,0.971
B_CONT_50x6,R12,-3.0,0.013235294117647,0.973
C_CONT_100x3,R12,-3.0,0.013235294117647,0.973
D_CONT_150x2,R12,-3.0,0.013235294117647,0.973
A_BLOCK_300,R12,-2.5,0.0661764705882352,0.8649999999999999
B_CONT_50x6,R12,-2.5,0.063235294117647,0.871
C_CONT_100x3,R12,-2.5,0.063235294117647,0.871
D_CONT_150x2,R12,-2.5,0.063235294117647,0.871
A_BLOCK_300,R12,-2.0,0.1799019607843137,0.633
B_CONT_50x6,R12,-2.0,0.1784313725490195,0.636
C_CONT_100x3,R12,-2.0,0.1784313725490195,0.636
D_CONT_150x2,R12,-2.0,0.1784313725490195,0.636
A_BLOCK_300,R12,-1.5,0.2985294117647058,0.391
B_CONT_50x6,R12,-1.5,0.2980392156862745,0.392
C_CONT_100x3,R12,-1.5,0.2980392156862745,0.392
D_CONT_150x2,R12,-1.5,0.2980392156862745,0.392
A_BLOCK_300,R12,-1.0,0.400416576887165,0.1831501831501831
B_CONT_50x6,R12,-1.0,0.400416576887165,0.1831501831501831
C_CONT_100x3,R12,-1.0,0.400416576887165,0.1831501831501831
D_CONT_150x2,R12,-1.0,0.400416576887165,0.1831501831501831
A_BLOCK_300,R12,-0.5,0.4610870476456616,0.0593824228028503
B_CONT_50x6,R12,-0.5,0.4610870476456616,0.0593824228028503
C_CONT_100x3,R12,-0.5,0.4610870476456616,0.0593824228028503
D_CONT_150x2,R12,-0.5,0.4610870476456616,0.0593824228028503
A_BLOCK_300,R12,0.0,0.4815719391204758,0.0175932441942294
B_CONT_50x6,R12,0.0,0.4815719391204758,0.0175932441942294
C_CONT_100x3,R12,0.0,0.4815719391204758,0.0175932441942294
D_CONT_150x2,R12,0.0,0.4815719391204758,0.0175932441942294
A_BLOCK_300,R12,0.5,0.4876861138720721,0.0051203277009728
B_CONT_50x6,R12,0.5,0.4876861138720721,0.0051203277009728
C_CONT_100x3,R12,0.5,0.4876861138720721,0.0051203277009728
D_CONT_150x2,R12,0.5,0.4876861138720721,0.0051203277009728
A_BLOCK_300,R12,1.0,0.4895980392156862,0.0012199999999999
B_CONT_50x6,R12,1.0,0.4895980392156862,0.0012199999999999
C_CONT_100x3,R12,1.0,0.4895980392156862,0.0012199999999999
D_CONT_150x2,R12,1.0,0.4895980392156862,0.0012199999999999
A_BLOCK_300,R12,1.5,0.4900784313725489,0.00024
B_CONT_50x6,R12,1.5,0.4900784313725489,0.00024
C_CONT_100x3,R12,1.5,0.4900784313725489,0.00024
D_CONT_150x2,R12,1.5,0.4900784313725489,0.00024
A_BLOCK_300,R12,2.0,0.4901862745098039,2e-05
B_CONT_50x6,R12,2.0,0.4901862745098039,2e-05
