organization,rateCase,snrDb,esN0Db,ebN0Db,actualRate,sigmaSquared,slotBits,slotCount,frames,bitErrors,frameErrors,BER,FER,berCiLow,berCiHigh,ferCiLow,ferCiHigh,boundaryBER,nonBoundaryBER,boundaryToNonBoundaryRatio,firstOutputDelaySymbols,avgDecisionDelaySymbols,medianDecisionDelaySymbols,p95DecisionDelaySymbols,maxDecisionDelaySymbols,fullFrameLastDecisionSymbol,steadyOutputIntervalMean,steadyOutputIntervalP95,outputBatchCount,slotTriggerCount,windowTriggerCount,peakRxBufferSymbols,avgRxBufferSymbols,avgDecodeTimeUs,medianDecodeTimeUs,p95DecodeTimeUs,maxDecodeTimeUs,timingBatchCount,normalizedGoodput,transmittedBits,totalMemoryBytes,ACSCount,tracebackOperations,schemeExecutionDigest,payloadSeed,noiseSeed,frameIndex,caseId,sourceNoiseId,boundaryStatus,gridLayer,stopReason
A_BLOCK_300,R34,-0.5,-0.5,0.83538908370217468,0.73529411764705888,0.56100922715098167,300,1,1000,73091,987,0.24363666666666667,0.98699999999999999,0.24210383961733536,0.2451760590265176,0.97788555762442031,0.99238717961064893,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,406,207,206,386,406,407,0,0,1,1,0,408,408,515.1404,454.30000000000001,908.10000000000002,2125.6999999999998,5,0.0095588235294117741,408,59776,39168000,306000,2846044591137097339,2026072001,2026072904,0-999,CC-O-R34-A_BLOCK_300,STAGE14-3400,NOT_APPLICABLE,coarse,TARGET_ERRORS_REACHED
B_CONT_50x6,R34,-0.5,-0.5,0.83538908370217468,0.73529411764705888,0.56100922715098167,50,6,1000,72599,987,0.24199666666666667,0.98699999999999999,0.24046738048280428,0.24353256016046068,0.97788555762442031,0.99238717961064893,0.26519999999999999,0.23039499999999999,1.1510666464115975,265,171.16666666666666,202,262,273,407,70.5,74,7,3,7,275,201.33333333333545,1730.6101999999985,1576.7,2589.1999999999998,11207.1,5,0.0095588235294117741,408,32256,142206000,1062000,13138063821212133099,2026072001,2026072904,0-999,CC-O-R34-B_CONT_50x6,STAGE14-3400,APPLICABLE,coarse,TARGET_ERRORS_REACHED
C_CONT_100x3,R34,-0.5,-0.5,0.83538908370217468,0.73529411764705888,0.56100922715098167,100,3,1000,72599,987,0.24199666666666667,0.98699999999999999,0.24046738048280428,0.24353256016046068,0.97788555762442031,0.99238717961064893,0.27515000000000001,0.23689615384615384,1.1614793888915949,265,183.5,203,320,340,407,141,141,7,2,7,342,247.11111111111646,1682.6800000000019,1553.9000000000001,2475.1999999999998,5909.8999999999996,5,0.0095588235294117741,408,32256,142206000,1062000,8817396878186514003,2026072001,2026072904,0-999,CC-O-R34-C_CONT_100x3,STAGE14-3400,APPLICABLE,coarse,TARGET_ERRORS_REACHED
D_CONT_150x2,R34,-0.5,-0.5,0.83538908370217468,0.73529411764705888,0.56100922715098167,150,2,1000,72599,987,0.24199666666666667,0.98699999999999999,0.24046738048280428,0.24353256016046068,0.97788555762442031,0.99238717961064893,0.27345000000000003,0.23974999999999999,1.1405630865484881,406,207,206,386,406,407,0,0,7,1,7,408,304,1690.0246000000011,1550,2505.8000000000002,6602.1000000000004,5,0.0095588235294117741,408,32256,142206000,1062000,11740826423017687871,2026072001,2026072904,0-999,CC-O-R34-D_CONT_150x2,STAGE14-3400,APPLICABLE,coarse,TARGET_ERRORS_REACHED
