organization,rateCase,snrDb,esN0Db,ebN0Db,actualRate,sigmaSquared,slotBits,slotCount,frames,bitErrors,frameErrors,BER,FER,berCiLow,berCiHigh,ferCiLow,ferCiHigh,boundaryBER,nonBoundaryBER,boundaryToNonBoundaryRatio,firstOutputDelaySymbols,avgDecisionDelaySymbols,medianDecisionDelaySymbols,p95DecisionDelaySymbols,maxDecisionDelaySymbols,fullFrameLastDecisionSymbol,steadyOutputIntervalMean,steadyOutputIntervalP95,outputBatchCount,slotTriggerCount,windowTriggerCount,peakRxBufferSymbols,avgRxBufferSymbols,avgDecodeTimeUs,medianDecodeTimeUs,p95DecodeTimeUs,maxDecodeTimeUs,timingBatchCount,normalizedGoodput,transmittedBits,totalMemoryBytes,ACSCount,tracebackOperations,schemeExecutionDigest,payloadSeed,noiseSeed,frameIndex,caseId,sourceNoiseId,boundaryStatus,gridLayer,stopReason
A_BLOCK_300,R34,-2.5,-2.5,-1.1646109162978253,0.73529411764705888,0.88913970501946138,300,1,1000,132028,1000,0.44009333333333334,1,0.43831780605625226,0.44187039478405676,0.99617324151444497,1,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,406,207,206,386,406,407,0,0,1,1,0,408,408,497.29999999999967,442.30000000000001,847.5,3442.8000000000002,5,0,408,59776,39168000,306000,2846044591137097339,2026072001,2026072904,0-999,CC-O-R34-A_BLOCK_300,STAGE14-3400,NOT_APPLICABLE,coarse,TARGET_ERRORS_REACHED
B_CONT_50x6,R34,-2.5,-2.5,-1.1646109162978253,0.73529411764705888,0.88913970501946138,50,6,1000,132216,1000,0.44072,1,0.43894419551402614,0.4424973226110604,0.99617324151444497,1,0.46367999999999998,0.42924000000000001,1.0802348336594911,265,171.16666666666666,202,262,273,407,70.5,74,7,3,7,275,201.33333333333545,1629.8585000000005,1512,2360.6999999999998,7199.1999999999998,5,0,408,32256,142206000,1062000,13138063821212133099,2026072001,2026072904,0-999,CC-O-R34-B_CONT_50x6,STAGE14-3400,APPLICABLE,coarse,TARGET_ERRORS_REACHED
C_CONT_100x3,R34,-2.5,-2.5,-1.1646109162978253,0.73529411764705888,0.88913970501946138,100,3,1000,132216,1000,0.44072,1,0.43894419551402614,0.4424973226110604,0.99617324151444497,1,0.46865000000000001,0.43642307692307691,1.0738433066008637,265,183.5,203,320,340,407,141,141,7,2,7,342,247.11111111111646,1613.6817999999989,1483.4000000000001,2456.5999999999999,7299.3000000000002,5,0,408,32256,142206000,1062000,8817396878186514003,2026072001,2026072904,0-999,CC-O-R34-C_CONT_100x3,STAGE14-3400,APPLICABLE,coarse,TARGET_ERRORS_REACHED
D_CONT_150x2,R34,-2.5,-2.5,-1.1646109162978253,0.73529411764705888,0.88913970501946138,150,2,1000,132216,1000,0.44072,1,0.43894419551402614,0.4424973226110604,0.99617324151444497,1,0.46555000000000002,0.43894642857142857,1.0606077865017698,406,207,206,386,406,407,0,0,7,1,7,408,304,1612.214300000001,1491.2,2347.3000000000002,7710.8000000000002,5,0,408,32256,142206000,1062000,11740826423017687871,2026072001,2026072904,0-999,CC-O-R34-D_CONT_150x2,STAGE14-3400,APPLICABLE,coarse,TARGET_ERRORS_REACHED
