organization,rateCase,snrDb,esN0Db,ebN0Db,actualRate,sigmaSquared,slotBits,slotCount,frames,bitErrors,frameErrors,BER,FER,berCiLow,berCiHigh,ferCiLow,ferCiHigh,boundaryBER,nonBoundaryBER,boundaryToNonBoundaryRatio,firstOutputDelaySymbols,avgDecisionDelaySymbols,medianDecisionDelaySymbols,p95DecisionDelaySymbols,maxDecisionDelaySymbols,fullFrameLastDecisionSymbol,steadyOutputIntervalMean,steadyOutputIntervalP95,outputBatchCount,slotTriggerCount,windowTriggerCount,peakRxBufferSymbols,avgRxBufferSymbols,avgDecodeTimeUs,medianDecodeTimeUs,p95DecodeTimeUs,maxDecodeTimeUs,timingBatchCount,normalizedGoodput,transmittedBits,totalMemoryBytes,ACSCount,tracebackOperations,schemeExecutionDigest,payloadSeed,noiseSeed,frameIndex,caseId,sourceNoiseId,boundaryStatus,gridLayer,stopReason
A_BLOCK_300,R12,-3.5,-3.5,-0.40369832574101228,0.49019607843137253,1.1193605692841697,300,1,1000,64512,997,0.21504000000000001,0.997,0.21357347255316536,0.21651382510075948,0.99121698594649688,0.99897921611886142,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,610,311,310,580,610,611,0,0,1,1,0,612,612,442.69540000000018,435.19999999999999,630.10000000000002,2389.3000000000002,5,0.0014705882352941189,612,59776,39168000,306000,9450510713562636091,2026072001,2026072904,0-999,CC-O-R12-A_BLOCK_300,STAGE14-1200,NOT_APPLICABLE,coarse,TARGET_ERRORS_REACHED
B_CONT_50x6,R12,-3.5,-3.5,-0.40369832574101228,0.49019607843137253,1.1193605692841697,50,6,1000,64634,997,0.21544666666666668,0.997,0.21397912578638306,0.21692149478638678,0.99121698594649688,0.99897921611886142,0.23008999999999999,0.208125,1.1055375375375374,298,231,264,342,360,611,104,112,9,4,9,362,277,1558.7870000000003,1558.8,2077.6999999999998,7486.5,5,0.0014705882352941189,612,26112,143998000,866000,5485007781413027035,2026072001,2026072904,0-999,CC-O-R12-B_CONT_50x6,STAGE14-1200,APPLICABLE,coarse,TARGET_ERRORS_REACHED
C_CONT_100x3,R12,-3.5,-3.5,-0.40369832574101228,0.49019607843137253,1.1193605692841697,100,3,1000,64634,997,0.21544666666666668,0.997,0.21397912578638306,0.21692149478638678,0.99121698594649688,0.99897921611886142,0.23502500000000001,0.21243461538461539,1.1063404124345952,398,258,280,430,460,611,212,212,9,2,9,462,354,1535.5173000000004,1521.4000000000001,2089.5999999999999,19470.599999999999,5,0.0014705882352941189,612,26112,143998000,866000,4706013249362863171,2026072001,2026072904,0-999,CC-O-R12-C_CONT_100x3,STAGE14-1200,APPLICABLE,coarse,TARGET_ERRORS_REACHED
D_CONT_150x2,R12,-3.5,-3.5,-0.40369832574101228,0.49019607843137253,1.1193605692841697,150,2,1000,64634,997,0.21544666666666668,0.997,0.21397912578638306,0.21692149478638678,0.99121698594649688,0.99897921611886142,0.22819999999999999,0.21453571428571427,1.0636923589145997,298,285,280,530,560,611,312,312,9,2,9,562,431,1525.3970999999992,1534.8,2073.3000000000002,4174.1999999999998,5,0.0014705882352941189,612,26112,143998000,866000,152492224671326351,2026072001,2026072904,0-999,CC-O-R12-D_CONT_150x2,STAGE14-1200,APPLICABLE,coarse,TARGET_ERRORS_REACHED
