organization,rateCase,snrDb,relativeOffset,bitErrors,bits,BER,berCiLow,berCiHigh,gridLayer
B_CONT_50x6,R23,2.5,-10,6,250000,2.4e-05,1.09995e-05,5.23654e-05,coarse
B_CONT_50x6,R23,2.5,-9,12,250000,4.8e-05,2.74592e-05,8.39049e-05,coarse
B_CONT_50x6,R23,2.5,-8,11,250000,4.4e-05,2.45699e-05,7.87943e-05,coarse
B_CONT_50x6,R23,2.5,-7,8,250000,3.2e-05,1.62153e-05,6.31493e-05,coarse
B_CONT_50x6,R23,2.5,-6,7,250000,2.8e-05,1.35635e-05,5.78012e-05,coarse
B_CONT_50x6,R23,2.5,-5,9,250000,3.6e-05,1.89404e-05,6.84241e-05,coarse
B_CONT_50x6,R23,2.5,-4,9,250000,3.6e-05,1.89404e-05,6.84241e-05,coarse
B_CONT_50x6,R23,2.5,-3,7,250000,2.8e-05,1.35635e-05,5.78012e-05,coarse
B_CONT_50x6,R23,2.5,-2,5,250000,2e-05,8.54283e-06,4.68222e-05,coarse
B_CONT_50x6,R23,2.5,-1,9,250000,3.6e-05,1.89404e-05,6.84241e-05,coarse
B_CONT_50x6,R23,2.5,0,9,250000,3.6e-05,1.89404e-05,6.84241e-05,coarse
B_CONT_50x6,R23,2.5,1,9,250000,3.6e-05,1.89404e-05,6.84241e-05,coarse
B_CONT_50x6,R23,2.5,2,9,250000,3.6e-05,1.89404e-05,6.84241e-05,coarse
B_CONT_50x6,R23,2.5,3,7,250000,2.8e-05,1.35635e-05,5.78012e-05,coarse
B_CONT_50x6,R23,2.5,4,5,250000,2e-05,8.54283e-06,4.68222e-05,coarse
B_CONT_50x6,R23,2.5,5,6,250000,2.4e-05,1.09995e-05,5.23654e-05,coarse
B_CONT_50x6,R23,2.5,6,9,250000,3.6e-05,1.89404e-05,6.84241e-05,coarse
B_CONT_50x6,R23,2.5,7,6,250000,2.4e-05,1.09995e-05,5.23654e-05,coarse
B_CONT_50x6,R23,2.5,8,7,250000,2.8e-05,1.35635e-05,5.78012e-05,coarse
B_CONT_50x6,R23,2.5,9,5,250000,2e-05,8.54283e-06,4.68222e-05,coarse
C_CONT_100x3,R23,2.5,-10,1,100000,1e-05,1.76525e-06,5.66471e-05,coarse
C_CONT_100x3,R23,2.5,-9,4,100000,4e-05,1.55553e-05,0.000102855,coarse
C_CONT_100x3,R23,2.5,-8,5,100000,5e-05,2.13572e-05,0.000117052,coarse
C_CONT_100x3,R23,2.5,-7,2,100000,2e-05,5.48474e-06,7.29268e-05,coarse
C_CONT_100x3,R23,2.5,-6,2,100000,2e-05,5.48474e-06,7.29268e-05,coarse
C_CONT_100x3,R23,2.5,-5,3,100000,3e-05,1.02028e-05,8.8208e-05,coarse
C_CONT_100x3,R23,2.5,-4,3,100000,3e-05,1.02028e-05,8.8208e-05,coarse
C_CONT_100x3,R23,2.5,-3,3,100000,3e-05,1.02028e-05,8.8208e-05,coarse
C_CONT_100x3,R23,2.5,-2,0,100000,0,0,3.84131e-05,coarse
