caseName,sourcePayloadEbN0Db,attenuationDb,completeBlockage,blockageLength,blockageStartPolicy,processedFrames,processedPayloadBits,decodedBitErrors,decodedFrameErrors,BER,FER,aggregation,seriesLabel,visualStyleKey,plotted,omissionReason
BCH-B200,4.5,-20,0,16,UNIFORM_RANDOM,5000,1000000,41391,4679,0.041391,0.9358,RAW_COUNTS,BCH-B200 / -20,BCH-B200|-20|#d62728|--|s,true,
BCH-B200,4.5,-20,0,20,UNIFORM_RANDOM,5000,1000000,49635,4880,0.049635,0.976,RAW_COUNTS,BCH-B200 / -20,BCH-B200|-20|#d62728|--|s,true,
BCH-B200,4.5,-20,0,24,UNIFORM_RANDOM,5000,1000000,57332,4944,0.057332,0.9888,RAW_COUNTS,BCH-B200 / -20,BCH-B200|-20|#d62728|--|s,true,
BCH-B200,4.5,-20,0,29,UNIFORM_RANDOM,5000,1000000,65988,4972,0.065988,0.9944,RAW_COUNTS,BCH-B200 / -20,BCH-B200|-20|#d62728|--|s,true,
BCH-B200,4.5,-20,0,30,UNIFORM_RANDOM,5000,1000000,66956,4971,0.066956,0.9942,RAW_COUNTS,BCH-B200 / -20,BCH-B200|-20|#d62728|--|s,true,
BCH-B200,4.5,-20,0,31,UNIFORM_RANDOM,5000,1000000,68794,4974,0.068794,0.9948,RAW_COUNTS,BCH-B200 / -20,BCH-B200|-20|#d62728|--|s,true,
BCH-B200,4.5,-20,0,32,UNIFORM_RANDOM,5000,1000000,71133,4974,0.071133,0.9948,RAW_COUNTS,BCH-B200 / -20,BCH-B200|-20|#d62728|--|s,true,
BCH-B200,4.5,-20,0,48,UNIFORM_RANDOM,5000,1000000,100806,4997,0.100806,0.9994,RAW_COUNTS,BCH-B200 / -20,BCH-B200|-20|#d62728|--|s,true,
BCH-B200,4.5,-20,0,64,UNIFORM_RANDOM,5000,1000000,131350,5000,0.13135,1.0,RAW_COUNTS,BCH-B200 / -20,BCH-B200|-20|#d62728|--|s,true,
BCH-B300,4.5999999999999996,-12,0,1,UNIFORM_RANDOM,5000,1500000,5085,544,0.00339,0.1088,RAW_COUNTS,BCH-B300 / -12,BCH-B300|-12|#9467bd|-|D,true,
BCH-B300,4.5999999999999996,-12,0,2,UNIFORM_RANDOM,5000,1500000,5989,634,0.003992666666666667,0.1268,RAW_COUNTS,BCH-B300 / -12,BCH-B300|-12|#9467bd|-|D,true,
BCH-B300,4.5999999999999996,-12,0,4,UNIFORM_RANDOM,5000,1500000,8662,917,0.005774666666666667,0.1834,RAW_COUNTS,BCH-B300 / -12,BCH-B300|-12|#9467bd|-|D,true,
BCH-B300,4.5999999999999996,-12,0,6,UNIFORM_RANDOM,5000,1500000,11555,1203,0.007703333333333334,0.2406,RAW_COUNTS,BCH-B300 / -12,BCH-B300|-12|#9467bd|-|D,true,
BCH-B300,4.5999999999999996,-12,0,8,UNIFORM_RANDOM,5000,1500000,14879,1533,0.009919333333333334,0.3066,RAW_COUNTS,BCH-B300 / -12,BCH-B300|-12|#9467bd|-|D,true,
BCH-B300,4.5999999999999996,-12,0,10,UNIFORM_RANDOM,5000,1500000,18495,1883,0.01233,0.3766,RAW_COUNTS,BCH-B300 / -12,BCH-B300|-12|#9467bd|-|D,true,
BCH-B300,4.5999999999999996,-12,0,12,UNIFORM_RANDOM,5000,1500000,22762,2263,0.015174666666666666,0.4526,RAW_COUNTS,BCH-B300 / -12,BCH-B300|-12|#9467bd|-|D,true,
BCH-B300,4.5999999999999996,-12,0,14,UNIFORM_RANDOM,5000,1500000,26349,2587,0.017566,0.5174,RAW_COUNTS,BCH-B300 / -12,BCH-B300|-12|#9467bd|-|D,true,
BCH-B300,4.5999999999999996,-12,0,15,UNIFORM_RANDOM,5000,1500000,28678,2793,0.019118666666666666,0.5586,RAW_COUNTS,BCH-B300 / -12,BCH-B300|-12|#9467bd|-|D,true,
BCH-B300,4.5999999999999996,-12,0,16,UNIFORM_RANDOM,5000,1500000,30362,2945,0.020241333333333333,0.589,RAW_COUNTS,BCH-B300 / -12,BCH-B300|-12|#9467bd|-|D,true,
BCH-B300,4.5999999999999996,-12,0,20,UNIFORM_RANDOM,5000,1500000,38887,3589,0.025924666666666665,0.7178,RAW_COUNTS,BCH-B300 / -12,BCH-B300|-12|#9467bd|-|D,true,
BCH-B300,4.5999999999999996,-12,0,24,UNIFORM_RANDOM,5000,1500000,46895,4114,0.03126333333333333,0.8228,RAW_COUNTS,BCH-B300 / -12,BCH-B300|-12|#9467bd|-|D,true,
BCH-B300,4.5999999999999996,-12,0,29,UNIFORM_RANDOM,5000,1500000,55422,4552,0.036948,0.9104,RAW_COUNTS,BCH-B300 / -12,BCH-B300|-12|#9467bd|-|D,true,
BCH-B300,4.5999999999999996,-12,0,30,UNIFORM_RANDOM,5000,1500000,57215,4597,0.038143333333333335,0.9194,RAW_COUNTS,BCH-B300 / -12,BCH-B300|-12|#9467bd|-|D,true,
BCH-B300,4.5999999999999996,-12,0,31,UNIFORM_RANDOM,5000,1500000,57869,4648,0.038579333333333334,0.9296,RAW_COUNTS,BCH-B300 / -12,BCH-B300|-12|#9467bd|-|D,true,
BCH-B300,4.5999999999999996,-12,0,32,UNIFORM_RANDOM,5000,1500000,59489,4701,0.03965933333333333,0.9402,RAW_COUNTS,BCH-B300 / -12,BCH-B300|-12|#9467bd|-|D,true,
BCH-B300,4.5999999999999996,-12,0,48,UNIFORM_RANDOM,5000,1500000,80625,4982,0.05375,0.9964,RAW_COUNTS,BCH-B300 / -12,BCH-B300|-12|#9467bd|-|D,true,
BCH-B300,4.5999999999999996,-12,0,64,UNIFORM_RANDOM,5000,1500000,99550,5000,0.06636666666666667,1.0,RAW_COUNTS,BCH-B300 / -12,BCH-B300|-12|#9467bd|-|D,true,
BCH-B300,4.5999999999999996,-20,0,1,UNIFORM_RANDOM,5000,1500000,5489,586,0.0036593333333333334,0.1172,RAW_COUNTS,BCH-B300 / -20,BCH-B300|-20|#9467bd|--|D,true,
BCH-B300,4.5999999999999996,-20,0,2,UNIFORM_RANDOM,5000,1500000,6878,729,0.004585333333333334,0.1458,RAW_COUNTS,BCH-B300 / -20,BCH-B300|-20|#9467bd|--|D,true,
BCH-B300,4.5999999999999996,-20,0,4,UNIFORM_RANDOM,5000,1500000,10973,1160,0.007315333333333333,0.232,RAW_COUNTS,BCH-B300 / -20,BCH-B300|-20|#9467bd|--|D,true,
