caseName,burstMode,sourcePayloadEbN0Db,burstLength,burstStartPolicy,processedFrames,processedPayloadBits,decodedBitErrors,decodedFrameErrors,BER,FER,aggregation,seriesLabel,visualStyleKey,plotted,omissionReason
BCH-B200,PURE,0,1,UNIFORM_RANDOM,5000,1000000,0,0,0.0,0.0,RAW_COUNTS,BCH-B200,BCH-B200|DEFAULT|#d62728|--|s,false,ZERO_OBSERVATION_ON_LOG_AXIS
BCH-B200,PURE,0,2,UNIFORM_RANDOM,5000,1000000,0,0,0.0,0.0,RAW_COUNTS,BCH-B200,BCH-B200|DEFAULT|#d62728|--|s,false,ZERO_OBSERVATION_ON_LOG_AXIS
BCH-B200,PURE,0,3,UNIFORM_RANDOM,5000,1000000,0,0,0.0,0.0,RAW_COUNTS,BCH-B200,BCH-B200|DEFAULT|#d62728|--|s,false,ZERO_OBSERVATION_ON_LOG_AXIS
BCH-B200,PURE,0,4,UNIFORM_RANDOM,5000,1000000,0,0,0.0,0.0,RAW_COUNTS,BCH-B200,BCH-B200|DEFAULT|#d62728|--|s,false,ZERO_OBSERVATION_ON_LOG_AXIS
BCH-B200,PURE,0,5,UNIFORM_RANDOM,5000,1000000,0,0,0.0,0.0,RAW_COUNTS,BCH-B200,BCH-B200|DEFAULT|#d62728|--|s,false,ZERO_OBSERVATION_ON_LOG_AXIS
BCH-B200,PURE,0,6,UNIFORM_RANDOM,5000,1000000,0,0,0.0,0.0,RAW_COUNTS,BCH-B200,BCH-B200|DEFAULT|#d62728|--|s,false,ZERO_OBSERVATION_ON_LOG_AXIS
BCH-B200,PURE,0,7,UNIFORM_RANDOM,5000,1000000,28697,4165,0.028697,0.833,RAW_COUNTS,BCH-B200,BCH-B200|DEFAULT|#d62728|--|s,true,
BCH-B200,PURE,0,8,UNIFORM_RANDOM,5000,1000000,32365,4117,0.032365,0.8234,RAW_COUNTS,BCH-B200,BCH-B200|DEFAULT|#d62728|--|s,true,
BCH-B200,PURE,0,10,UNIFORM_RANDOM,5000,1000000,41284,4225,0.041284,0.845,RAW_COUNTS,BCH-B200,BCH-B200|DEFAULT|#d62728|--|s,true,
BCH-B200,PURE,0,12,UNIFORM_RANDOM,5000,1000000,49270,4227,0.04927,0.8454,RAW_COUNTS,BCH-B200,BCH-B200|DEFAULT|#d62728|--|s,true,
BCH-B200,PURE,0,14,UNIFORM_RANDOM,5000,1000000,57771,4255,0.057771,0.851,RAW_COUNTS,BCH-B200,BCH-B200|DEFAULT|#d62728|--|s,true,
BCH-B200,PURE,0,15,UNIFORM_RANDOM,5000,1000000,62580,4303,0.06258,0.8606,RAW_COUNTS,BCH-B200,BCH-B200|DEFAULT|#d62728|--|s,true,
BCH-B200,PURE,0,16,UNIFORM_RANDOM,5000,1000000,65955,4305,0.065955,0.861,RAW_COUNTS,BCH-B200,BCH-B200|DEFAULT|#d62728|--|s,true,
BCH-B200,PURE,0,20,UNIFORM_RANDOM,5000,1000000,83325,4365,0.083325,0.873,RAW_COUNTS,BCH-B200,BCH-B200|DEFAULT|#d62728|--|s,true,
BCH-B200,PURE,0,24,UNIFORM_RANDOM,5000,1000000,101554,4494,0.101554,0.8988,RAW_COUNTS,BCH-B200,BCH-B200|DEFAULT|#d62728|--|s,true,
BCH-B200,PURE,0,29,UNIFORM_RANDOM,5000,1000000,121703,4509,0.121703,0.9018,RAW_COUNTS,BCH-B200,BCH-B200|DEFAULT|#d62728|--|s,true,
BCH-B200,PURE,0,30,UNIFORM_RANDOM,5000,1000000,127325,4574,0.127325,0.9148,RAW_COUNTS,BCH-B200,BCH-B200|DEFAULT|#d62728|--|s,true,
BCH-B200,PURE,0,31,UNIFORM_RANDOM,5000,1000000,132215,4606,0.132215,0.9212,RAW_COUNTS,BCH-B200,BCH-B200|DEFAULT|#d62728|--|s,true,
BCH-B200,PURE,0,32,UNIFORM_RANDOM,5000,1000000,136958,4628,0.136958,0.9256,RAW_COUNTS,BCH-B200,BCH-B200|DEFAULT|#d62728|--|s,true,
BCH-B200,PURE,0,48,UNIFORM_RANDOM,5000,1000000,210524,4968,0.210524,0.9936,RAW_COUNTS,BCH-B200,BCH-B200|DEFAULT|#d62728|--|s,true,
BCH-B200,PURE,0,64,UNIFORM_RANDOM,5000,1000000,288315,5000,0.288315,1.0,RAW_COUNTS,BCH-B200,BCH-B200|DEFAULT|#d62728|--|s,true,
BCH-B300,PURE,0,1,UNIFORM_RANDOM,5000,1500000,0,0,0.0,0.0,RAW_COUNTS,BCH-B300,BCH-B300|DEFAULT|#9467bd|:|D,false,ZERO_OBSERVATION_ON_LOG_AXIS
BCH-B300,PURE,0,2,UNIFORM_RANDOM,5000,1500000,0,0,0.0,0.0,RAW_COUNTS,BCH-B300,BCH-B300|DEFAULT|#9467bd|:|D,false,ZERO_OBSERVATION_ON_LOG_AXIS
BCH-B300,PURE,0,3,UNIFORM_RANDOM,5000,1500000,0,0,0.0,0.0,RAW_COUNTS,BCH-B300,BCH-B300|DEFAULT|#9467bd|:|D,false,ZERO_OBSERVATION_ON_LOG_AXIS
BCH-B300,PURE,0,4,UNIFORM_RANDOM,5000,1500000,0,0,0.0,0.0,RAW_COUNTS,BCH-B300,BCH-B300|DEFAULT|#9467bd|:|D,false,ZERO_OBSERVATION_ON_LOG_AXIS
BCH-B300,PURE,0,5,UNIFORM_RANDOM,5000,1500000,0,0,0.0,0.0,RAW_COUNTS,BCH-B300,BCH-B300|DEFAULT|#9467bd|:|D,false,ZERO_OBSERVATION_ON_LOG_AXIS
BCH-B300,PURE,0,6,UNIFORM_RANDOM,5000,1500000,0,0,0.0,0.0,RAW_COUNTS,BCH-B300,BCH-B300|DEFAULT|#9467bd|:|D,false,ZERO_OBSERVATION_ON_LOG_AXIS
BCH-B300,PURE,0,7,UNIFORM_RANDOM,5000,1500000,0,0,0.0,0.0,RAW_COUNTS,BCH-B300,BCH-B300|DEFAULT|#9467bd|:|D,false,ZERO_OBSERVATION_ON_LOG_AXIS
BCH-B300,PURE,0,8,UNIFORM_RANDOM,5000,1500000,0,0,0.0,0.0,RAW_COUNTS,BCH-B300,BCH-B300|DEFAULT|#9467bd|:|D,false,ZERO_OBSERVATION_ON_LOG_AXIS
BCH-B300,PURE,0,10,UNIFORM_RANDOM,5000,1500000,0,0,0.0,0.0,RAW_COUNTS,BCH-B300,BCH-B300|DEFAULT|#9467bd|:|D,false,ZERO_OBSERVATION_ON_LOG_AXIS
BCH-B300,PURE,0,12,UNIFORM_RANDOM,5000,1500000,46543,3951,0.031028666666666666,0.7902,RAW_COUNTS,BCH-B300,BCH-B300|DEFAULT|#9467bd|:|D,true,
BCH-B300,PURE,0,14,UNIFORM_RANDOM,5000,1500000,54428,3969,0.036285333333333336,0.7938,RAW_COUNTS,BCH-B300,BCH-B300|DEFAULT|#9467bd|:|D,true,
BCH-B300,PURE,0,15,UNIFORM_RANDOM,5000,1500000,58293,3982,0.038862,0.7964,RAW_COUNTS,BCH-B300,BCH-B300|DEFAULT|#9467bd|:|D,true,
BCH-B300,PURE,0,16,UNIFORM_RANDOM,5000,1500000,62289,3995,0.041526,0.799,RAW_COUNTS,BCH-B300,BCH-B300|DEFAULT|#9467bd|:|D,true,
