schemaVersion,stage,channelType,caseName,organization,decoderType,payloadLength,encodedLength,frameRate,sourcePayloadEbN0Db,snrDb,noisePolicyVersion,initialPhaseDeg,frameRotationDeg,compensationMode,attenuationDb,completeBlockage,blockageLength,blockageStartPolicy,burstMode,burstLength,burstStartPolicy,burstInjectionDomain,backgroundAwgnEnabled,processedFrames,processedPayloadBits,channelHardBitErrors,channelHardFrameErrors,channelHardBER,decodedBitErrors,decodedFrameErrors,BER,FER,trueSuccessFrames,trueSuccessRate,reportedSuccessFrames,reportedSuccessRate,miscorrectedFrames,miscorrectionRate,decoderFailureFrames,decoderFailureRate,avgDecodeTimeUs,p50DecodeTimeUs,p95DecodeTimeUs,p99DecodeTimeUs,maxDecodeTimeUs,avgTotalReceiverTimeUs,minFrames,targetFrameErrors,maxFrames,stopReason,checkpointCount,resumeCount,shardIndex,shardCount,configHash,gitCommit,profile,seriesLabel,visualStyleKey,plotted,omissionReason
bch.s2.impairment.result.v1,S2_06,SHORT_BLOCKAGE,BCH-B200,WHOLE_BLOCK_SHORTENED,BERLEKAMP_MASSEY_CHIEN,200,248,0.80645161290322576,3.5,2.565783148377649,2,0,0,NONE,-20,0,32,UNIFORM_RANDOM,PURE,1,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,1,5000,1000000,98733,5000,0.07962338709677419,82755,5000,0.082754999999999995,1,0,0,4,0.00080000000000000004,4,0.00080000000000000004,4996,0.99919999999999998,59.845700000000072,41.200000000000003,98.299999999999997,434.10600000000017,4163.6000000000004,94.048140000000402,5000,200,50000,TARGET_FRAME_ERRORS_REACHED,0,0,0,1,def69ff8b0316eb669e5fc60215b445b20e6c033a142b120df5ef21ad2f6e68a,WORKTREE,H,BCH-B200 / H,BCH-B200|H|#d62728|-|s,true,
bch.s2.impairment.result.v1,S2_06,SHORT_BLOCKAGE,BCH-B200,WHOLE_BLOCK_SHORTENED,BERLEKAMP_MASSEY_CHIEN,200,248,0.80645161290322576,3.7000000000000002,2.7657831483776492,2,0,0,NONE,-20,0,32,UNIFORM_RANDOM,PURE,1,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,1,5000,1000000,95746,5000,0.077214516129032254,80185,4998,0.080185000000000006,0.99960000000000004,2,0.00040000000000000002,5,0.001,5,0.001,4995,0.999,62.330399999999884,40.799999999999997,97.110000000000028,477.60400000000226,4842.5,95.311000000000064,5000,200,50000,TARGET_FRAME_ERRORS_REACHED,0,0,0,1,d430b91a69774aececfc35ef1b644ab4834cba33a5e815062e25faaa7dbddeb6,WORKTREE,H,BCH-B200 / H,BCH-B200|H|#d62728|-|s,true,
bch.s2.impairment.result.v1,S2_06,SHORT_BLOCKAGE,BCH-B200,WHOLE_BLOCK_SHORTENED,BERLEKAMP_MASSEY_CHIEN,200,248,0.80645161290322576,3.8999999999999999,2.9657831483776489,2,0,0,NONE,-20,0,32,UNIFORM_RANDOM,PURE,1,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,1,5000,1000000,92377,5000,0.074497580645161293,77635,4997,0.077634999999999996,0.99939999999999996,3,0.00059999999999999995,8,0.0016000000000000001,7,0.0014,4992,0.99839999999999995,54.785119999999949,40.100000000000001,74.705000000000027,343.2470000000032,3062.8000000000002,91.179240000000007,5000,200,50000,TARGET_FRAME_ERRORS_REACHED,0,0,0,1,718d2ea14546f5e45da62a177d248c7a30e0570ca3c81d1afb0d0d5034efd072,WORKTREE,H,BCH-B200 / H,BCH-B200|H|#d62728|-|s,true,
bch.s2.impairment.result.v1,S2_06,SHORT_BLOCKAGE,BCH-B200,WHOLE_BLOCK_SHORTENED,BERLEKAMP_MASSEY_CHIEN,200,248,0.80645161290322576,4.0999999999999996,3.1657831483776486,2,0,0,NONE,-20,0,32,UNIFORM_RANDOM,PURE,1,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,1,5000,1000000,89473,5000,0.072155645161290319,75063,4990,0.075063000000000005,0.998,10,0.002,5,0.001,5,0.001,4995,0.999,57.975739999999959,40.899999999999999,88.599999999999994,386.72600000000051,6319.8999999999996,88.862860000000097,5000,200,50000,TARGET_FRAME_ERRORS_REACHED,0,0,0,1,8b35f63f59cc6d997f70cb13f1705ee9d3ea2c09a6f34392110dafe2963554c2,WORKTREE,H,BCH-B200 / H,BCH-B200|H|#d62728|-|s,true,
bch.s2.impairment.result.v1,S2_06,SHORT_BLOCKAGE,BCH-B200,WHOLE_BLOCK_SHORTENED,BERLEKAMP_MASSEY_CHIEN,200,248,0.80645161290322576,4.2999999999999998,3.3657831483776488,2,0,0,NONE,-20,0,32,UNIFORM_RANDOM,PURE,1,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,1,5000,1000000,87398,5000,0.070482258064516135,73675,4985,0.073675000000000004,0.997,15,0.0030000000000000001,6,0.0011999999999999999,5,0.001,4994,0.99880000000000002,53.120879999999978,41.100000000000001,80,232.54500000000098,2610,87.05829999999996,5000,200,50000,TARGET_FRAME_ERRORS_REACHED,0,0,0,1,176cbc0d9593b5494c944d7316ded25ac3360b6bcdb9bf219e59e2d677d55e1d,WORKTREE,H,BCH-B200 / H,BCH-B200|H|#d62728|-|s,true,
bch.s2.impairment.result.v1,S2_06,SHORT_BLOCKAGE,BCH-B200,WHOLE_BLOCK_SHORTENED,BERLEKAMP_MASSEY_CHIEN,200,248,0.80645161290322576,4.5,3.565783148377649,2,0,0,NONE,-20,0,32,UNIFORM_RANDOM,PURE,1,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,1,5000,1000000,84302,5000,0.067985483870967742,71133,4974,0.071133000000000002,0.99480000000000002,26,0.0051999999999999998,14,0.0028,10,0.002,4986,0.99719999999999998,51.065560000000083,41.200000000000003,69.705000000000027,200.12500000000054,4619.5,78.430119999999917,5000,200,50000,TARGET_FRAME_ERRORS_REACHED,0,0,0,1,c45b73a1f09b25490238094c2d937ab87ac550b60e4ae22d9429ca5eef187530,WORKTREE,H,BCH-B200 / H,BCH-B200|H|#d62728|-|s,true,
bch.s2.impairment.result.v1,S2_06,SHORT_BLOCKAGE,BCH-B200,WHOLE_BLOCK_SHORTENED,BERLEKAMP_MASSEY_CHIEN,200,248,0.80645161290322576,4.7000000000000002,3.7657831483776492,2,0,0,NONE,-20,0,32,UNIFORM_RANDOM,PURE,1,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,1,5000,1000000,82040,5000,0.06616129032258064,69150,4971,0.069150000000000003,0.99419999999999997,29,0.0057999999999999996,10,0.002,4,0.00080000000000000004,4990,0.998,48.250699999999952,40.100000000000001,67.605000000000004,155.65000000000109,6377.3999999999996,78.517800000000221,5000,200,50000,TARGET_FRAME_ERRORS_REACHED,0,0,0,1,2b56370af315cd074c66816b52226a3b3281b044ff922ebdc0534e1493137745,WORKTREE,H,BCH-B200 / H,BCH-B200|H|#d62728|-|s,true,
bch.s2.impairment.result.v1,S2_06,SHORT_BLOCKAGE,BCH-B200,WHOLE_BLOCK_SHORTENED,BERLEKAMP_MASSEY_CHIEN,200,248,0.80645161290322576,4.9000000000000004,3.9657831483776493,2,0,0,NONE,-20,0,32,UNIFORM_RANDOM,PURE,1,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,1,5000,1000000,79633,5000,0.064220161290322583,67240,4954,0.067239999999999994,0.99080000000000001,46,0.0091999999999999998,12,0.0023999999999999998,6,0.0011999999999999999,4988,0.99760000000000004,51.773220000000109,40.799999999999997,74.90500000000003,221.27500000000163,2259.5999999999999,82.84653999999999,5000,200,50000,TARGET_FRAME_ERRORS_REACHED,0,0,0,1,b5a1c7220fd9218f4f7c964a83cd30aa0baee6ec5d9acdfcd3a7801a334454be,WORKTREE,H,BCH-B200 / H,BCH-B200|H|#d62728|-|s,true,
bch.s2.impairment.result.v1,S2_06,SHORT_BLOCKAGE,BCH-B200,WHOLE_BLOCK_SHORTENED,BERLEKAMP_MASSEY_CHIEN,200,248,0.80645161290322576,5.0999999999999996,4.1657831483776491,2,0,0,NONE,-20,0,32,UNIFORM_RANDOM,PURE,1,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,1,5000,1000000,77452,5000,0.062461290322580645,65588,4956,0.065587999999999994,0.99119999999999997,44,0.0088000000000000005,13,0.0025999999999999999,6,0.0011999999999999999,4987,0.99739999999999995,50.37570000000013,40.399999999999999,69.400000000000006,195.31600000000034,4586.6999999999998,78.76103999999988,5000,200,50000,TARGET_FRAME_ERRORS_REACHED,0,0,0,1,9ba59dbac5246f78c418141fcd804fbbc80adac1510222acf034624b97716db1,WORKTREE,H,BCH-B200 / H,BCH-B200|H|#d62728|-|s,true,
bch.s2.impairment.result.v1,S2_06,SHORT_BLOCKAGE,BCH-B200,WHOLE_BLOCK_SHORTENED,BERLEKAMP_MASSEY_CHIEN,200,248,0.80645161290322576,5.2999999999999998,4.3657831483776492,2,0,0,NONE,-20,0,32,UNIFORM_RANDOM,PURE,1,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,1,5000,1000000,75492,5000,0.060880645161290325,63865,4914,0.063865000000000005,0.98280000000000001,86,0.0172,12,0.0023999999999999998,3,0.00059999999999999995,4988,0.99760000000000004,52.364260000000073,40.899999999999999,74.900000000000006,234.00600000000014,3984.0999999999999,83.864640000000136,5000,200,50000,TARGET_FRAME_ERRORS_REACHED,0,0,0,1,e86d34c417b72ce24036736f0209f72d3a3aef3179e0bfe01830dd291a039ea2,WORKTREE,H,BCH-B200 / H,BCH-B200|H|#d62728|-|s,true,
