caseName,sourcePayloadEbN0Db,frameRotationDeg,payloadLength,encodedLength,frameRate,snrDb,processedFrames,processedPayloadBits,decodedBitErrors,decodedFrameErrors,BER,FER,trueSuccessFrames,trueSuccessRate,reportedSuccessFrames,reportedSuccessRate,miscorrectedFrames,miscorrectionRate,decoderFailureFrames,decoderFailureRate,channelHardBER,avgDecodeTimeUs,avgTotalReceiverTimeUs,aggregation,seriesLabel,visualStyleKey,plotted,omissionReason
BCH-B200,5.2999999999999998,0,200,248,0.80645161290322576,4.3657831483776492,20000,4000000,1499063,14878,0.37476575,0.7439,5122,0.2561,5142,0.2571,20,0.001,14858,0.7429,0.3771360887096774,39.66965500000004,91.88616000000019,RAW_COUNTS,BCH-B200,BCH-B200|DEFAULT|#d62728|--|s,true,
BCH-B200,5.2999999999999998,5,200,248,0.80645161290322576,4.3657831483776492,20000,4000000,1544090,15010,0.3860225,0.7505,4990,0.2495,5004,0.2502,14,0.0007,14996,0.7498,0.39092439516129035,39.500405,91.71312000000013,RAW_COUNTS,BCH-B200,BCH-B200|DEFAULT|#d62728|--|s,true,
BCH-B200,5.2999999999999998,10,200,248,0.80645161290322576,4.3657831483776492,20000,4000000,1588686,15052,0.3971715,0.7526,4948,0.2474,4966,0.2483,18,0.0009,15034,0.7517,0.4047903225806452,38.69835999999999,89.11346499999998,RAW_COUNTS,BCH-B200,BCH-B200|DEFAULT|#d62728|--|s,true,
BCH-B200,5.2999999999999998,15,200,248,0.80645161290322576,4.3657831483776492,20000,4000000,1633249,15072,0.40831225,0.7536,4928,0.2464,4948,0.2474,20,0.001,15052,0.7526,0.41860947580645164,33.90603999999997,79.96871499999996,RAW_COUNTS,BCH-B200,BCH-B200|DEFAULT|#d62728|--|s,true,
BCH-B200,5.2999999999999998,20,200,248,0.80645161290322576,4.3657831483776492,20000,4000000,1677127,15095,0.41928175,0.75475,4905,0.24525,4920,0.246,15,0.00075,15080,0.754,0.4322014112903225,34.971165000000006,81.76340500000009,RAW_COUNTS,BCH-B200,BCH-B200|DEFAULT|#d62728|--|s,true,
BCH-B200,5.2999999999999998,30,200,248,0.80645161290322576,4.3657831483776492,20000,4000000,1763829,15220,0.44095725,0.761,4780,0.239,4793,0.23965,13,0.00065,15207,0.76035,0.4592542338709678,37.78436999999998,88.08667999999997,RAW_COUNTS,BCH-B200,BCH-B200|DEFAULT|#d62728|--|s,true,
BCH-B200,5.2999999999999998,45,200,248,0.80645161290322576,4.3657831483776492,20000,4000000,1895157,16120,0.47378925,0.806,3880,0.194,3900,0.195,20,0.001,16100,0.805,0.49978366935483876,38.33607500000002,87.44527999999988,RAW_COUNTS,BCH-B200,BCH-B200|DEFAULT|#d62728|--|s,true,
BCH-B200,5.2999999999999998,60,200,248,0.80645161290322576,4.3657831483776492,20000,4000000,2033640,18849,0.50841,0.94245,1151,0.05755,1168,0.0584,23,0.00115,18832,0.9416,0.540729435483871,39.469365000000074,88.97783999999992,RAW_COUNTS,BCH-B200,BCH-B200|DEFAULT|#d62728|--|s,true,
BCH-B200,5.2999999999999998,75,200,248,0.80645161290322576,4.3657831483776492,20000,4000000,2168166,19984,0.5420415,0.9992,16,0.0008,33,0.00165,21,0.00105,19967,0.99835,0.580971572580645,48.28891499999994,107.07531000000002,RAW_COUNTS,BCH-B200,BCH-B200|DEFAULT|#d62728|--|s,true,
BCH-B200,5.2999999999999998,90,200,248,0.80645161290322576,4.3657831483776492,20000,4000000,2298271,20000,0.57456775,1.0,0,0.0,24,0.0012,24,0.0012,19976,0.9988,0.6198637096774193,50.64753500000001,112.35407499999992,RAW_COUNTS,BCH-B200,BCH-B200|DEFAULT|#d62728|--|s,true,
BCH-B200,5.2999999999999998,120,200,248,0.80645161290322576,4.3657831483776492,20000,4000000,2546907,20000,0.63672675,1.0,0,0.0,21,0.00105,21,0.00105,19979,0.99895,0.6860147177419355,54.827580000000076,122.90522500000009,RAW_COUNTS,BCH-B200,BCH-B200|DEFAULT|#d62728|--|s,true,
BCH-B200,5.2999999999999998,180,200,248,0.80645161290322576,4.3657831483776492,20000,4000000,2859871,20000,0.71496775,1.0,0,0.0,28,0.0014,28,0.0014,19972,0.9986,0.71455625,73.37419999999999,169.937295,RAW_COUNTS,BCH-B200,BCH-B200|DEFAULT|#d62728|--|s,true,
BCH-B300,5.2000000000000002,0,300,390,0.76923076923076927,4.0605664769316325,20000,6000000,2250822,15027,0.375137,0.75135,4973,0.24865,4973,0.24865,0,0.0,15027,0.75135,0.3780385897435897,104.88414000000002,183.59041999999994,RAW_COUNTS,BCH-B300,BCH-B300|DEFAULT|#9467bd|:|D,true,
BCH-B300,5.2000000000000002,5,300,390,0.76923076923076927,4.0605664769316325,20000,6000000,2314215,15046,0.3857025,0.7523,4954,0.2477,4954,0.2477,0,0.0,15046,0.7523,0.39179615384615385,119.17663999999995,215.00139499999992,RAW_COUNTS,BCH-B300,BCH-B300|DEFAULT|#9467bd|:|D,true,
BCH-B300,5.2000000000000002,10,300,390,0.76923076923076927,4.0605664769316325,20000,6000000,2377303,15058,0.3962171666666667,0.7529,4942,0.2471,4942,0.2471,0,0.0,15058,0.7529,0.4054826923076923,150.9136200000002,264.1712949999997,RAW_COUNTS,BCH-B300,BCH-B300|DEFAULT|#9467bd|:|D,true,
BCH-B300,5.2000000000000002,15,300,390,0.76923076923076927,4.0605664769316325,20000,6000000,2439953,15069,0.40665883333333336,0.75345,4931,0.24655,4931,0.24655,0,0.0,15069,0.75345,0.41911858974358973,161.15317499999983,287.11824000000024,RAW_COUNTS,BCH-B300,BCH-B300|DEFAULT|#9467bd|:|D,true,
BCH-B300,5.2000000000000002,20,300,390,0.76923076923076927,4.0605664769316325,20000,6000000,2502129,15103,0.4170215,0.75515,4897,0.24485,4897,0.24485,0,0.0,15103,0.75515,0.4326519230769231,131.59055499999963,233.40076500000004,RAW_COUNTS,BCH-B300,BCH-B300|DEFAULT|#9467bd|:|D,true,
BCH-B300,5.2000000000000002,30,300,390,0.76923076923076927,4.0605664769316325,20000,6000000,2626161,15267,0.4376935,0.76335,4733,0.23665,4733,0.23665,0,0.0,15267,0.76335,0.4595308974358974,111.0002950000001,194.47013500000003,RAW_COUNTS,BCH-B300,BCH-B300|DEFAULT|#9467bd|:|D,true,
BCH-B300,5.2000000000000002,45,300,390,0.76923076923076927,4.0605664769316325,20000,6000000,2816880,16522,0.46948,0.8261,3478,0.1739,3478,0.1739,0,0.0,16522,0.8261,0.5000662820512821,113.97911000000015,200.4087299999998,RAW_COUNTS,BCH-B300,BCH-B300|DEFAULT|#9467bd|:|D,true,
BCH-B300,5.2000000000000002,60,300,390,0.76923076923076927,4.0605664769316325,20000,6000000,3017509,19543,0.5029181666666667,0.97715,457,0.02285,457,0.02285,0,0.0,19543,0.97715,0.5408323076923077,118.83860999999999,206.4251900000001,RAW_COUNTS,BCH-B300,BCH-B300|DEFAULT|#9467bd|:|D,true,
BCH-B300,5.2000000000000002,75,300,390,0.76923076923076927,4.0605664769316325,20000,6000000,3207281,20000,0.5345468333333333,1.0,0,0.0,0,0.0,0,0.0,20000,1.0,0.5808391025641025,118.75465999999989,203.61364500000025,RAW_COUNTS,BCH-B300,BCH-B300|DEFAULT|#9467bd|:|D,true,
BCH-B300,5.2000000000000002,90,300,390,0.76923076923076927,4.0605664769316325,20000,6000000,3392168,20000,0.5653613333333334,1.0,0,0.0,0,0.0,0,0.0,20000,1.0,0.6192862820512821,127.93929999999993,219.21988499999983,RAW_COUNTS,BCH-B300,BCH-B300|DEFAULT|#9467bd|:|D,true,
BCH-B300,5.2000000000000002,120,300,390,0.76923076923076927,4.0605664769316325,20000,6000000,3749179,20000,0.6248631666666666,1.0,0,0.0,0,0.0,0,0.0,20000,1.0,0.6844717948717949,115.67058499999999,200.41075999999998,RAW_COUNTS,BCH-B300,BCH-B300|DEFAULT|#9467bd|:|D,true,
BCH-B300,5.2000000000000002,180,300,390,0.76923076923076927,4.0605664769316325,20000,6000000,4247802,20000,0.707967,1.0,0,0.0,0,0.0,0,0.0,20000,1.0,0.7128552564102564,110.65811999999988,192.49685499999984,RAW_COUNTS,BCH-B300,BCH-B300|DEFAULT|#9467bd|:|D,true,
BCH-B300-426,5,0,300,426,0.70422535211267601,3.4771165561694346,20000,6000000,2249398,15032,0.3748996666666667,0.7516,4968,0.2484,4968,0.2484,0,0.0,15032,0.7516,0.37926948356807516,221.10249000000005,349.837385,RAW_COUNTS,BCH-B300-426,BCH-B300-426|DEFAULT|#ff7f0e|--|v,true,
BCH-B300-426,5,5,300,426,0.70422535211267601,3.4771165561694346,20000,6000000,2305985,15042,0.38433083333333334,0.7521,4958,0.2479,4958,0.2479,0,0.0,15042,0.7521,0.3926163145539906,197.05693499999956,319.5004850000002,RAW_COUNTS,BCH-B300-426,BCH-B300-426|DEFAULT|#ff7f0e|--|v,true,
BCH-B300-426,5,10,300,426,0.70422535211267601,3.4771165561694346,20000,6000000,2363061,15050,0.3938435,0.7525,4950,0.2475,4950,0.2475,0,0.0,15050,0.7525,0.4061575117370892,164.00381000000004,261.2168899999999,RAW_COUNTS,BCH-B300-426,BCH-B300-426|DEFAULT|#ff7f0e|--|v,true,
BCH-B300-426,5,15,300,426,0.70422535211267601,3.4771165561694346,20000,6000000,2420068,15064,0.4033446666666667,0.7532,4936,0.2468,4936,0.2468,0,0.0,15064,0.7532,0.4196369718309859,152.37002000000007,242.708895,RAW_COUNTS,BCH-B300-426,BCH-B300-426|DEFAULT|#ff7f0e|--|v,true,
