caseName,burstMode,sourcePayloadEbN0Db,burstLength,burstStartPolicy,processedFrames,processedPayloadBits,decodedBitErrors,decodedFrameErrors,BER,FER,aggregation,seriesLabel,visualStyleKey,plotted,omissionReason
BCH-B300,AWGN,5.2000000000000002,6,UNIFORM_RANDOM,5000,1500000,22521,2383,0.015014,0.4766,RAW_COUNTS,BCH-B300,BCH-B300|DEFAULT|#9467bd|:|D,true,
BCH-B300,AWGN,5.2000000000000002,7,UNIFORM_RANDOM,5000,1500000,32385,3330,0.02159,0.666,RAW_COUNTS,BCH-B300,BCH-B300|DEFAULT|#9467bd|:|D,true,
BCH-B300,AWGN,5.2000000000000002,8,UNIFORM_RANDOM,5000,1500000,42493,4170,0.028328666666666665,0.834,RAW_COUNTS,BCH-B300,BCH-B300|DEFAULT|#9467bd|:|D,true,
BCH-B300,AWGN,5.2000000000000002,10,UNIFORM_RANDOM,5000,1500000,55153,4914,0.036768666666666665,0.9828,RAW_COUNTS,BCH-B300,BCH-B300|DEFAULT|#9467bd|:|D,true,
BCH-B300,AWGN,5.2000000000000002,12,UNIFORM_RANDOM,5000,1500000,63505,4971,0.04233666666666667,0.9942,RAW_COUNTS,BCH-B300,BCH-B300|DEFAULT|#9467bd|:|D,true,
BCH-B300,AWGN,5.2000000000000002,14,UNIFORM_RANDOM,5000,1500000,71232,4969,0.047488,0.9938,RAW_COUNTS,BCH-B300,BCH-B300|DEFAULT|#9467bd|:|D,true,
BCH-B300,AWGN,5.2000000000000002,15,UNIFORM_RANDOM,5000,1500000,74967,4974,0.049978,0.9948,RAW_COUNTS,BCH-B300,BCH-B300|DEFAULT|#9467bd|:|D,true,
BCH-B300,AWGN,5.2000000000000002,16,UNIFORM_RANDOM,5000,1500000,78899,4978,0.05259933333333333,0.9956,RAW_COUNTS,BCH-B300,BCH-B300|DEFAULT|#9467bd|:|D,true,
BCH-B300,AWGN,5.2000000000000002,20,UNIFORM_RANDOM,5000,1500000,95222,4976,0.06348133333333333,0.9952,RAW_COUNTS,BCH-B300,BCH-B300|DEFAULT|#9467bd|:|D,true,
BCH-B300,AWGN,5.2000000000000002,24,UNIFORM_RANDOM,5000,1500000,110075,4975,0.07338333333333333,0.995,RAW_COUNTS,BCH-B300,BCH-B300|DEFAULT|#9467bd|:|D,true,
BCH-B300,AWGN,5.2000000000000002,29,UNIFORM_RANDOM,5000,1500000,130272,4976,0.086848,0.9952,RAW_COUNTS,BCH-B300,BCH-B300|DEFAULT|#9467bd|:|D,true,
BCH-B300,AWGN,5.2000000000000002,30,UNIFORM_RANDOM,5000,1500000,134149,4976,0.08943266666666666,0.9952,RAW_COUNTS,BCH-B300,BCH-B300|DEFAULT|#9467bd|:|D,true,
BCH-B300,AWGN,5.2000000000000002,31,UNIFORM_RANDOM,5000,1500000,137011,4974,0.09134066666666667,0.9948,RAW_COUNTS,BCH-B300,BCH-B300|DEFAULT|#9467bd|:|D,true,
BCH-B300,AWGN,5.2000000000000002,32,UNIFORM_RANDOM,5000,1500000,141753,4979,0.094502,0.9958,RAW_COUNTS,BCH-B300,BCH-B300|DEFAULT|#9467bd|:|D,true,
BCH-B300,AWGN,5.2000000000000002,48,UNIFORM_RANDOM,5000,1500000,207463,4984,0.13830866666666666,0.9968,RAW_COUNTS,BCH-B300,BCH-B300|DEFAULT|#9467bd|:|D,true,
BCH-B300,AWGN,5.2000000000000002,64,UNIFORM_RANDOM,5000,1500000,273320,4993,0.18221333333333334,0.9986,RAW_COUNTS,BCH-B300,BCH-B300|DEFAULT|#9467bd|:|D,true,
BCH-B300-426,AWGN,5,1,UNIFORM_RANDOM,5000,1500000,1039,94,0.0006926666666666666,0.0188,RAW_COUNTS,BCH-B300-426,BCH-B300-426|DEFAULT|#ff7f0e|--|v,true,
BCH-B300-426,AWGN,5,2,UNIFORM_RANDOM,5000,1500000,2050,186,0.0013666666666666666,0.0372,RAW_COUNTS,BCH-B300-426,BCH-B300-426|DEFAULT|#ff7f0e|--|v,true,
BCH-B300-426,AWGN,5,3,UNIFORM_RANDOM,5000,1500000,3793,338,0.0025286666666666665,0.0676,RAW_COUNTS,BCH-B300-426,BCH-B300-426|DEFAULT|#ff7f0e|--|v,true,
BCH-B300-426,AWGN,5,4,UNIFORM_RANDOM,5000,1500000,6835,613,0.004556666666666666,0.1226,RAW_COUNTS,BCH-B300-426,BCH-B300-426|DEFAULT|#ff7f0e|--|v,true,
BCH-B300-426,AWGN,5,5,UNIFORM_RANDOM,5000,1500000,10866,957,0.007244,0.1914,RAW_COUNTS,BCH-B300-426,BCH-B300-426|DEFAULT|#ff7f0e|--|v,true,
BCH-B300-426,AWGN,5,6,UNIFORM_RANDOM,5000,1500000,17030,1468,0.011353333333333333,0.2936,RAW_COUNTS,BCH-B300-426,BCH-B300-426|DEFAULT|#ff7f0e|--|v,true,
BCH-B300-426,AWGN,5,7,UNIFORM_RANDOM,5000,1500000,24825,2138,0.01655,0.4276,RAW_COUNTS,BCH-B300-426,BCH-B300-426|DEFAULT|#ff7f0e|--|v,true,
BCH-B300-426,AWGN,5,8,UNIFORM_RANDOM,5000,1500000,34062,2846,0.022708,0.5692,RAW_COUNTS,BCH-B300-426,BCH-B300-426|DEFAULT|#ff7f0e|--|v,true,
BCH-B300-426,AWGN,5,10,UNIFORM_RANDOM,5000,1500000,51319,4100,0.03421266666666667,0.82,RAW_COUNTS,BCH-B300-426,BCH-B300-426|DEFAULT|#ff7f0e|--|v,true,
BCH-B300-426,AWGN,5,12,UNIFORM_RANDOM,5000,1500000,64868,4807,0.04324533333333333,0.9614,RAW_COUNTS,BCH-B300-426,BCH-B300-426|DEFAULT|#ff7f0e|--|v,true,
BCH-B300-426,AWGN,5,14,UNIFORM_RANDOM,5000,1500000,74195,4983,0.04946333333333333,0.9966,RAW_COUNTS,BCH-B300-426,BCH-B300-426|DEFAULT|#ff7f0e|--|v,true,
BCH-B300-426,AWGN,5,15,UNIFORM_RANDOM,5000,1500000,77016,4995,0.051344,0.999,RAW_COUNTS,BCH-B300-426,BCH-B300-426|DEFAULT|#ff7f0e|--|v,true,
BCH-B300-426,AWGN,5,16,UNIFORM_RANDOM,5000,1500000,80938,4993,0.05395866666666667,0.9986,RAW_COUNTS,BCH-B300-426,BCH-B300-426|DEFAULT|#ff7f0e|--|v,true,
BCH-B300-426,AWGN,5,20,UNIFORM_RANDOM,5000,1500000,95922,4991,0.063948,0.9982,RAW_COUNTS,BCH-B300-426,BCH-B300-426|DEFAULT|#ff7f0e|--|v,true,
BCH-B300-426,AWGN,5,24,UNIFORM_RANDOM,5000,1500000,109026,4995,0.072684,0.999,RAW_COUNTS,BCH-B300-426,BCH-B300-426|DEFAULT|#ff7f0e|--|v,true,
BCH-B300-426,AWGN,5,29,UNIFORM_RANDOM,5000,1500000,125342,4994,0.08356133333333333,0.9988,RAW_COUNTS,BCH-B300-426,BCH-B300-426|DEFAULT|#ff7f0e|--|v,true,
BCH-B300-426,AWGN,5,30,UNIFORM_RANDOM,5000,1500000,130115,4994,0.08674333333333334,0.9988,RAW_COUNTS,BCH-B300-426,BCH-B300-426|DEFAULT|#ff7f0e|--|v,true,
BCH-B300-426,AWGN,5,31,UNIFORM_RANDOM,5000,1500000,133119,4997,0.088746,0.9994,RAW_COUNTS,BCH-B300-426,BCH-B300-426|DEFAULT|#ff7f0e|--|v,true,
BCH-B300-426,AWGN,5,32,UNIFORM_RANDOM,5000,1500000,138259,4991,0.09217266666666667,0.9982,RAW_COUNTS,BCH-B300-426,BCH-B300-426|DEFAULT|#ff7f0e|--|v,true,
BCH-B300-426,AWGN,5,48,UNIFORM_RANDOM,5000,1500000,194392,4995,0.12959466666666666,0.999,RAW_COUNTS,BCH-B300-426,BCH-B300-426|DEFAULT|#ff7f0e|--|v,true,
BCH-B300-426,AWGN,5,64,UNIFORM_RANDOM,5000,1500000,254294,4995,0.16952933333333334,0.999,RAW_COUNTS,BCH-B300-426,BCH-B300-426|DEFAULT|#ff7f0e|--|v,true,
