caseId,meanDecodeUs,p95DecodeUsMedian
CC-B-R12-H,302.6914983017342,333.0
CC-B-R12-S,389.66319774391155,454.2
CC-B-R23-H,309.4021774724662,476.2
CC-B-R23-S,407.44815563305724,577.7
CC-B-R34-H,310.0875201262902,367.6
CC-B-R34-S,399.514241611869,651.3
