caseId,points,frames,minBER,minFER
CC-B-R12-H,39,840705,0.0,0.0
CC-B-R12-S,39,1061450,0.0,0.0
CC-B-R23-H,55,813963,0.0,0.0
CC-B-R23-S,51,1002912,0.0,0.0
CC-B-R34-H,47,657750,0.0,0.0
CC-B-R34-S,51,918354,0.0,0.0
