phase,caseId,snrDb,esN0Db,ebN0Db,actualRate,sigmaSquared,N_transmitted,frameStart,frameEndExclusive,framesProcessed,frameSequenceDigest,payloadBitErrors,payloadErrorFrames,BER,FER,payloadSuccessRate,avgEncodeTime_us,maxEncodeTime_us,avgDecodeTime_us,p95DecodeTime_us,maxDecodeTime_us,rawDecodeThroughput_Mbps,successfulDecodeThroughput_Mbps,normalizedGoodput,stopReason,berCiLow,berCiHigh,ferCiLow,ferCiHigh,gridLayer,sourceLayer
formal,CC-B-R12-H,-5,-5,-1.9036983257410123,0.49019607843137253,1.5811388300841895,612,0,1000,1000,11397846946697916867,139157,1000,0.46385666666666664,1,0,4.3365,25.800000000000001,236.39630000000031,317.89999999999998,485.39999999999998,1.2690553955370689,0,0,TARGET_ERRORS_REACHED,0.46207262740886895,0.46564163153345633,0.99617324151444497,1,coarse,coarse
formal,CC-B-R12-H,-4.5,-4.5,-1.4036983257410123,0.49019607843137253,1.4091914656322269,612,0,1000,1000,11397846946697916867,134026,1000,0.44675333333333334,1,0,4.4527999999999972,68,249.2333000000001,321.30000000000001,721.20000000000005,1.2036914810340347,0,0,TARGET_ERRORS_REACHED,0.44497500665857864,0.44853302362314268,0.99617324151444497,1,coarse,coarse
formal,CC-B-R12-H,-4,-4,-0.90369832574101228,0.49019607843137253,1.2559432157547903,612,0,1000,1000,11397846946697916867,127207,1000,0.42402333333333331,1,0,4.9625999999999886,421.19999999999999,254.26140000000009,324.30000000000001,1047,1.1798880994126513,0,0,TARGET_ERRORS_REACHED,0.42225589981679534,0.42579271256653217,0.99617324151444497,1,coarse,coarse
formal,CC-B-R12-H,-3.5,-3.5,-0.40369832574101228,0.49019607843137253,1.1193605692841697,612,0,1000,1000,11397846946697916867,118398,1000,0.39466000000000001,1,0,4.4590000000000058,30.699999999999999,252.59679999999983,325.10000000000002,644,1.187663501675398,0,0,TARGET_ERRORS_REACHED,0.39291232369763363,0.39641037399630397,0.99617324151444497,1,coarse,coarse
formal,CC-B-R12-H,-3,-3,0.096301674258987724,0.49019607843137253,0.99763115748443987,612,0,1000,1000,11397846946697916867,106422,1000,0.35474,1,0,4.4024999999999945,19.899999999999999,253.03569999999991,322.69999999999999,764,1.1856034543742251,0,0,TARGET_ERRORS_REACHED,0.35302984569361884,0.35645387432746878,0.99617324151444497,1,coarse,coarse
formal,CC-B-R12-H,-2.5,-2.5,0.59630167425898772,0.49019607843137253,0.88913970501946138,612,0,1000,1000,11397846946697916867,90754,1000,0.30251333333333336,1,0,4.7244999999999999,153.09999999999999,256.79700000000014,327.5,835.89999999999998,1.1682379467049842,0,0,TARGET_ERRORS_REACHED,0.30087215127596012,0.30415957290526341,0.99617324151444497,1,coarse,coarse
formal,CC-B-R12-H,-2,-2,1.0963016742589877,0.49019607843137253,0.79244659623055669,612,0,1000,1000,11397846946697916867,71699,998,0.23899666666666666,0.998,0.0020000000000000018,4.519700000000002,43.100000000000001,258.64459999999991,325.5,735,1.1598927640476551,0.0023197855280953123,0.00098039215686274595,TARGET_ERRORS_REACHED,0.23747393708037148,0.24052608039108611,0.99273719213650791,0.99945135641187932,coarse,coarse
formal,CC-B-R12-H,-1.5,-1.5,1.5963016742589877,0.49019607843137253,0.70626877231137719,612,0,1000,1000,11397846946697916867,51065,988,0.17021666666666666,0.98799999999999999,0.012000000000000011,4.4972999999999992,55.299999999999997,253.49730000000039,323,531.29999999999995,1.1834445573976509,0.014201334688771824,0.0058823529411764757,TARGET_ERRORS_REACHED,0.16887605067950492,0.17156572820631591,0.97914273152450171,0.99312235219359646,coarse,coarse
formal,CC-B-R12-H,-1,-1,2.0963016742589877,0.49019607843137253,0.62946270589708364,612,0,1000,1000,11397846946697916867,33001,954,0.11000333333333333,0.95399999999999996,0.046000000000000041,4.3778999999999995,31.100000000000001,248.78559999999976,322.5,490.69999999999999,1.2058575737502504,0.055469448392511569,0.022549019607843158,TARGET_ERRORS_REACHED,0.1088886672462852,0.11112798700005989,0.93918779605838087,0.96533750723673506,coarse,coarse
formal,CC-B-R12-H,-0.5,-0.5,2.5963016742589877,0.49019607843137253,0.56100922715098167,612,0,1000,1000,11397846946697916867,19126,845,0.063753333333333329,0.84499999999999997,0.15500000000000003,4.359600000000003,28.800000000000001,248.34189999999984,324.69999999999999,537.79999999999995,1.2080120189142476,0.18724186293170841,0.075980392156862753,TARGET_ERRORS_REACHED,0.062884660286004271,0.064633178394977356,0.82125316126015901,0.86610637538480795,coarse,coarse
formal,CC-B-R12-H,0,0,3.0963016742589877,0.49019607843137253,0.5,612,0,5000,5000,8320246021676229635,43554,3109,0.029035999999999999,0.62180000000000002,0.37819999999999998,7.3099800000000021,3916.4000000000001,421.15680000000077,795.29999999999995,13992,0.71232377109902878,0.26940085022965266,0.18539215686274507,TARGET_ERRORS_REACHED,0.028768500819221152,0.029305911426350528,0.60826978347787819,0.63514320432830595,dense_verified_legacy,dense_verified_legacy
formal,CC-B-R12-H,0.20000000000000001,0.20000000000000001,3.2963016742589879,0.49019607843137253,0.47749629301071794,612,0,5000,5000,8320246021676229635,31978,2646,0.021318666666666666,0.5292,0.4708,6.971600000000012,1023.3,421.48906000000045,831.89999999999998,10443.5,0.71176224597620563,0.3350976654055976,0.23078431372549019,TARGET_ERRORS_REACHED,0.021088734682938724,0.021551050423622667,0.51534749216369458,0.54300767404271399,dense_verified_legacy,dense_verified_legacy
formal,CC-B-R12-H,0.40000000000000002,0.40000000000000002,3.4963016742589876,0.49019607843137253,0.45600541967795483,612,0,5000,5000,8320246021676229635,22610,2124,0.015073333333333333,0.42480000000000001,0.57519999999999993,6.9531800000000308,1619.4000000000001,426.19246000000078,830.79999999999995,11810.200000000001,0.70390733801343985,0.40488750082533054,0.28196078431372545,TARGET_ERRORS_REACHED,0.014879582980794061,0.015269567447273166,0.41116147498441619,0.43855398738812051,dense_verified_legacy,dense_verified_legacy
formal,CC-B-R12-H,0.5,0.5,3.5963016742589877,0.49019607843137253,0.44562546906687278,612,0,1000,1000,11397846946697916867,4012,379,0.013373333333333333,0.379,0.621,4.3435000000000006,33.200000000000003,242.44539999999969,317.80000000000001,441.80000000000001,1.2373920066126245,0.76842043610643984,0.30441176470588233,TARGET_ERRORS_REACHED,0.012968480189623018,0.013790648692807028,0.34944843375830026,0.40947764179520407,coarse,coarse
formal,CC-B-R12-H,0.59999999999999998,0.59999999999999998,3.6963016742589878,0.49019607843137253,0.43548179497804029,612,0,5000,5000,8320246021676229635,15524,1656,0.010349333333333334,0.33119999999999999,0.66880000000000006,6.5362599999999986,756.79999999999995,410.29437999999953,789,8500.1000000000004,0.7311823281615516,0.48901474107444576,0.327843137254902,TARGET_ERRORS_REACHED,0.01018862570734414,0.010512548916729749,0.31828858314133068,0.34437059303532069,dense_verified_legacy,dense_verified_legacy
formal,CC-B-R12-H,0.80000000000000004,0.80000000000000004,3.8963016742589875,0.49019607843137253,0.41588188555133548,612,0,5000,5000,8320246021676229635,10502,1264,0.0070013333333333334,0.25280000000000002,0.74719999999999998,6.5772999999999984,576.5,405.61886000000021,787.89999999999998,4358.3000000000002,0.73961057925166462,0.55263702481684374,0.36627450980392157,TARGET_ERRORS_REACHED,0.0068691558792633159,0.0071360358930388354,0.24094615131947145,0.2650334005221649,dense_verified_legacy,dense_verified_legacy
formal,CC-B-R12-H,1,1,4.0963016742589877,0.49019607843137253,0.39716411736214075,612,0,5000,5000,8320246021676229635,6847,934,0.0045646666666666665,0.18679999999999999,0.81320000000000003,6.3184400000000078,634.5,410.75388000000038,800.5,5208.5,0.73036437294274548,0.59393230807704067,0.39862745098039215,TARGET_ERRORS_REACHED,0.0044580549463329759,0.0046738159730767585,0.17623877026529711,0.19784211823308673,dense_verified_legacy,dense_verified_legacy
formal,CC-B-R12-H,1.2,1.2,4.2963016742589879,0.49019607843137253,0.37928878751459189,612,0,5000,5000,8320246021676229635,4533,684,0.0030219999999999999,0.1368,0.86319999999999997,6.5416199999999982,628.39999999999998,397.70554000000067,728.89999999999998,6068.1999999999998,0.75432693243347704,0.65113500807657732,0.42313725490196075,TARGET_ERRORS_REACHED,0.0029354236053802532,0.0031111218821298775,0.12755347300455458,0.14660418568833497,dense_verified_legacy,dense_verified_legacy
formal,CC-B-R12-H,1.3999999999999999,1.3999999999999999,4.4963016742589872,0.49019607843137253,0.36221798003749506,612,0,5000,5000,8320246021676229635,2972,479,0.0019813333333333332,0.095799999999999996,0.9042,6.758159999999986,658.29999999999995,423.27346000000108,834.5,7585.3999999999996,0.7087616596608709,0.64086229266535943,0.44323529411764706,TARGET_ERRORS_REACHED,0.0019114350082183296,0.0020537824761823454,0.087949640721330227,0.10427096953105396,dense_verified_legacy,dense_verified_legacy
formal,CC-B-R12-H,1.5,1.5,4.5963016742589877,0.49019607843137253,0.35397289219206896,612,0,2572,2572,16994727865935114711,1179,200,0.0015279937791601867,0.077760497667185069,0.92223950233281493,4.5326594090202237,50.200000000000003,272.19965007776057,327.39999999999998,3504,1.1021322030145799,1.0164298544131352,0.45207818741804651,TARGET_ERRORS_REACHED,0.0014432876574237874,0.0016176632242557486,0.068029395714718457,0.088751006059537549,coarse,coarse
formal,CC-B-R12-H,1.6000000000000001,1.6000000000000001,4.6963016742589883,0.49019607843137253,0.34591548545946826,612,0,5000,5000,8320246021676229635,1858,332,0.0012386666666666666,0.066400000000000001,0.93359999999999999,6.8434200000000205,816.10000000000002,407.00581999999946,790.89999999999998,4365.5,0.73709019689202582,0.68814740781839534,0.45764705882352941,TARGET_ERRORS_REACHED,0.0011836422417157309,0.0012962457132397593,0.059826252066702917,0.073639499060050628,dense_verified_legacy,dense_verified_legacy
