stage,metric,png,pngSha256,sourceCsv
8,BER,stage08_awgn_prescan_ber.png,b6820261d0d2bd840308df102f078fc94ac9644ede9052e004b2b3a158751773,stage08_awgn_prescan_point_results.csv
8,FER,stage08_awgn_prescan_fer.png,95d49b13d849aa17efbe640fba47371cab95f08187573106b3a953a228d24165,stage08_awgn_prescan_point_results.csv
9,BER,stage09_awgn_formal_ber.png,089bebbfef197d079d98eb7e49e09edf6190714589f791b5c6e22c79bc299ec6,stage09_awgn_formal_point_results.csv
9,FER,stage09_awgn_formal_fer.png,858124f6233e05c75f402c6fafe9e3ab25da7f222fd2a46b9edebd25baa8b1f3,stage09_awgn_formal_point_results.csv
9,FER,stage09_awgn_formal_hard_soft_fer.png,6aec1214af7ec7281be88ec9aa0b42412dec546605c3fff8a2196f78e3c82a45,stage09_awgn_formal_point_results.csv
9,avgDecodeTime_us,stage09_awgn_formal_delay.png,0791df3a1ff98be24ee068c0bcd010419ec90af5436666cd4751fef6293de43c,stage09_awgn_formal_point_results.csv
9,normalizedGoodput,stage09_awgn_formal_goodput.png,9c62ec5dabc1106f55dd9be94514f11cf59d29e58cff97e37dcaf2e8ce8db626,stage09_awgn_formal_point_results.csv
