caseId,rateId,decoder,pointCount,minSnrDb,maxSnrDb,N_transmitted,actualRate
CC-B-R12-H,R12,H,11,0.0,2.0,612,0.49019607843137253
CC-B-R12-S,R12,S,11,-2.0,0.0,612,0.49019607843137253
CC-B-R23-H,R23,H,31,1.0,4.0,459,0.65359477124183007
CC-B-R23-S,R23,S,26,-0.5,2.0,459,0.65359477124183007
CC-B-R34-H,R34,H,21,2.0,4.0,408,0.73529411764705888
CC-B-R34-S,R34,S,26,0.5,3.0,408,0.73529411764705888
