caseId,patternId,errorWeight,payloadBits,encodedBits,receivedBits,cppRecoveredBits,cppStatus
K200_S15,0,0,01001011011010010110100100101101001001011010010110110100101101001001011010010110110100101101001001011010010110110100101101001001011010010010110100101101101001011010010010110100101101101001011010010010,010010110110001010010110100010010010110100010010010110100010010110110101100010110100100111010110100100111110110100101110110100100101001110100101100101110100101100101100100101101000100100101101000100101101100010100101101000100100101101000100101101101001011101101001001110100000000001001,010010110110001010010110100010010010110100010010010110100010010110110101100010110100100111010110100100111110110100101110110100100101001110100101100101110100101100101100100101101000100100101101000100101101100010100101101000100100101101000100101101101001011101101001001110100000000001001,01001011011010010110100100101101001001011010010110110100101101001001011010010110110100101101001001011010010110110100101101001001011010010010110100101101101001011010010010110100101101101001011010010010,TRUE_SUCCESS
K200_S15,6,1,01001011011010010110100100101101001001011010010110110100101101001001011010010110110100101101001001011010010110110100101101001001011010010010110100101101101001011010010010110100101101101001011010010010,010010110110001010010110100010010010110100010010010110100010010110110101100010110100100111010110100100111110110100101110110100100101001110100101100101110100101100101100100101101000100100101101000100101101100010100101101000100100101101000100101101101001011101101001001110100000000001001,010000110110001010010110100010010010110100010010010110100010010110110101100010110100100111010110100100111110110100101110110100100101001110100101100101110100101100101100100101101000100100101101000100101101100010100101101000100100101101000100101101101001011101101001001110100000000001001,01001011011010010110100100101101001001011010010110110100101101001001011010010110110100101101001001011010010110110100101101001001011010010010110100101101101001011010010010110100101101101001011010010010,TRUE_SUCCESS
K200_M255K207,0,0,01101001001011010010110110100101101001001011010010010110100101101101001011010010010110100101101101001011010010010110100101101101001011010010010110100100101101001011011010010110100100101101001011011010,01101001001011010010110110100101101001001011010010010110100101101101001011010010010110100101101101001011010010010110100101101101001011010010010110100100101101001011011010010110100100101101001011011010101010010101001000010111111010110001110011010101,01101001001011010010110110100101101001001011010010010110100101101101001011010010010110100101101101001011010010010110100101101101001011010010010110100100101101001011011010010110100100101101001011011010101010010101001000010111111010110001110011010101,01101001001011010010110110100101101001001011010010010110100101101101001011010010010110100101101101001011010010010110100101101101001011010010010110100100101101001011011010010110100100101101001011011010,TRUE_SUCCESS
K200_M255K207,36,6,01101001001011010010110110100101101001001011010010010110100101101101001011010010010110100101101101001011010010010110100101101101001011010010010110100100101101001011011010010110100100101101001011011010,01101001001011010010110110100101101001001011010010010110100101101101001011010010010110100101101101001011010010010110100101101101001011010010010110100100101101001011011010010110100100101101001011011010101010010101001000010111111010110001110011010101,01101001001011010010110010100101101001001011010010010110100111101101001011010010010110100101101101001011010010010110100101111101001011010010010110100100101101000011011010010110100100101101001011011110101010010101001000010111111010110011110011010101,01101001001011010010110110100101101001001011010010010110100101101101001011010010010110100101101101001011010010010110100101101101001011010010010110100100101101001011011010010110100100101101001011011010,TRUE_SUCCESS
K200_M511K421,0,0,01011010010010110100100101101001011011010010110100100101101001011011010010110100100101101001011011010010110100100101101001001011010010110110100101101001001011010010110110100101101001001011010010110110,01011010010010110100100101101001011011010010110100100101101001011011010010110100100101101001011011010010110100100101101001001011010010110110100101101001001011010010110110100101101001001011010010110110010100110000111011111011110010111100011010111001011000010011101110100001101010100010010011,01011010010010110100100101101001011011010010110100100101101001011011010010110100100101101001011011010010110100100101101001001011010010110110100101101001001011010010110110100101101001001011010010110110010100110000111011111011110010111100011010111001011000010011101110100001101010100010010011,01011010010010110100100101101001011011010010110100100101101001011011010010110100100101101001011011010010110100100101101001001011010010110110100101101001001011010010110110100101101001001011010010110110,TRUE_SUCCESS
K200_M511K421,60,10,01011010010010110100100101101001011011010010110100100101101001011011010010110100100101101001011011010010110100100101101001001011010010110110100101101001001011010010110110100101101001001011010010110110,01011010010010110100100101101001011011010010110100100101101001011011010010110100100101101001011011010010110100100101101001001011010010110110100101101001001011010010110110100101101001001011010010110110010100110000111011111011110010111100011010111001011000010011101110100001101010100010010011,01011010010010100100100101101001011011010010110100101101101001011011010010110100100101101101011011010010110100100101101001001001010010110110100101101001001010010011110110100101101001001011010010010110110100110000111011111011110010101100011010111001011000010011101110101001101010100010010011,01011010010010110100100101101001011011010010110100100101101001011011010010110100100101101001011011010010110100100101101001001011010010110110100101101001001011010010110110100101101001001011010010110110,TRUE_SUCCESS
K200_M511K385,0,0,10010010110100101101101001011010010010110100101101101001011010010010110100101101101001011010010010110100100101101001011011010010110100100101101001011011010010110100100101101001011011010010110100100101,10010010110100101101101001011010010010110100101101101001011010010010110100101101101001011010010010110100100101101001011011010010110100100101101001011011010010110100100101101001011011010010110100100101000101001001001000000001010101101100011101111010011101010100100011100101100110000100100010001100011101001011010011100111010011,10010010110100101101101001011010010010110100101101101001011010010010110100101101101001011010010010110100100101101001011011010010110100100101101001011011010010110100100101101001011011010010110100100101000101001001001000000001010101101100011101111010011101010100100011100101100110000100100010001100011101001011010011100111010011,10010010110100101101101001011010010010110100101101101001011010010010110100101101101001011010010010110100100101101001011011010010110100100101101001011011010010110100100101101001011011010010110100100101,TRUE_SUCCESS
K200_M511K385,84,14,10010010110100101101101001011010010010110100101101101001011010010010110100101101101001011010010010110100100101101001011011010010110100100101101001011011010010110100100101101001011011010010110100100101,10010010110100101101101001011010010010110100101101101001011010010010110100101101101001011010010010110100100101101001011011010010110100100101101001011011010010110100100101101001011011010010110100100101000101001001001000000001010101101100011101111010011101010100100011100101100110000100100010001100011101001011010011100111010011,10010010110100101101101001001010010010110100101101101001011010011010110100101101101001011010010010110000100101101001011011010010110000100111101001011011010010110100100111101000011011010010110100100101000100001001101000000001010101101100011101011010001101010100100011100101100110010100101010001100011101001011010011101111010011,10010010110100101101101001011010010010110100101101101001011010010010110100101101101001011010010010110100100101101001011011010010110100100101101001011011010010110100100101101001011011010010110100100101,TRUE_SUCCESS
K300_S15,0,0,001011010010110110100101101001001011010010110110100101101001001011010010010110100101101101001011010010010110100101101101001011010010010110100101101101001011010010010110100100101101001011011010010110100100101101001011011010010110100100101101001011011010010110100100101101001001011010010110110100101101,001011010011010011011010010111011010010011101011010010111011011010010111011010010010110100010010010110100010010110110001010010110100010010010110100010010110110101100010110100100111010110100100111110110100101110110100100101001110100100101001110100101100101110100101100101100100101101000100101101100010100101101000100100101101000100101101101001011101101001001110101101001001110101101001011101101101001011101101000000000110,001011010011010011011010010111011010010011101011010010111011011010010111011010010010110100010010010110100010010110110001010010110100010010010110100010010110110101100010110100100111010110100100111110110100101110110100100101001110100100101001110100101100101110100101100101100100101101000100101101100010100101101000100100101101000100101101101001011101101001001110101101001001110101101001011101101101001011101101000000000110,001011010010110110100101101001001011010010110110100101101001001011010010010110100101101101001011010010010110100101101101001011010010010110100101101101001011010010010110100100101101001011011010010110100100101101001011011010010110100100101101001011011010010110100100101101001001011010010110110100101101,TRUE_SUCCESS
K300_S15,6,1,001011010010110110100101101001001011010010110110100101101001001011010010010110100101101101001011010010010110100101101101001011010010010110100101101101001011010010010110100100101101001011011010010110100100101101001011011010010110100100101101001011011010010110100100101101001001011010010110110100101101,001011010011010011011010010111011010010011101011010010111011011010010111011010010010110100010010010110100010010110110001010010110100010010010110100010010110110101100010110100100111010110100100111110110100101110110100100101001110100100101001110100101100101110100101100101100100101101000100101101100010100101101000100100101101000100101101101001011101101001001110101101001001110101101001011101101101001011101101000000000110,001001010011010011011010010111011010010011101011010010111011011010010111011010010010110100010010010110100010010110110001010010110100010010010110100010010110110101100010110100100111010110100100111110110100101110110100100101001110100100101001110100101100101110100101100101100100101101000100101101100010100101101000100100101101000100101101101001011101101001001110101101001001110101101001011101101101001011101101000000000110,001011010010110110100101101001001011010010110110100101101001001011010010010110100101101101001011010010010110100101101101001011010010010110100101101101001011010010010110100100101101001011011010010110100100101101001011011010010110100100101101001011011010010110100100101101001001011010010110110100101101,TRUE_SUCCESS
