caseId,totalPatterns,TRUE_SUCCESS,DETECTED_FAILURE,MISCORRECTION,UNDETECTED_ERROR,INVALID_CONFIGURATION,withinCapabilityFailures,stopReason
K200_S15,379,157,0,222,0,0,0,ERROR_CAPABILITY_FIXED_CASES
K200_M255K207,49,39,10,0,0,0,0,ERROR_CAPABILITY_FIXED_CASES
K200_M511K421,73,63,10,0,0,0,0,ERROR_CAPABILITY_FIXED_CASES
K200_M511K385,97,87,10,0,0,0,0,ERROR_CAPABILITY_FIXED_CASES
K300_S15,550,220,0,330,0,0,0,ERROR_CAPABILITY_FIXED_CASES
K300_M255K207,99,79,20,0,0,0,0,ERROR_CAPABILITY_FIXED_CASES
K300_M511K421,73,63,10,0,0,0,0,ERROR_CAPABILITY_FIXED_CASES
K300_M511K385,97,87,10,0,0,0,0,ERROR_CAPABILITY_FIXED_CASES
