scheme,configuration,channelCondition,interleaver,payloadBits,encodedBits,actualRate,EsN0Db,BER,FER,decodeLatencyNs,complexity,sourceCsv,sourceRowKey,comparisonRole
CC,CC_NO_BURST_AWGN,NO_BURST_AWGN,NONE,300,612,0.49019607843137253,-5,0.39586333333333334,1,329812.50000000012,306_TRELLIS_STEPS_64_STATES_NO_COMMON_OPERATION_COUNT,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\CC\simulation\stages\S3\stage09_awgn_formal\results\stage09_two_level_merged_point_results.csv,merged-039,NO_BURST_AWGN_REFERENCE
CC,CC_NO_BURST_AWGN,NO_BURST_AWGN,NONE,300,612,0.49019607843137253,-4.5,0.34947,1,345692.40000000043,306_TRELLIS_STEPS_64_STATES_NO_COMMON_OPERATION_COUNT,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\CC\simulation\stages\S3\stage09_awgn_formal\results\stage09_two_level_merged_point_results.csv,merged-040,NO_BURST_AWGN_REFERENCE
CC,CC_NO_BURST_AWGN,NO_BURST_AWGN,NONE,300,612,0.49019607843137253,-4,0.28938666666666668,1,341459.39999999979,306_TRELLIS_STEPS_64_STATES_NO_COMMON_OPERATION_COUNT,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\CC\simulation\stages\S3\stage09_awgn_formal\results\stage09_two_level_merged_point_results.csv,merged-041,NO_BURST_AWGN_REFERENCE
CC,CC_NO_BURST_AWGN,NO_BURST_AWGN,NONE,300,612,0.49019607843137253,-3.5,0.21664666666666665,0.996,338698.50000000017,306_TRELLIS_STEPS_64_STATES_NO_COMMON_OPERATION_COUNT,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\CC\simulation\stages\S3\stage09_awgn_formal\results\stage09_two_level_merged_point_results.csv,merged-042,NO_BURST_AWGN_REFERENCE
CC,CC_NO_BURST_AWGN,NO_BURST_AWGN,NONE,300,612,0.49019607843137253,-3,0.14286666666666667,0.97399999999999998,346988.39999999997,306_TRELLIS_STEPS_64_STATES_NO_COMMON_OPERATION_COUNT,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\CC\simulation\stages\S3\stage09_awgn_formal\results\stage09_two_level_merged_point_results.csv,merged-043,NO_BURST_AWGN_REFERENCE
CC,CC_NO_BURST_AWGN,NO_BURST_AWGN,NONE,300,612,0.49019607843137253,-2.5,0.081656666666666669,0.89600000000000002,336808.69999999978,306_TRELLIS_STEPS_64_STATES_NO_COMMON_OPERATION_COUNT,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\CC\simulation\stages\S3\stage09_awgn_formal\results\stage09_two_level_merged_point_results.csv,merged-044,NO_BURST_AWGN_REFERENCE
CC,CC_NO_BURST_AWGN,NO_BURST_AWGN,NONE,300,612,0.49019607843137253,-2,0.035366000000000002,0.64980000000000004,519294.14000000007,306_TRELLIS_STEPS_64_STATES_NO_COMMON_OPERATION_COUNT,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\CC\simulation\stages\S3\stage09_awgn_formal\results\stage09_two_level_merged_point_results.csv,merged-045,NO_BURST_AWGN_REFERENCE
CC,CC_NO_BURST_AWGN,NO_BURST_AWGN,NONE,300,612,0.49019607843137253,-1.5,0.014286666666666666,0.371,359106.40000000066,306_TRELLIS_STEPS_64_STATES_NO_COMMON_OPERATION_COUNT,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\CC\simulation\stages\S3\stage09_awgn_formal\results\stage09_two_level_merged_point_results.csv,merged-048,NO_BURST_AWGN_REFERENCE
CC,CC_NO_BURST_AWGN,NO_BURST_AWGN,NONE,300,612,0.49019607843137253,-1,0.0048893333333333332,0.1774,490639.21999999898,306_TRELLIS_STEPS_64_STATES_NO_COMMON_OPERATION_COUNT,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\CC\simulation\stages\S3\stage09_awgn_formal\results\stage09_two_level_merged_point_results.csv,merged-051,NO_BURST_AWGN_REFERENCE
CC,CC_NO_BURST_AWGN,NO_BURST_AWGN,NONE,300,612,0.49019607843137253,-0.5,0.0015425158116654954,0.070274068868587489,344711.03302881232,306_TRELLIS_STEPS_64_STATES_NO_COMMON_OPERATION_COUNT,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\CC\simulation\stages\S3\stage09_awgn_formal\results\stage09_two_level_merged_point_results.csv,merged-054,NO_BURST_AWGN_REFERENCE
CC,CC_NO_BURST_AWGN,NO_BURST_AWGN,NONE,300,612,0.49019607843137253,0,0.00035669975186104221,0.020678246484698098,520310.4321753527,306_TRELLIS_STEPS_64_STATES_NO_COMMON_OPERATION_COUNT,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\CC\simulation\stages\S3\stage09_awgn_formal\results\stage09_two_level_merged_point_results.csv,merged-057,NO_BURST_AWGN_REFERENCE
CC,CC_NO_BURST_AWGN,NO_BURST_AWGN,NONE,300,612,0.49019607843137253,0.5,7.2926608423267997e-05,0.0048944032498837581,423737.96343880479,306_TRELLIS_STEPS_64_STATES_NO_COMMON_OPERATION_COUNT,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\CC\simulation\stages\S3\stage09_awgn_formal\results\stage09_two_level_merged_point_results.csv,merged-058,NO_BURST_AWGN_REFERENCE
