scheme,algorithm,coreComputationScale,algorithmSpecificMetric,measuredDecodeTimeNsWeighted,commonOperationCount,interpretation
CC,TERMINATED_FLOAT_SOFT_VITERBI,306 trellis steps; 64 states; branch metrics and ACS,N/A_NO_PUBLISHED_OPERATION_COUNT,428650.00524313963,N/A,software CPU time only; not hardware complexity
LDPC,DIRECT_LAYERED_NMS_ALPHA_0P80_MAXITER32,N=640; BG2; Zc=40; edgeCount=2240,weightedAvgIterations=1.76040428;weightedAvgEdgeMessageUpdates=3943.30558,93743.162075226137,N/A,algorithm-specific updates are not equated to Viterbi ACS
