caseName,sourcePayloadEbN0Db,attenuationDb,completeBlockage,blockageLength,blockageStartPolicy,processedFrames,processedPayloadBits,decodedBitErrors,decodedFrameErrors,BER,FER,aggregation
BCH-S200,6.2999999999999998,0,0,16,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1000000,1063,453,0.001063,0.0906,RAW_COUNTS
BCH-S200,6.2999999999999998,0,0,16,ON_SEGMENT_BOUNDARY,5000,1000000,1063,453,0.001063,0.0906,RAW_COUNTS
BCH-S200,6.2999999999999998,0,0,16,UNIFORM_RANDOM,5000,1000000,1063,453,0.001063,0.0906,RAW_COUNTS
BCH-S200,6.2999999999999998,0,0,20,FRAME_START,5000,1000000,1063,453,0.001063,0.0906,RAW_COUNTS
BCH-S200,6.2999999999999998,0,0,20,FRAME_MIDDLE,5000,1000000,1063,453,0.001063,0.0906,RAW_COUNTS
BCH-S200,6.2999999999999998,0,0,20,FRAME_END,5000,1000000,1063,453,0.001063,0.0906,RAW_COUNTS
BCH-S200,6.2999999999999998,0,0,20,SEGMENT_INTERIOR,5000,1000000,1063,453,0.001063,0.0906,RAW_COUNTS
BCH-S200,6.2999999999999998,0,0,20,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1000000,1063,453,0.001063,0.0906,RAW_COUNTS
BCH-S200,6.2999999999999998,0,0,20,ON_SEGMENT_BOUNDARY,5000,1000000,1063,453,0.001063,0.0906,RAW_COUNTS
BCH-S200,6.2999999999999998,0,0,20,UNIFORM_RANDOM,5000,1000000,1063,453,0.001063,0.0906,RAW_COUNTS
BCH-S200,6.2999999999999998,0,0,24,FRAME_START,5000,1000000,1063,453,0.001063,0.0906,RAW_COUNTS
BCH-S200,6.2999999999999998,0,0,24,FRAME_MIDDLE,5000,1000000,1063,453,0.001063,0.0906,RAW_COUNTS
BCH-S200,6.2999999999999998,0,0,24,FRAME_END,5000,1000000,1063,453,0.001063,0.0906,RAW_COUNTS
BCH-S200,6.2999999999999998,0,0,24,SEGMENT_INTERIOR,5000,1000000,1063,453,0.001063,0.0906,RAW_COUNTS
BCH-S200,6.2999999999999998,0,0,24,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1000000,1063,453,0.001063,0.0906,RAW_COUNTS
BCH-S200,6.2999999999999998,0,0,24,ON_SEGMENT_BOUNDARY,5000,1000000,1063,453,0.001063,0.0906,RAW_COUNTS
BCH-S200,6.2999999999999998,0,0,24,UNIFORM_RANDOM,5000,1000000,1063,453,0.001063,0.0906,RAW_COUNTS
BCH-S200,6.2999999999999998,0,0,29,FRAME_START,5000,1000000,1063,453,0.001063,0.0906,RAW_COUNTS
BCH-S200,6.2999999999999998,0,0,29,FRAME_MIDDLE,5000,1000000,1063,453,0.001063,0.0906,RAW_COUNTS
BCH-S200,6.2999999999999998,0,0,29,FRAME_END,5000,1000000,1063,453,0.001063,0.0906,RAW_COUNTS
BCH-S200,6.2999999999999998,0,0,29,SEGMENT_INTERIOR,5000,1000000,1063,453,0.001063,0.0906,RAW_COUNTS
BCH-S200,6.2999999999999998,0,0,29,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1000000,1063,453,0.001063,0.0906,RAW_COUNTS
BCH-S200,6.2999999999999998,0,0,29,ON_SEGMENT_BOUNDARY,5000,1000000,1063,453,0.001063,0.0906,RAW_COUNTS
BCH-S200,6.2999999999999998,0,0,29,UNIFORM_RANDOM,5000,1000000,1063,453,0.001063,0.0906,RAW_COUNTS
BCH-S200,6.2999999999999998,0,0,30,FRAME_START,5000,1000000,1063,453,0.001063,0.0906,RAW_COUNTS
BCH-S200,6.2999999999999998,0,0,30,FRAME_MIDDLE,5000,1000000,1063,453,0.001063,0.0906,RAW_COUNTS
BCH-S200,6.2999999999999998,0,0,30,FRAME_END,5000,1000000,1063,453,0.001063,0.0906,RAW_COUNTS
BCH-S200,6.2999999999999998,0,0,30,SEGMENT_INTERIOR,5000,1000000,1063,453,0.001063,0.0906,RAW_COUNTS
BCH-S200,6.2999999999999998,0,0,30,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1000000,1063,453,0.001063,0.0906,RAW_COUNTS
BCH-S200,6.2999999999999998,0,0,30,ON_SEGMENT_BOUNDARY,5000,1000000,1063,453,0.001063,0.0906,RAW_COUNTS
BCH-S200,6.2999999999999998,0,0,30,UNIFORM_RANDOM,5000,1000000,1063,453,0.001063,0.0906,RAW_COUNTS
BCH-S200,6.2999999999999998,0,0,31,FRAME_START,5000,1000000,1063,453,0.001063,0.0906,RAW_COUNTS
BCH-S200,6.2999999999999998,0,0,31,FRAME_MIDDLE,5000,1000000,1063,453,0.001063,0.0906,RAW_COUNTS
BCH-S200,6.2999999999999998,0,0,31,FRAME_END,5000,1000000,1063,453,0.001063,0.0906,RAW_COUNTS
BCH-S200,6.2999999999999998,0,0,31,SEGMENT_INTERIOR,5000,1000000,1063,453,0.001063,0.0906,RAW_COUNTS
BCH-S200,6.2999999999999998,0,0,31,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1000000,1063,453,0.001063,0.0906,RAW_COUNTS
BCH-S200,6.2999999999999998,0,0,31,ON_SEGMENT_BOUNDARY,5000,1000000,1063,453,0.001063,0.0906,RAW_COUNTS
BCH-S200,6.2999999999999998,0,0,31,UNIFORM_RANDOM,5000,1000000,1063,453,0.001063,0.0906,RAW_COUNTS
BCH-S200,6.2999999999999998,0,0,32,FRAME_START,5000,1000000,1063,453,0.001063,0.0906,RAW_COUNTS
BCH-S200,6.2999999999999998,0,0,32,FRAME_MIDDLE,5000,1000000,1063,453,0.001063,0.0906,RAW_COUNTS
BCH-S200,6.2999999999999998,0,0,32,FRAME_END,5000,1000000,1063,453,0.001063,0.0906,RAW_COUNTS
BCH-S200,6.2999999999999998,0,0,32,SEGMENT_INTERIOR,5000,1000000,1063,453,0.001063,0.0906,RAW_COUNTS
BCH-S200,6.2999999999999998,0,0,32,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1000000,1063,453,0.001063,0.0906,RAW_COUNTS
BCH-S200,6.2999999999999998,0,0,32,ON_SEGMENT_BOUNDARY,5000,1000000,1063,453,0.001063,0.0906,RAW_COUNTS
BCH-S200,6.2999999999999998,0,0,32,UNIFORM_RANDOM,5000,1000000,1063,453,0.001063,0.0906,RAW_COUNTS
BCH-S200,6.2999999999999998,0,0,48,FRAME_START,5000,1000000,1063,453,0.001063,0.0906,RAW_COUNTS
BCH-S200,6.2999999999999998,0,0,48,FRAME_MIDDLE,5000,1000000,1063,453,0.001063,0.0906,RAW_COUNTS
BCH-S200,6.2999999999999998,0,0,48,FRAME_END,5000,1000000,1063,453,0.001063,0.0906,RAW_COUNTS
BCH-S200,6.2999999999999998,0,0,48,SEGMENT_INTERIOR,5000,1000000,1063,453,0.001063,0.0906,RAW_COUNTS
BCH-S200,6.2999999999999998,0,0,48,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1000000,1063,453,0.001063,0.0906,RAW_COUNTS
BCH-S200,6.2999999999999998,0,0,48,ON_SEGMENT_BOUNDARY,5000,1000000,1063,453,0.001063,0.0906,RAW_COUNTS
BCH-S200,6.2999999999999998,0,0,48,UNIFORM_RANDOM,5000,1000000,1063,453,0.001063,0.0906,RAW_COUNTS
BCH-S200,6.2999999999999998,0,0,64,FRAME_START,5000,1000000,1063,453,0.001063,0.0906,RAW_COUNTS
BCH-S200,6.2999999999999998,0,0,64,FRAME_MIDDLE,5000,1000000,1063,453,0.001063,0.0906,RAW_COUNTS
BCH-S200,6.2999999999999998,0,0,64,FRAME_END,5000,1000000,1063,453,0.001063,0.0906,RAW_COUNTS
BCH-S200,6.2999999999999998,0,0,64,SEGMENT_INTERIOR,5000,1000000,1063,453,0.001063,0.0906,RAW_COUNTS
BCH-S200,6.2999999999999998,0,0,64,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1000000,1063,453,0.001063,0.0906,RAW_COUNTS
BCH-S200,6.2999999999999998,0,0,64,ON_SEGMENT_BOUNDARY,5000,1000000,1063,453,0.001063,0.0906,RAW_COUNTS
BCH-S200,6.2999999999999998,0,0,64,UNIFORM_RANDOM,5000,1000000,1063,453,0.001063,0.0906,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,1,FRAME_START,5000,1000000,1193,501,0.001193,0.1002,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,1,FRAME_MIDDLE,5000,1000000,1192,503,0.001192,0.1006,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,1,FRAME_END,5000,1000000,1079,467,0.001079,0.0934,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,1,SEGMENT_INTERIOR,5000,1000000,1168,494,0.001168,0.0988,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,1,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1000000,1137,491,0.001137,0.0982,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,1,ON_SEGMENT_BOUNDARY,5000,1000000,1177,493,0.001177,0.0986,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,1,UNIFORM_RANDOM,5000,1000000,1171,496,0.001171,0.0992,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,2,FRAME_START,5000,1000000,1407,594,0.001407,0.1188,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,2,FRAME_MIDDLE,5000,1000000,1461,587,0.001461,0.1174,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,2,FRAME_END,5000,1000000,1088,475,0.001088,0.095,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,2,SEGMENT_INTERIOR,5000,1000000,1382,560,0.001382,0.112,RAW_COUNTS
