actualLength,estimatedBpUsPerFrame,estimatedNmsUsPerFrame,worstFramesPerSnr,serialWorstSeconds,estimatedRuntimeDiskMiB
480,225.5514,35.82833333333335,50000,405.13858666666664,150
560,253.28903999999997,49.68226666666665,50000,469.60552533333333,150
640,2143.5729999999994,586.1110799999998,50000,4231.010323999999,150
