column,required
caseId,true
targetLength,true
actualLength,true
actualRate,true
Zc,true
fillerLength,true
rankHp,true
algorithm,true
alpha,true
snrDefinition,true
snrDb,true
esN0Db,true
ebN0Db,true
sigmaSquared,true
frames,true
bitErrors,true
frameErrors,true
BER,true
FER,true
berCiLow,true
berCiHigh,true
ferCiLow,true
ferCiHigh,true
zeroBitErrorPoint,true
zeroFrameErrorPoint,true
berUpper95,true
ferUpper95,true
avgIterations,true
medianIterations,true
p95Iterations,true
maxUsedIterations,true
earlyStopRate,true
maxIterationRate,true
avgDecodeTimeUs,true
medianDecodeTimeUs,true
p95DecodeTimeUs,true
maxDecodeTimeUs,true
avgFinalSyndromeWeight,true
validCodewordRate,true
correctValidFrames,true
wrongValidFrames,true
correctInvalidFrames,true
wrongInvalidFrames,true
wrongValidRate,true
edgeCount,true
checkNodeUpdates,true
variableNodeUpdates,true
messageUpdates,true
tanhOperations,true
atanhOperations,true
absOperations,true
comparisonOperations,true
min1Min2Updates,true
signOperations,true
alphaMultiplications,true
avgEdgeMessageUpdates,true
avgTheoreticalOperationCount,true
decoderMemoryBytes,true
payloadSeed,true
noiseSeed,true
noiseGroupId,true
payloadHash,true
codewordHash,true
llrHash,true
frameStart,true
frameEnd,true
runId,true
maxIterations,true
earlyStopPolicy,true
minFrames,true
targetFrameErrors,true
maxFrames,true
stopReason,true
checkpointResumeCount,true
codeCommit,true
configHash,true
status,true
