caseName,payloadLength,encodedLength,frameRate,organization,decoderType
BCH-S200,200,285,0.701754,SEGMENTED,SYNDROME_LOOKUP
BCH-B200,200,248,0.806452,WHOLE_BLOCK_SHORTENED,BERLEKAMP_MASSEY_CHIEN
BCH-S300,300,420,0.714286,SEGMENTED,SYNDROME_LOOKUP
BCH-B300,300,390,0.769231,WHOLE_BLOCK_SHORTENED,BERLEKAMP_MASSEY_CHIEN
