stageId,gitCommit,configHash,caseId,displayName,payloadLength,motherN,motherK,motherT,blockCount,encodedLength,actualRate,channelModelId,rawImpulseResponse,normalizedImpulseResponse,channelEnergy,equalizerType,solverType,waveformSnrIndex,waveformSnrDb,snrLinear,derivedEbn0Db,sigma2,masterSeed,totalFrames,totalPayloadBits,payloadErrorBits,payloadErrorFrames,decoderFailureFrames,miscorrectionFrames,undetectedErrorFrames,trueSuccessFrames,ber,fer,decoderFailureRate,miscorrectionRate,undetectedErrorRate,trueSuccessRate,encodeTimeTotalNs,channelTimeTotalNs,equalizeTimeTotalNs,hardDecisionTimeTotalNs,decodeTimeTotalNs,encodeTimeMeanNs,channelTimeMeanNs,equalizeTimeMeanNs,hardDecisionTimeMeanNs,decodeTimeMeanNs,decodeTimeP50Ns,decodeTimeP95Ns,decodeTimeP99Ns,decodeTimeMaxNs,equalizeTimeP50Ns,equalizeTimeP95Ns,equalizeTimeP99Ns,equalizeTimeMaxNs,solverResidualMean,solverResidualMax,stopReason,checkpointId,shardId,gridType
stage08_multipath_formal_common_snr,a251a4f1d4cfb87fd01e99da592a8ae9a9bfe790,BC8C55A2713D7A06EBAA8A6EDD34813874918E3535AC4C23C9BAE7ABA7755784,K200_S15,"BCH15分块200",200,15,11,1,19,285,0.70175438596491224,S2_FIXED_REAL_FIR_V1,"1;0.65;0;0.35","0.80451798670912955;0.52293669136093424;0;0.28158129534819532",0.99999999999999989,BLOCK_LINEAR_MMSE,BANDED_CHOLESKY_NORMAL_EQUATIONS,21,10.5,11.220184543019636,9.0278486868054788,0.089125093813374537,8080808,1000,200000,825,295,0,295,295,705,0.0041250000000000002,0.29499999999999998,0,0.29499999999999998,0.29499999999999998,0.70499999999999996,5331500,3121200,8679800,660400,10774900,5331.5,3121.1999999999998,8679.7999999999993,660.39999999999998,10774.9,9300,13800,37200,463700,5200,6800,34300,1617300,1.7401665298683871e-16,2.1541204058885095e-16,TARGET_FRAME_ERRORS_REACHED,SHARD1_POINT_K200_S15_21,SHARD_1,BASE_0P5DB
stage08_multipath_formal_common_snr,a251a4f1d4cfb87fd01e99da592a8ae9a9bfe790,BC8C55A2713D7A06EBAA8A6EDD34813874918E3535AC4C23C9BAE7ABA7755784,K200_S15,"BCH15分块200",200,15,11,1,19,285,0.70175438596491224,S2_FIXED_REAL_FIR_V1,"1;0.65;0;0.35","0.80451798670912955;0.52293669136093424;0;0.28158129534819532",0.99999999999999989,BLOCK_LINEAR_MMSE,BANDED_CHOLESKY_NORMAL_EQUATIONS,23,11.5,14.12537544622754,10.027848686805479,0.070794578438413802,8080808,1064,212800,521,200,0,200,200,864,0.0024483082706766917,0.18796992481203006,0,0.18796992481203006,0.18796992481203006,0.81203007518796988,6902300,3551700,6834700,866500,14473100,6487.124060150376,3338.0639097744361,6423.5902255639094,814.37969924812035,13602.537593984962,10000,24500,95900,676000,5300,6800,43900,139500,1.6918041118152458e-16,2.0373954894821897e-16,TARGET_FRAME_ERRORS_REACHED,SHARD1_POINT_K200_S15_23,SHARD_1,BASE_0P5DB
stage08_multipath_formal_common_snr,a251a4f1d4cfb87fd01e99da592a8ae9a9bfe790,BC8C55A2713D7A06EBAA8A6EDD34813874918E3535AC4C23C9BAE7ABA7755784,K200_S15,"BCH15分块200",200,15,11,1,19,285,0.70175438596491224,S2_FIXED_REAL_FIR_V1,"1;0.65;0;0.35","0.80451798670912955;0.52293669136093424;0;0.28158129534819532",0.99999999999999989,BLOCK_LINEAR_MMSE,BANDED_CHOLESKY_NORMAL_EQUATIONS,25,12.5,17.782794100389228,11.027848686805479,0.056234132519034905,8080808,1935,387000,516,200,0,200,200,1735,0.0013333333333333333,0.10335917312661498,0,0.10335917312661498,0.10335917312661498,0.89664082687338498,7141100,4847700,9935900,1027900,15175100,3690.4909560723513,2505.2713178294575,5134.8320413436695,531.21447028423768,7842.4289405684758,6300,11600,20200,133700,4700,5700,7100,119000,1.8138639695681635e-16,2.1868352588436257e-16,TARGET_FRAME_ERRORS_REACHED,SHARD1_POINT_K200_S15_25,SHARD_1,BASE_0P5DB
stage08_multipath_formal_common_snr,a251a4f1d4cfb87fd01e99da592a8ae9a9bfe790,BC8C55A2713D7A06EBAA8A6EDD34813874918E3535AC4C23C9BAE7ABA7755784,K200_S15,"BCH15分块200",200,15,11,1,19,285,0.70175438596491224,S2_FIXED_REAL_FIR_V1,"1;0.65;0;0.35","0.80451798670912955;0.52293669136093424;0;0.28158129534819532",0.99999999999999989,BLOCK_LINEAR_MMSE,BANDED_CHOLESKY_NORMAL_EQUATIONS,27,13.5,22.387211385683401,12.027848686805479,0.0446683592150963,8080808,4970,994000,499,200,0,200,200,4770,0.00050201207243460761,0.040241448692152917,0,0.040241448692152917,0.040241448692152917,0.95975855130784704,23658400,12491300,27509000,3406200,45940600,4760.2414486921525,2513.3400402414486,5535.0100603621731,685.35211267605632,9243.5814889336016,9100,11900,25800,274700,5300,6500,13300,407000,1.7118703131160049e-16,2.0886260703363969e-16,TARGET_FRAME_ERRORS_REACHED,SHARD1_POINT_K200_S15_27,SHARD_1,BASE_0P5DB
stage08_multipath_formal_common_snr,a251a4f1d4cfb87fd01e99da592a8ae9a9bfe790,BC8C55A2713D7A06EBAA8A6EDD34813874918E3535AC4C23C9BAE7ABA7755784,K200_S15,"BCH15分块200",200,15,11,1,19,285,0.70175438596491224,S2_FIXED_REAL_FIR_V1,"1;0.65;0;0.35","0.80451798670912955;0.52293669136093424;0;0.28158129534819532",0.99999999999999989,BLOCK_LINEAR_MMSE,BANDED_CHOLESKY_NORMAL_EQUATIONS,29,14.5,28.183829312644534,13.027848686805479,0.035481338923357551,8080808,11551,2310200,482,200,0,200,200,11351,0.0002086399445935417,0.017314518223530431,0,0.017314518223530431,0.017314518223530431,0.98268548177646953,73898900,35470600,72768100,9281700,148253500,6397.6192537442648,3070.7817504977925,6299.7229677084233,803.54081897671199,12834.689637260843,9800,16400,51700,5118100,5300,6800,24900,455300,1.698221486078733e-16,2.0849609809240634e-16,TARGET_FRAME_ERRORS_REACHED,SHARD1_POINT_K200_S15_29,SHARD_1,BASE_0P5DB
stage08_multipath_formal_common_snr,a251a4f1d4cfb87fd01e99da592a8ae9a9bfe790,BC8C55A2713D7A06EBAA8A6EDD34813874918E3535AC4C23C9BAE7ABA7755784,K200_S15,"BCH15分块200",200,15,11,1,19,285,0.70175438596491224,S2_FIXED_REAL_FIR_V1,"1;0.65;0;0.35","0.80451798670912955;0.52293669136093424;0;0.28158129534819532",0.99999999999999989,BLOCK_LINEAR_MMSE,BANDED_CHOLESKY_NORMAL_EQUATIONS,31,15.5,35.481338923357548,14.027848686805479,0.028183829312644536,8080808,30480,6096000,473,200,0,200,200,30280,7.759186351706037e-05,0.0065616797900262466,0,0.0065616797900262466,0.0065616797900262466,0.9934383202099738,213164600,125825100,217740700,29518100,407958000,6993.5892388451448,4128.1200787401576,7143.7237532808394,968.44160104986872,13384.448818897637,10100,16700,62500,5382500,5700,8000,26000,1767900,1.716632679267077e-16,2.1667269255865574e-16,TARGET_FRAME_ERRORS_REACHED,SHARD1_POINT_K200_S15_31,SHARD_1,BASE_0P5DB
stage08_multipath_formal_common_snr,a251a4f1d4cfb87fd01e99da592a8ae9a9bfe790,BC8C55A2713D7A06EBAA8A6EDD34813874918E3535AC4C23C9BAE7ABA7755784,K200_S15,"BCH15分块200",200,15,11,1,19,285,0.70175438596491224,S2_FIXED_REAL_FIR_V1,"1;0.65;0;0.35","0.80451798670912955;0.52293669136093424;0;0.28158129534819532",0.99999999999999989,BLOCK_LINEAR_MMSE,BANDED_CHOLESKY_NORMAL_EQUATIONS,33,16.5,44.668359215096302,15.027848686805479,0.022387211385683402,8080808,50000,10000000,256,108,0,108,108,49892,2.5599999999999999e-05,0.00216,0,0.00216,0.00216,0.99783999999999995,340337400,176088900,370573300,66300300,906941900,6806.7479999999996,3521.7779999999998,7411.4660000000003,1326.0060000000001,18138.838,10200,17800,62000,165687100,5700,8000,28000,4955800,1.7188767356882958e-16,2.1246806586459521e-16,MAX_FRAMES_REACHED,SHARD1_POINT_K200_S15_33,SHARD_1,BASE_0P5DB
stage08_multipath_formal_common_snr,a251a4f1d4cfb87fd01e99da592a8ae9a9bfe790,BC8C55A2713D7A06EBAA8A6EDD34813874918E3535AC4C23C9BAE7ABA7755784,K200_S15,"BCH15分块200",200,15,11,1,19,285,0.70175438596491224,S2_FIXED_REAL_FIR_V1,"1;0.65;0;0.35","0.80451798670912955;0.52293669136093424;0;0.28158129534819532",0.99999999999999989,BLOCK_LINEAR_MMSE,BANDED_CHOLESKY_NORMAL_EQUATIONS,35,17.5,56.234132519034908,16.027848686805477,0.017782794100389229,8080808,50000,10000000,73,27,0,27,27,49973,7.3000000000000004e-06,0.00054000000000000001,0,0.00054000000000000001,0.00054000000000000001,0.99946000000000002,369214100,199214400,405380900,55357900,768264000,7384.2820000000002,3984.288,8107.6180000000004,1107.1579999999999,15365.280000000001,10300,20300,82800,19482200,5700,8200,30800,22920300,1.7267821520942786e-16,2.1730045117808053e-16,MAX_FRAMES_REACHED,SHARD1_POINT_K200_S15_35,SHARD_1,BASE_0P5DB
stage08_multipath_formal_common_snr,a251a4f1d4cfb87fd01e99da592a8ae9a9bfe790,BC8C55A2713D7A06EBAA8A6EDD34813874918E3535AC4C23C9BAE7ABA7755784,K200_M255K207,"BCH255整块200",200,255,207,6,1,248,0.80645161290322576,S2_FIXED_REAL_FIR_V1,"1;0.65;0;0.35","0.80451798670912955;0.52293669136093424;0;0.28158129534819532",0.99999999999999989,BLOCK_LINEAR_MMSE,BANDED_CHOLESKY_NORMAL_EQUATIONS,0,0,1,-2.0760831050174611,1,8080808,1000,200000,37662,1000,998,2,2,0,0.18831000000000001,1,0.998,0.002,0.002,0,16584300,8441100,17146500,3132900,80107500,16584.299999999999,8441.1000000000004,17146.5,3132.9000000000001,80107.5,29900,183200,751300,7060400,5900,27800,192100,4557900,1.9644503552849889e-16,2.4204054322806264e-16,TARGET_FRAME_ERRORS_REACHED,SHARD1_POINT_K200_M255K207_0,SHARD_1,BASE_0P5DB
stage08_multipath_formal_common_snr,a251a4f1d4cfb87fd01e99da592a8ae9a9bfe790,BC8C55A2713D7A06EBAA8A6EDD34813874918E3535AC4C23C9BAE7ABA7755784,K200_M255K207,"BCH255整块200",200,255,207,6,1,248,0.80645161290322576,S2_FIXED_REAL_FIR_V1,"1;0.65;0;0.35","0.80451798670912955;0.52293669136093424;0;0.28158129534819532",0.99999999999999989,BLOCK_LINEAR_MMSE,BANDED_CHOLESKY_NORMAL_EQUATIONS,2,1,1.2589254117941673,-1.0760831050174611,0.79432823472428149,8080808,1000,200000,32599,1000,998,2,2,0,0.162995,1,0.998,0.002,0.002,0,6256400,2626200,5524900,731200,28214700,6256.3999999999996,2626.1999999999998,5524.8999999999996,731.20000000000005,28214.700000000001,25700,38900,85700,281500,5300,7000,7600,65300,1.7430092174081708e-16,2.1941172689770988e-16,TARGET_FRAME_ERRORS_REACHED,SHARD1_POINT_K200_M255K207_2,SHARD_1,BASE_0P5DB
