caseId,targetLength,actualLength,actualRate,Zc,fillerLength,rankHp,algorithm,alpha,snrDefinition,snrDb,esN0Db,ebN0Db,sigmaSquared,frames,bitErrors,frameErrors,BER,FER,berCiLow,berCiHigh,ferCiLow,ferCiHigh,zeroBitErrorPoint,zeroFrameErrorPoint,berUpper95,ferUpper95,avgIterations,medianIterations,p95Iterations,maxUsedIterations,earlyStopRate,maxIterationRate,avgDecodeTimeUs,medianDecodeTimeUs,p95DecodeTimeUs,maxDecodeTimeUs,avgFinalSyndromeWeight,validCodewordRate,correctValidFrames,wrongValidFrames,correctInvalidFrames,wrongInvalidFrames,wrongValidRate,edgeCount,checkNodeUpdates,variableNodeUpdates,messageUpdates,tanhOperations,atanhOperations,absOperations,comparisonOperations,min1Min2Updates,signOperations,alphaMultiplications,atanhClampCount,llrClampCount,messageClampCount,nanInfCount,avgEdgeMessageUpdates,avgTheoreticalOperationCount,decoderMemoryBytes,payloadSeed,noiseSeed,noiseGroupId,payloadHash,codewordHash,llrHash,frameStart,frameEnd,runId,maxIterations,earlyStopPolicy,minFrames,targetFrameErrors,maxFrames,stopReason,checkpointResumeCount,codeCommit,configHash,status,payloadLength,kb,nb,mb,informationCapacity,parityLength,rankH,metadataSource
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_NMS,0.95,Es/N0,-5.0,-5.0,-2.958800173440752,1.5811388300841895,1000,66020,1000,0.22006666666666666,1.0,0.21858776094556132,0.2215527413117918,0.996173241514445,1.0,false,false,9.985724387484574e-06,0.0029912495450953314,27.105,32.0,32.0,32,0.17,0.83,339.3368,362.9,522.7649999999998,6814.3,2.207,0.17,0,170,0,830,0.17,672,2602080,18214560,18214560,0,0,18214560,36429120,10889419,18214560,18214560,0,0,0,0,18214.56,120176.779,9696,2026072001,2026073001,480,14894215742951263112,4201504928167717252,17154291347461800130,100000,100999,140001,32,SYNDROME_AFTER_FULL_ITERATION,1000,200,50000,TARGET_FRAME_ERRORS_REACHED,0,989d8b590d858a01457df3c60d05012d79c30363,7c571bfd784eb622ed7b51fbd286473bdf226b970668e6c605e5c4ebd0e1547e,PASS,300,8,10,2,384,96,96,stage14_formal_case_config.csv
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_SPA_BP,0.0,Es/N0,-5.0,-5.0,-2.958800173440752,1.5811388300841895,1000,63380,1000,0.21126666666666666,1.0,0.20980964486502415,0.21273108275502736,0.996173241514445,1.0,false,false,9.985724387484574e-06,0.0029912495450953314,32.0,32.0,32.0,32,0.0,1.0,1791.5815,1532.95,3473.9399999999996,30296.1,37.493,0.0,0,0,0,1000,0.0,672,3072000,21504000,21504000,43008000,21504000,0,0,0,0,0,0,0,0,0,21504.0,86016.0,9696,2026072001,2026073001,480,14894215742951263112,4201504928167717252,17154291347461800130,100000,100999,140001,32,SYNDROME_AFTER_FULL_ITERATION,1000,200,50000,TARGET_FRAME_ERRORS_REACHED,0,989d8b590d858a01457df3c60d05012d79c30363,7c571bfd784eb622ed7b51fbd286473bdf226b970668e6c605e5c4ebd0e1547e,PASS,300,8,10,2,384,96,96,stage14_formal_case_config.csv
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_NMS,0.95,Es/N0,-4.5,-4.5,-2.458800173440752,1.4091914656322269,1000,61854,1000,0.20618,1.0,0.20473608940632318,0.2076314351468639,0.996173241514445,1.0,false,false,9.985724387484574e-06,0.0029912495450953314,26.984,32.0,32.0,32,0.174,0.826,366.0401,366.45,510.37999999999965,36430.1,2.223,0.174,0,174,0,826,0.174,672,2590464,18133248,18133248,0,0,18133248,36266496,10836985,18133248,18133248,0,0,0,0,18133.248,119636.473,9696,2026072001,2026073001,480,14894215742951263112,4201504928167717252,7827348749082395017,100000,100999,140001,32,SYNDROME_AFTER_FULL_ITERATION,1000,200,50000,TARGET_FRAME_ERRORS_REACHED,0,989d8b590d858a01457df3c60d05012d79c30363,7c571bfd784eb622ed7b51fbd286473bdf226b970668e6c605e5c4ebd0e1547e,PASS,300,8,10,2,384,96,96,stage14_formal_case_config.csv
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_SPA_BP,0.0,Es/N0,-4.5,-4.5,-2.458800173440752,1.4091914656322269,1000,59168,1000,0.19722666666666666,1.0,0.19580668919596672,0.19865439798002638,0.996173241514445,1.0,false,false,9.985724387484574e-06,0.0029912495450953314,32.0,32.0,32.0,32,0.0,1.0,1808.272,1553.3,3121.874999999993,27147.2,35.385,0.0,0,0,0,1000,0.0,672,3072000,21504000,21504000,43008000,21504000,0,0,0,0,0,0,0,0,0,21504.0,86016.0,9696,2026072001,2026073001,480,14894215742951263112,4201504928167717252,7827348749082395017,100000,100999,140001,32,SYNDROME_AFTER_FULL_ITERATION,1000,200,50000,TARGET_FRAME_ERRORS_REACHED,0,989d8b590d858a01457df3c60d05012d79c30363,7c571bfd784eb622ed7b51fbd286473bdf226b970668e6c605e5c4ebd0e1547e,PASS,300,8,10,2,384,96,96,stage14_formal_case_config.csv
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_NMS,0.95,Es/N0,-4.0,-4.0,-1.958800173440752,1.2559432157547903,1000,57491,1000,0.19163666666666668,1.0,0.19023220550041378,0.19304902483211164,0.996173241514445,1.0,false,false,9.985724387484574e-06,0.0029912495450953314,27.263,32.0,32.0,32,0.164,0.836,431.179,357.75,622.8599999999999,40504.3,2.16,0.164,0,164,0,836,0.164,672,2617248,18320736,18320736,0,0,18320736,36641472,10948162,18320736,18320736,0,0,0,0,18320.736,120872.578,9696,2026072001,2026073001,480,14894215742951263112,4201504928167717252,17783482370384884471,100000,100999,140001,32,SYNDROME_AFTER_FULL_ITERATION,1000,200,50000,TARGET_FRAME_ERRORS_REACHED,0,989d8b590d858a01457df3c60d05012d79c30363,7c571bfd784eb622ed7b51fbd286473bdf226b970668e6c605e5c4ebd0e1547e,PASS,300,8,10,2,384,96,96,stage14_formal_case_config.csv
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_SPA_BP,0.0,Es/N0,-4.0,-4.0,-1.958800173440752,1.2559432157547903,1000,54836,1000,0.18278666666666665,1.0,0.18140771462105834,0.18417374235463532,0.996173241514445,1.0,false,false,9.985724387484574e-06,0.0029912495450953314,32.0,32.0,32.0,32,0.0,1.0,1828.4806999999998,1565.0,3291.4849999999988,44860.1,33.0,0.0,0,0,0,1000,0.0,672,3072000,21504000,21504000,43008000,21504000,0,0,0,0,0,0,0,0,0,21504.0,86016.0,9696,2026072001,2026073001,480,14894215742951263112,4201504928167717252,17783482370384884471,100000,100999,140001,32,SYNDROME_AFTER_FULL_ITERATION,1000,200,50000,TARGET_FRAME_ERRORS_REACHED,0,989d8b590d858a01457df3c60d05012d79c30363,7c571bfd784eb622ed7b51fbd286473bdf226b970668e6c605e5c4ebd0e1547e,PASS,300,8,10,2,384,96,96,stage14_formal_case_config.csv
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_NMS,0.95,Es/N0,-3.5,-3.5,-1.458800173440752,1.1193605692841697,1000,52885,1000,0.17628333333333332,1.0,0.17492389647880352,0.17765106037667217,0.996173241514445,1.0,false,false,9.985724387484574e-06,0.0029912495450953314,27.346,32.0,32.0,32,0.161,0.839,338.7566,356.5,469.5399999999994,11327.6,2.186,0.161,0,161,0,839,0.161,672,2625216,18376512,18376512,0,0,18376512,36753024,10988496,18376512,18376512,0,0,0,0,18376.512,121247.568,9696,2026072001,2026073001,480,14894215742951263112,4201504928167717252,131213778759573648,100000,100999,140001,32,SYNDROME_AFTER_FULL_ITERATION,1000,200,50000,TARGET_FRAME_ERRORS_REACHED,0,989d8b590d858a01457df3c60d05012d79c30363,7c571bfd784eb622ed7b51fbd286473bdf226b970668e6c605e5c4ebd0e1547e,PASS,300,8,10,2,384,96,96,stage14_formal_case_config.csv
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_SPA_BP,0.0,Es/N0,-3.5,-3.5,-1.458800173440752,1.1193605692841697,1000,50404,1000,0.16801333333333332,1.0,0.16667970502735824,0.16935546361783516,0.996173241514445,1.0,false,false,9.985724387484574e-06,0.0029912495450953314,32.0,32.0,32.0,32,0.0,1.0,1975.4386000000002,1592.25,3438.079999999998,47718.4,30.447,0.0,0,0,0,1000,0.0,672,3072000,21504000,21504000,43008000,21504000,0,0,0,0,0,0,0,0,0,21504.0,86016.0,9696,2026072001,2026073001,480,14894215742951263112,4201504928167717252,131213778759573648,100000,100999,140001,32,SYNDROME_AFTER_FULL_ITERATION,1000,200,50000,TARGET_FRAME_ERRORS_REACHED,0,989d8b590d858a01457df3c60d05012d79c30363,7c571bfd784eb622ed7b51fbd286473bdf226b970668e6c605e5c4ebd0e1547e,PASS,300,8,10,2,384,96,96,stage14_formal_case_config.csv
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_NMS,0.95,Es/N0,-3.0,-3.0,-0.9588001734407521,0.9976311574844399,1000,48044,1000,0.16014666666666666,1.0,0.15883867421169284,0.16146336256076127,0.996173241514445,1.0,false,false,9.985724387484574e-06,0.0029912495450953314,27.182,32.0,32.0,32,0.167,0.833,335.08590000000004,366.65,498.02499999999986,8012.8,2.114,0.167,0,167,0,833,0.167,672,2609472,18266304,18266304,0,0,18266304,36532608,10920650,18266304,18266304,0,0,0,0,18266.304,120518.474,9696,2026072001,2026073001,480,14894215742951263112,4201504928167717252,10338987578846812084,100000,100999,140001,32,SYNDROME_AFTER_FULL_ITERATION,1000,200,50000,TARGET_FRAME_ERRORS_REACHED,0,989d8b590d858a01457df3c60d05012d79c30363,7c571bfd784eb622ed7b51fbd286473bdf226b970668e6c605e5c4ebd0e1547e,PASS,300,8,10,2,384,96,96,stage14_formal_case_config.csv
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_SPA_BP,0.0,Es/N0,-3.0,-3.0,-0.9588001734407521,0.9976311574844399,1000,45867,1000,0.15289,1.0,0.15160664969883295,0.15418223957914937,0.996173241514445,1.0,false,false,9.985724387484574e-06,0.0029912495450953314,32.0,32.0,32.0,32,0.0,1.0,1888.7721000000001,1608.75,3140.865,96393.3,27.684,0.0,0,0,0,1000,0.0,672,3072000,21504000,21504000,43008000,21504000,0,0,0,0,0,0,0,0,0,21504.0,86016.0,9696,2026072001,2026073001,480,14894215742951263112,4201504928167717252,10338987578846812084,100000,100999,140001,32,SYNDROME_AFTER_FULL_ITERATION,1000,200,50000,TARGET_FRAME_ERRORS_REACHED,0,989d8b590d858a01457df3c60d05012d79c30363,7c571bfd784eb622ed7b51fbd286473bdf226b970668e6c605e5c4ebd0e1547e,PASS,300,8,10,2,384,96,96,stage14_formal_case_config.csv
