actualLength,snrDb,algorithm,field,oldValue,newValue,changed
480,2.0,DIRECT_LAYERED_SPA_BP,targetLength,480,480,False
480,2.0,DIRECT_LAYERED_SPA_BP,actualLength,480,480,False
480,2.0,DIRECT_LAYERED_SPA_BP,actualRate,0.625,0.625,False
480,2.0,DIRECT_LAYERED_SPA_BP,Zc,40,48,True
480,2.0,DIRECT_LAYERED_SPA_BP,fillerLength,20,84,True
480,2.0,DIRECT_LAYERED_SPA_BP,rankHp,160,96,True
480,2.5,DIRECT_LAYERED_NMS,caseId,LDPC_BG2_K300_N480,LDPC_BG2_K300_N480,True
480,2.5,DIRECT_LAYERED_NMS,targetLength,480,480,False
480,2.5,DIRECT_LAYERED_NMS,actualLength,480,480,False
480,2.5,DIRECT_LAYERED_NMS,actualRate,0.625,0.625,False
480,2.5,DIRECT_LAYERED_NMS,Zc,40,48,True
480,2.5,DIRECT_LAYERED_NMS,fillerLength,20,84,True
480,2.5,DIRECT_LAYERED_NMS,rankHp,160,96,True
480,2.5,DIRECT_LAYERED_SPA_BP,caseId,LDPC_BG2_K300_N480,LDPC_BG2_K300_N480,True
480,2.5,DIRECT_LAYERED_SPA_BP,targetLength,480,480,False
480,2.5,DIRECT_LAYERED_SPA_BP,actualLength,480,480,False
480,2.5,DIRECT_LAYERED_SPA_BP,actualRate,0.625,0.625,False
480,2.5,DIRECT_LAYERED_SPA_BP,Zc,40,48,True
480,2.5,DIRECT_LAYERED_SPA_BP,fillerLength,20,84,True
480,2.5,DIRECT_LAYERED_SPA_BP,rankHp,160,96,True
480,3.0,DIRECT_LAYERED_NMS,caseId,LDPC_BG2_K300_N480,LDPC_BG2_K300_N480,True
480,3.0,DIRECT_LAYERED_NMS,targetLength,480,480,False
480,3.0,DIRECT_LAYERED_NMS,actualLength,480,480,False
480,3.0,DIRECT_LAYERED_NMS,actualRate,0.625,0.625,False
480,3.0,DIRECT_LAYERED_NMS,Zc,40,48,True
480,3.0,DIRECT_LAYERED_NMS,fillerLength,20,84,True
480,3.0,DIRECT_LAYERED_NMS,rankHp,160,96,True
480,3.0,DIRECT_LAYERED_SPA_BP,caseId,LDPC_BG2_K300_N480,LDPC_BG2_K300_N480,True
480,3.0,DIRECT_LAYERED_SPA_BP,targetLength,480,480,False
480,3.0,DIRECT_LAYERED_SPA_BP,actualLength,480,480,False
480,3.0,DIRECT_LAYERED_SPA_BP,actualRate,0.625,0.625,False
480,3.0,DIRECT_LAYERED_SPA_BP,Zc,40,48,True
480,3.0,DIRECT_LAYERED_SPA_BP,fillerLength,20,84,True
480,3.0,DIRECT_LAYERED_SPA_BP,rankHp,160,96,True
480,3.5,DIRECT_LAYERED_NMS,caseId,LDPC_BG2_K300_N480,LDPC_BG2_K300_N480,True
480,3.5,DIRECT_LAYERED_NMS,targetLength,480,480,False
480,3.5,DIRECT_LAYERED_NMS,actualLength,480,480,False
480,3.5,DIRECT_LAYERED_NMS,actualRate,0.625,0.625,False
480,3.5,DIRECT_LAYERED_NMS,Zc,40,48,True
480,3.5,DIRECT_LAYERED_NMS,fillerLength,20,84,True
480,3.5,DIRECT_LAYERED_NMS,rankHp,160,96,True
480,3.5,DIRECT_LAYERED_SPA_BP,caseId,LDPC_BG2_K300_N480,LDPC_BG2_K300_N480,True
480,3.5,DIRECT_LAYERED_SPA_BP,targetLength,480,480,False
480,3.5,DIRECT_LAYERED_SPA_BP,actualLength,480,480,False
480,3.5,DIRECT_LAYERED_SPA_BP,actualRate,0.625,0.625,False
480,3.5,DIRECT_LAYERED_SPA_BP,Zc,40,48,True
480,3.5,DIRECT_LAYERED_SPA_BP,fillerLength,20,84,True
480,3.5,DIRECT_LAYERED_SPA_BP,rankHp,160,96,True
480,4.0,DIRECT_LAYERED_NMS,caseId,LDPC_BG2_K300_N480,LDPC_BG2_K300_N480,True
480,4.0,DIRECT_LAYERED_NMS,targetLength,480,480,False
480,4.0,DIRECT_LAYERED_NMS,actualLength,480,480,False
480,4.0,DIRECT_LAYERED_NMS,actualRate,0.625,0.625,False
480,4.0,DIRECT_LAYERED_NMS,Zc,40,48,True
480,4.0,DIRECT_LAYERED_NMS,fillerLength,20,84,True
480,4.0,DIRECT_LAYERED_NMS,rankHp,160,96,True
480,4.0,DIRECT_LAYERED_SPA_BP,caseId,LDPC_BG2_K300_N480,LDPC_BG2_K300_N480,True
480,4.0,DIRECT_LAYERED_SPA_BP,targetLength,480,480,False
480,4.0,DIRECT_LAYERED_SPA_BP,actualLength,480,480,False
480,4.0,DIRECT_LAYERED_SPA_BP,actualRate,0.625,0.625,False
480,4.0,DIRECT_LAYERED_SPA_BP,Zc,40,48,True
480,4.0,DIRECT_LAYERED_SPA_BP,fillerLength,20,84,True
480,4.0,DIRECT_LAYERED_SPA_BP,rankHp,160,96,True
480,4.5,DIRECT_LAYERED_NMS,caseId,LDPC_BG2_K300_N480,LDPC_BG2_K300_N480,True
480,4.5,DIRECT_LAYERED_NMS,targetLength,480,480,False
480,4.5,DIRECT_LAYERED_NMS,actualLength,480,480,False
480,4.5,DIRECT_LAYERED_NMS,actualRate,0.625,0.625,False
480,4.5,DIRECT_LAYERED_NMS,Zc,40,48,True
480,4.5,DIRECT_LAYERED_NMS,fillerLength,20,84,True
480,4.5,DIRECT_LAYERED_NMS,rankHp,160,96,True
480,4.5,DIRECT_LAYERED_SPA_BP,caseId,LDPC_BG2_K300_N480,LDPC_BG2_K300_N480,True
480,4.5,DIRECT_LAYERED_SPA_BP,targetLength,480,480,False
480,4.5,DIRECT_LAYERED_SPA_BP,actualLength,480,480,False
480,4.5,DIRECT_LAYERED_SPA_BP,actualRate,0.625,0.625,False
480,4.5,DIRECT_LAYERED_SPA_BP,Zc,40,48,True
480,4.5,DIRECT_LAYERED_SPA_BP,fillerLength,20,84,True
