actualLength,snrDb,algorithm,statisticsUnchanged,pointResultMatchesOld,oldStatisticsSha256,repairedStatisticsSha256
480,-5.0,DIRECT_LAYERED_NMS,true,true,eb979e523afc25b1731dada0ef0ab71b2322d444b937f8c752c9094c30dfc6ea,eb979e523afc25b1731dada0ef0ab71b2322d444b937f8c752c9094c30dfc6ea
480,-5.0,DIRECT_LAYERED_SPA_BP,true,true,299baaa98585d1b08967151cc1197dc7bba69e05d462767dc06aa87db554c2e9,299baaa98585d1b08967151cc1197dc7bba69e05d462767dc06aa87db554c2e9
480,-4.5,DIRECT_LAYERED_NMS,true,true,00c9b873e63a864f99fc6d757ff511148672e26b7fb54e6d31f7914b9ff61ab3,00c9b873e63a864f99fc6d757ff511148672e26b7fb54e6d31f7914b9ff61ab3
480,-4.5,DIRECT_LAYERED_SPA_BP,true,true,6bc9eaa0583097482d3af0560ad16e5adc97f7aa1f02ca5684e57f25dc96fac2,6bc9eaa0583097482d3af0560ad16e5adc97f7aa1f02ca5684e57f25dc96fac2
480,-4.0,DIRECT_LAYERED_NMS,true,true,96320bd0ad474a6d46782fac902362e14e152df4fa5d2302a34227b7eb8460d0,96320bd0ad474a6d46782fac902362e14e152df4fa5d2302a34227b7eb8460d0
480,-4.0,DIRECT_LAYERED_SPA_BP,true,true,e872f62798744c59cb30e46eab0a1937b0b3db74ca04a564495a424c4a8aae9d,e872f62798744c59cb30e46eab0a1937b0b3db74ca04a564495a424c4a8aae9d
480,-3.5,DIRECT_LAYERED_NMS,true,true,3df2255949eaa9f7aa31ff5d23b2bdb02ef863ec417f1cb0186eef401e8e5e4e,3df2255949eaa9f7aa31ff5d23b2bdb02ef863ec417f1cb0186eef401e8e5e4e
480,-3.5,DIRECT_LAYERED_SPA_BP,true,true,fa58d2e8d7ca63511675adf90816e9523be264920925321f14bf716c4d71e2ad,fa58d2e8d7ca63511675adf90816e9523be264920925321f14bf716c4d71e2ad
480,-3.0,DIRECT_LAYERED_NMS,true,true,16761a15150d19b97a60a4866d3075c991d575b934684c9ca31b65241e2e8b6d,16761a15150d19b97a60a4866d3075c991d575b934684c9ca31b65241e2e8b6d
480,-3.0,DIRECT_LAYERED_SPA_BP,true,true,16d396e9a207d7e38403f3b479e148b5d5ce1afe646f7b076051dd2e46c0ae8e,16d396e9a207d7e38403f3b479e148b5d5ce1afe646f7b076051dd2e46c0ae8e
480,-2.5,DIRECT_LAYERED_NMS,true,true,d491ca804b73b41982580d753574739478c3b133fd7ec152e93cc275cc13470e,d491ca804b73b41982580d753574739478c3b133fd7ec152e93cc275cc13470e
480,-2.5,DIRECT_LAYERED_SPA_BP,true,true,ed00229caf5308faca4b75c5ec22a29d74ad5e509f994ab7a51dd76c9105e949,ed00229caf5308faca4b75c5ec22a29d74ad5e509f994ab7a51dd76c9105e949
480,-2.0,DIRECT_LAYERED_NMS,true,true,cac1c7e2196b0e3f8c75ad457ae1e0510d6111329930162f4f1c3c830f73a7d5,cac1c7e2196b0e3f8c75ad457ae1e0510d6111329930162f4f1c3c830f73a7d5
480,-2.0,DIRECT_LAYERED_SPA_BP,true,true,f6fdb3230e56fb59316266b82b44754da350931ed23f22b642455d28972f93c8,f6fdb3230e56fb59316266b82b44754da350931ed23f22b642455d28972f93c8
480,-1.5,DIRECT_LAYERED_NMS,true,true,d81d38f60ba8c63536db40ab66e324356c8a3da2652d10d99f78c552ffc51a5e,d81d38f60ba8c63536db40ab66e324356c8a3da2652d10d99f78c552ffc51a5e
480,-1.5,DIRECT_LAYERED_SPA_BP,true,true,3e7b3b2ec462a7937d30e7a5f768b50bb58fb5fe61a762cbaa8bef1c165b50b9,3e7b3b2ec462a7937d30e7a5f768b50bb58fb5fe61a762cbaa8bef1c165b50b9
480,-1.0,DIRECT_LAYERED_NMS,true,true,19fb58f08a8209b45b620b14727207d5e46655045b63b732d4f8f2f35a943ca6,19fb58f08a8209b45b620b14727207d5e46655045b63b732d4f8f2f35a943ca6
480,-1.0,DIRECT_LAYERED_SPA_BP,true,true,9e0eabddf310a32a15597735cb42b0cd89e39e5cefa27167c3e26fea93a87db2,9e0eabddf310a32a15597735cb42b0cd89e39e5cefa27167c3e26fea93a87db2
480,-0.5,DIRECT_LAYERED_NMS,true,true,2413a94cbe240eae59ce7f600680c2e66f6925ae844692f871c06be2cc83670b,2413a94cbe240eae59ce7f600680c2e66f6925ae844692f871c06be2cc83670b
480,-0.5,DIRECT_LAYERED_SPA_BP,true,true,34dc2dc9332e9041edc9e76f5f0623620b0e0d6d65ae52713d6f96bf2d640698,34dc2dc9332e9041edc9e76f5f0623620b0e0d6d65ae52713d6f96bf2d640698
480,0.0,DIRECT_LAYERED_NMS,true,true,d56ec04ae16c6be58a3a4614ef6358f416dd8f773f6b1418ff1eba79147ee6a1,d56ec04ae16c6be58a3a4614ef6358f416dd8f773f6b1418ff1eba79147ee6a1
480,0.0,DIRECT_LAYERED_SPA_BP,true,true,3b0d75090b59ca7923db07969a6f63d23f486eeb6ecc9e4eb90289112aa41331,3b0d75090b59ca7923db07969a6f63d23f486eeb6ecc9e4eb90289112aa41331
480,0.5,DIRECT_LAYERED_NMS,true,true,4fb52b318fc7faa4db3db47d3fb5facdd5157926db1afa94a0e93a35824bc602,4fb52b318fc7faa4db3db47d3fb5facdd5157926db1afa94a0e93a35824bc602
480,0.5,DIRECT_LAYERED_SPA_BP,true,true,56fd62b4e46b849c539309fe743c39bda3ab65b96535d748f93e1905d9f7dafa,56fd62b4e46b849c539309fe743c39bda3ab65b96535d748f93e1905d9f7dafa
480,1.0,DIRECT_LAYERED_NMS,true,true,dfa5279fb39bc4784313de75c0501c325e97df203430c5687384ad2b17002f69,dfa5279fb39bc4784313de75c0501c325e97df203430c5687384ad2b17002f69
480,1.0,DIRECT_LAYERED_SPA_BP,true,true,dfce31568854aa3d7701d6148545272f3137676fa2c214c1ffbfe4bb9bfc903b,dfce31568854aa3d7701d6148545272f3137676fa2c214c1ffbfe4bb9bfc903b
480,1.5,DIRECT_LAYERED_NMS,true,true,266a877a09c639e39c82f5c3c1f480dc424ad94883814f4accc7920d546e4242,266a877a09c639e39c82f5c3c1f480dc424ad94883814f4accc7920d546e4242
480,1.5,DIRECT_LAYERED_SPA_BP,true,true,bc0900c430e8ac98ed2cf6557fa46ac523da163b24df4c615d20302d8f291158,bc0900c430e8ac98ed2cf6557fa46ac523da163b24df4c615d20302d8f291158
480,2.0,DIRECT_LAYERED_NMS,true,true,2fc4fbe6beee1cdd1170e27c35c0564ece13f8691b1d098c08805a1ca8156dd3,2fc4fbe6beee1cdd1170e27c35c0564ece13f8691b1d098c08805a1ca8156dd3
480,2.0,DIRECT_LAYERED_SPA_BP,true,true,d9cfc5983dd102b5d3f919a736b019f340af904204c865dab142e8c136506e72,d9cfc5983dd102b5d3f919a736b019f340af904204c865dab142e8c136506e72
480,2.5,DIRECT_LAYERED_NMS,true,true,27cbe863c88154d476bf2608b7e8acb994712aac552942042510ef33c1b5455c,27cbe863c88154d476bf2608b7e8acb994712aac552942042510ef33c1b5455c
480,2.5,DIRECT_LAYERED_SPA_BP,true,true,9528d53a26f354feb2341d85ba0ec0e69542c2579875ea847c0bd42a3d2664cf,9528d53a26f354feb2341d85ba0ec0e69542c2579875ea847c0bd42a3d2664cf
480,3.0,DIRECT_LAYERED_NMS,true,true,0851aec1c56fe982997d693eafe71cd9ff2f48af64e6106d5caa31a0ddfcca99,0851aec1c56fe982997d693eafe71cd9ff2f48af64e6106d5caa31a0ddfcca99
480,3.0,DIRECT_LAYERED_SPA_BP,true,true,c40fb1d2680e0fed965f77b9d2be4a1f6036cc554f9096b4a1e35020c3772860,c40fb1d2680e0fed965f77b9d2be4a1f6036cc554f9096b4a1e35020c3772860
480,3.5,DIRECT_LAYERED_NMS,true,true,513d4385610d23f018786de1799355ed838f2a12aad2d955e78632d6f6aec0b9,513d4385610d23f018786de1799355ed838f2a12aad2d955e78632d6f6aec0b9
480,3.5,DIRECT_LAYERED_SPA_BP,true,true,970040a52bbfab3393bc42f74865ab742e73f10d60453f2fb02cb46bd64d3088,970040a52bbfab3393bc42f74865ab742e73f10d60453f2fb02cb46bd64d3088
480,4.0,DIRECT_LAYERED_NMS,true,true,dd3dccc08600bf58257244a1ef6bba33d51c3ed30327516e7d082d69b7e8e25b,dd3dccc08600bf58257244a1ef6bba33d51c3ed30327516e7d082d69b7e8e25b
480,4.0,DIRECT_LAYERED_SPA_BP,true,true,e8a981c5ae78c7328fe8262c1b28ae402c2c448d696a31d14f6efd1f8309fcd1,e8a981c5ae78c7328fe8262c1b28ae402c2c448d696a31d14f6efd1f8309fcd1
480,4.5,DIRECT_LAYERED_NMS,true,true,59cea85245ad2e197d8b83cc16170d80fa29c375bba7655b0db6667370d55786,59cea85245ad2e197d8b83cc16170d80fa29c375bba7655b0db6667370d55786
480,4.5,DIRECT_LAYERED_SPA_BP,true,true,d21376fbdcfb5651cc110de37be7a177aa338610cb818ab94302d6f35c479a40,d21376fbdcfb5651cc110de37be7a177aa338610cb818ab94302d6f35c479a40
