caseId,snrDb,mode,bits,clipMax,step,frames,payloadBitErrors,payloadErrorFrames,BER,FER,floatMismatchBits,floatMismatchFrames,avgDecodeTime_us,p95DecodeTime_us,maxDecodeTime_us,rawThroughput_Mbps,inputSaturationCount,inputObservedCount,inputMemoryBytes,pathMetricMemoryBytes,survivorMemoryBytes,pathMetricSaturationCount,integerOverflowCount
CC-B-R12-S,-0.5,SOFT_FLOAT,64,2,0,1000,450,59,0.0015,0.058999999999999997,0,0,261.60679999999996,366.69999999999999,700.79999999999995,1.1467591821007712,0,612000,4896,1024,58752,0,0
CC-B-R12-S,-0.5,SOFT_Q3,3,2,0.66666666666666663,1000,1095,138,0.00365,0.13800000000000001,811,113,266.03499999999997,353.10000000000002,569.20000000000005,1.1276711710865113,23041,612000,230,512,58752,0,0
CC-B-R12-S,-0.5,SOFT_Q4,4,2,0.2857142857142857,1000,576,73,0.00192,0.072999999999999995,212,34,257.93290000000013,344,1087.7,1.1630931920666183,38948,612000,306,512,58752,0,0
CC-B-R12-S,-0.5,SOFT_Q6,6,2,0.064516129032258063,1000,466,63,0.0015533333333333334,0.063,66,12,250.50130000000016,335.5,897.20000000000005,1.197598575336734,51672,612000,459,512,58752,0,0
CC-B-R12-S,0,SOFT_FLOAT,64,2,0,1000,102,16,0.00034000000000000002,0.016,0,0,276.1647999999999,394.60000000000002,1160.2,1.0863078857262045,0,612000,4896,1024,58752,0,0
CC-B-R12-S,0,SOFT_Q3,3,2,0.66666666666666663,1000,291,47,0.00097000000000000005,0.047,275,45,280.67730000000006,377.30000000000001,3245.6999999999998,1.068843116276236,18272,612000,230,512,58752,0,0
CC-B-R12-S,0,SOFT_Q4,4,2,0.2857142857142857,1000,116,18,0.00038666666666666667,0.017999999999999999,100,12,271.77300000000014,367.30000000000001,5079.3000000000002,1.1038624145886451,32449,612000,306,512,58752,0,0
CC-B-R12-S,0,SOFT_Q6,6,2,0.064516129032258063,1000,112,17,0.00037333333333333332,0.017000000000000001,10,1,264.32650000000024,362.69999999999999,1770.5,1.1349599832025912,44299,612000,459,512,58752,0,0
CC-B-R23-S,0.5,SOFT_FLOAT,64,2,0,1000,3160,231,0.010533333333333334,0.23100000000000001,0,0,266.92320000000024,374.10000000000002,1083,1.1239187901238998,0,459000,3672,1024,58752,0,0
CC-B-R23-S,0.5,SOFT_Q3,3,2,0.66666666666666663,1000,7329,409,0.02443,0.40899999999999997,6453,371,253.41090000000011,342,540.20000000000005,1.1838480507349916,10311,459000,173,512,58752,0,0
CC-B-R23-S,0.5,SOFT_Q4,4,2,0.2857142857142857,1000,3606,257,0.012019999999999999,0.25700000000000001,2138,139,243.66809999999987,333.69999999999999,1182.7,1.2311829082263954,19671,459000,230,512,58752,0,0
CC-B-R23-S,0.5,SOFT_Q6,6,2,0.064516129032258063,1000,3226,231,0.010753333333333333,0.23100000000000001,454,28,235.63580000000022,322,1148.4000000000001,1.273151193494366,27655,459000,345,512,58752,0,0
CC-B-R23-S,1,SOFT_FLOAT,64,2,0,1000,1042,88,0.0034733333333333335,0.087999999999999995,0,0,267.32209999999986,392.69999999999999,508.60000000000002,1.1222416702547233,0,459000,3672,1024,58752,0,0
CC-B-R23-S,1,SOFT_Q3,3,2,0.66666666666666663,1000,2753,210,0.0091766666666666663,0.20999999999999999,2367,186,253.92360000000022,347.80000000000001,729.20000000000005,1.1814577298053419,7753,459000,173,512,58752,0,0
CC-B-R23-S,1,SOFT_Q4,4,2,0.2857142857142857,1000,1320,113,0.0044000000000000003,0.113,656,56,244.26959999999985,347,456,1.2281511903241344,15824,459000,230,512,58752,0,0
CC-B-R23-S,1,SOFT_Q6,6,2,0.064516129032258063,1000,1034,87,0.0034466666666666665,0.086999999999999994,60,5,234.88580000000013,330,442.5,1.2772164175101255,23015,459000,345,512,58752,0,0
