caseId,snrDb,mode,bits,clipMax,step,frames,payloadBitErrors,payloadErrorFrames,BER,FER,floatMismatchBits,floatMismatchFrames,avgDecodeTime_us,p95DecodeTime_us,maxDecodeTime_us,rawThroughput_Mbps,inputSaturationCount,inputObservedCount,inputMemoryBytes,pathMetricMemoryBytes,survivorMemoryBytes,pathMetricSaturationCount,integerOverflowCount
CC-B-R12-S,-0.5,SOFT_FLOAT,64,2,0,1000,450,59,0.0015,0.058999999999999997,0,0,265.34189999999961,369.10000000000002,671.79999999999995,1.1306167627502495,0,612000,4896,1024,58752,0,0
CC-B-R12-S,-0.5,SOFT_Q3,3,2,0.66666666666666663,1000,1095,138,0.00365,0.13800000000000001,811,113,270.11349999999982,358.39999999999998,653.20000000000005,1.1106442291851395,23041,612000,230,512,58752,0,0
CC-B-R12-S,-0.5,SOFT_Q4,4,2,0.2857142857142857,1000,576,73,0.00192,0.072999999999999995,212,34,257.33190000000002,341.80000000000001,685,1.1658096023073703,38948,612000,306,512,58752,0,0
CC-B-R12-S,-0.5,SOFT_Q6,6,2,0.064516129032258063,1000,466,63,0.0015533333333333334,0.063,66,12,249.45210000000009,336.10000000000002,534,1.2026356963922127,51672,612000,459,512,58752,0,0
CC-B-R12-S,0,SOFT_FLOAT,64,2,0,1000,102,16,0.00034000000000000002,0.016,0,0,280.57339999999965,394.60000000000002,2455.6999999999998,1.0692389228629668,0,612000,4896,1024,58752,0,0
CC-B-R12-S,0,SOFT_Q3,3,2,0.66666666666666663,1000,291,47,0.00097000000000000005,0.047,275,45,281.64449999999982,385.89999999999998,1353.8,1.0651725845880184,18272,612000,230,512,58752,0,0
CC-B-R12-S,0,SOFT_Q4,4,2,0.2857142857142857,1000,116,18,0.00038666666666666667,0.017999999999999999,100,12,269.20109999999977,370.39999999999998,987.60000000000002,1.1144085221048512,32449,612000,306,512,58752,0,0
CC-B-R12-S,0,SOFT_Q6,6,2,0.064516129032258063,1000,112,17,0.00037333333333333332,0.017000000000000001,10,1,260.67660000000006,353.5,822.20000000000005,1.1508512846952887,44299,612000,459,512,58752,0,0
CC-B-R23-S,0.5,SOFT_FLOAT,64,2,0,1000,3160,231,0.010533333333333334,0.23100000000000001,0,0,292.33380000000011,401.39999999999998,840.5,1.0262241314552059,0,459000,3672,1024,58752,0,0
CC-B-R23-S,0.5,SOFT_Q3,3,2,0.66666666666666663,1000,7329,409,0.02443,0.40899999999999997,6453,371,277.38980000000021,355.5,768,1.0815105674397536,10311,459000,173,512,58752,0,0
CC-B-R23-S,0.5,SOFT_Q4,4,2,0.2857142857142857,1000,3606,257,0.012019999999999999,0.25700000000000001,2138,139,267.02219999999977,365.60000000000002,773.20000000000005,1.1235020908373921,19671,459000,230,512,58752,0,0
CC-B-R23-S,0.5,SOFT_Q6,6,2,0.064516129032258063,1000,3226,231,0.010753333333333333,0.23100000000000001,454,28,256.51880000000017,340.60000000000002,647.10000000000002,1.1695049251750742,27655,459000,345,512,58752,0,0
CC-B-R23-S,1,SOFT_FLOAT,64,2,0,1000,1042,88,0.0034733333333333335,0.087999999999999995,0,0,282.70059999999984,409.10000000000002,866.5,1.0611933614573161,0,459000,3672,1024,58752,0,0
CC-B-R23-S,1,SOFT_Q3,3,2,0.66666666666666663,1000,2753,210,0.0091766666666666663,0.20999999999999999,2367,186,269.68400000000003,378.19999999999999,667.89999999999998,1.1124130463802078,7753,459000,173,512,58752,0,0
CC-B-R23-S,1,SOFT_Q4,4,2,0.2857142857142857,1000,1320,113,0.0044000000000000003,0.113,656,56,258.09579999999971,363.69999999999999,761.89999999999998,1.16235909301895,15824,459000,230,512,58752,0,0
CC-B-R23-S,1,SOFT_Q6,6,2,0.064516129032258063,1000,1034,87,0.0034466666666666665,0.086999999999999994,60,5,247.4595000000003,351.69999999999999,566.70000000000005,1.2123195916907601,23015,459000,345,512,58752,0,0
