parameter,value
configHash,41ee48b2e2a5d33e9e0177157ea6986c936a5abbe4d8ec54aa500c0aa05e528f
schemePoints,744
pairedTasks,372
pairedFrames,8115263
schemeFrames,16230526
shards,4
